; Candidate 15294
; ADRP+ADD at VM 0xfffffff009b4a6b8 (fileoff 0x2b466b8): page=0x1fdade000 add_imm=0xed0

0xfffffff009b4a638: 40000054  b.eq	#0xfffffff009b4a640
0xfffffff009b4a63c: 408e38d4  brk	#0xc472
0xfffffff009b4a640: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4a644: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4a648: e00313aa  mov	x0, x19
0xfffffff009b4a64c: 010080d2  mov	x1, #0
0xfffffff009b4a650: f10308aa  mov	x17, x8
0xfffffff009b4a654: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4a658: 31093fd7  blraa	x9, x17
0xfffffff009b4a65c: f60300aa  mov	x22, x0
0xfffffff009b4a660: 700240f9  ldr	x16, [x19]
0xfffffff009b4a664: f10313aa  mov	x17, x19
0xfffffff009b4a668: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4a66c: 301ac1da  autda	x16, x17
0xfffffff009b4a670: f10310aa  mov	x17, x16
0xfffffff009b4a674: f147c1da  xpacd	x17
0xfffffff009b4a678: 1f0211eb  cmp	x16, x17
0xfffffff009b4a67c: 40000054  b.eq	#0xfffffff009b4a684
0xfffffff009b4a680: 408e38d4  brk	#0xc472
0xfffffff009b4a684: 08620891  add	x8, x16, #0x218
0xfffffff009b4a688: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4a68c: e00313aa  mov	x0, x19
0xfffffff009b4a690: 010080d2  mov	x1, #0
0xfffffff009b4a694: f10308aa  mov	x17, x8
0xfffffff009b4a698: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4a69c: 31093fd7  blraa	x9, x17
0xfffffff009b4a6a0: 08d7fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4a6a4: 085d0291  add	x8, x8, #0x97
0xfffffff009b4a6a8: e9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4a6ac: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4a6b0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4a6b4: f60300a9  stp	x22, x0, [sp]
0xfffffff009b4a6b8: e0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4a6bc: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4a6c0: 03d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b4a6c4: 63683c91  add	x3, x3, #0xf1a
0xfffffff009b4a6c8: e10315aa  mov	x1, x21
0xfffffff009b4a6cc: e20314aa  mov	x2, x20
0xfffffff009b4a6d0: 98a29f97  bl	#0xfffffff008333130
0xfffffff009b4a6d4: 14008052  mov	w20, #0
0xfffffff009b4a6d8: e00314aa  mov	x0, x20
0xfffffff009b4a6dc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009b4a6e0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009b4a6e4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009b4a6e8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009b4a6ec: ffc30191  add	sp, sp, #0x70
0xfffffff009b4a6f0: ff0f5fd6  retab	
0xfffffff009b4a6f4: 7f2303d5  pacibsp	
0xfffffff009b4a6f8: ffc301d1  sub	sp, sp, #0x70
0xfffffff009b4a6fc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009b4a700: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009b4a704: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009b4a708: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009b4a70c: fd830191  add	x29, sp, #0x60
0xfffffff009b4a710: f30300aa  mov	x19, x0
0xfffffff009b4a714: 801000b4  cbz	x0, #0xfffffff009b4a924
0xfffffff009b4a718: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b4a71c: 54101836  tbz	w20, #3, #0xfffffff009b4a924
0xfffffff009b4a720: b405f036  tbz	w20, #0x1e, #0xfffffff009b4a7d4
0xfffffff009b4a724: de0d8e97  bl	#0xfffffff007ecde9c
0xfffffff009b4a728: 1f040071  cmp	w0, #1
0xfffffff009b4a72c: 41050054  b.ne	#0xfffffff009b4a7d4
0xfffffff009b4a730: 700240f9  ldr	x16, [x19]
0xfffffff009b4a734: f10313aa  mov	x17, x19
