; Candidate 16278
; ADRP+ADD at VM 0xfffffff009e3e874 (fileoff 0x2e3a874): page=0x1fd9e7000 add_imm=0xd34

0xfffffff009e3e7f4: e4e30091  add	x4, sp, #0x38
0xfffffff009e3e7f8: e5b30091  add	x5, sp, #0x2c
0xfffffff009e3e7fc: e6c30091  add	x6, sp, #0x30
0xfffffff009e3e800: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff009e3e804: e00314aa  mov	x0, x20
0xfffffff009e3e808: e10317aa  mov	x1, x23
0xfffffff009e3e80c: e20316aa  mov	x2, x22
0xfffffff009e3e810: e30315aa  mov	x3, x21
0xfffffff009e3e814: 070080d2  mov	x7, #0
0xfffffff009e3e818: 68eaff97  bl	#0xfffffff009e391b8
0xfffffff009e3e81c: 40040034  cbz	w0, #0xfffffff009e3e8a4
0xfffffff009e3e820: f80300aa  mov	x24, x0
0xfffffff009e3e824: 083e8452  mov	w8, #0x21f0
0xfffffff009e3e828: 8802088b  add	x8, x20, x8
0xfffffff009e3e82c: 49e98252  mov	w9, #0x174a
0xfffffff009e3e830: 4acffe90  adrp	x10, #0xfffffff007826000
0xfffffff009e3e834: 4afd1691  add	x10, x10, #0x5bf
0xfffffff009e3e838: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e3e83c: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff009e3e840: 40cffe90  adrp	x0, #0xfffffff007826000
0xfffffff009e3e844: 006c1791  add	x0, x0, #0x5db
0xfffffff009e3e848: 1f040194  bl	#0xfffffff009e7f8c4
0xfffffff009e3e84c: 0e000014  b	#0xfffffff009e3e884
0xfffffff009e3e850: 083e8452  mov	w8, #0x21f0
0xfffffff009e3e854: 8802088b  add	x8, x20, x8
0xfffffff009e3e858: 69e88252  mov	w9, #0x1743
0xfffffff009e3e85c: 4acffe90  adrp	x10, #0xfffffff007826000
0xfffffff009e3e860: 4afd1691  add	x10, x10, #0x5bf
0xfffffff009e3e864: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e3e868: e903002a  mov	w9, w0
0xfffffff009e3e86c: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009e3e870: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3e874: 20cffef0  adrp	x0, #0xfffffff007825000
0xfffffff009e3e878: 00d03491  add	x0, x0, #0xd34
0xfffffff009e3e87c: 12040194  bl	#0xfffffff009e7f8c4
0xfffffff009e3e880: 18008012  mov	w24, #-1
0xfffffff009e3e884: e00318aa  mov	x0, x24
0xfffffff009e3e888: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff009e3e88c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff009e3e890: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff009e3e894: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff009e3e898: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff009e3e89c: ffc30291  add	sp, sp, #0xb0
0xfffffff009e3e8a0: ff0f5fd6  retab	
0xfffffff009e3e8a4: e00314aa  mov	x0, x20
0xfffffff009e3e8a8: e4480394  bl	#0xfffffff009f10c38
0xfffffff009e3e8ac: 60000034  cbz	w0, #0xfffffff009e3e8b8
0xfffffff009e3e8b0: 18028052  mov	w24, #0x10
0xfffffff009e3e8b4: f4ffff17  b	#0xfffffff009e3e884
0xfffffff009e3e8b8: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff009e3e8bc: 08050091  add	x8, x8, #1
0xfffffff009e3e8c0: 685a00f9  str	x8, [x19, #0xb0]
0xfffffff009e3e8c4: 29858bd2  mov	x9, #0x5c29
0xfffffff009e3e8c8: e951b8f2  movk	x9, #0xc28f, lsl #16
0xfffffff009e3e8cc: a91ec5f2  movk	x9, #0x28f5, lsl #32
0xfffffff009e3e8d0: 89ebf1f2  movk	x9, #0x8f5c, lsl #48
0xfffffff009e3e8d4: 087d099b  mul	x8, x8, x9
0xfffffff009e3e8d8: 0809c893  ror	x8, x8, #2
0xfffffff009e3e8dc: 89eb91d2  mov	x9, #0x8f5c
0xfffffff009e3e8e0: 49b8bef2  movk	x9, #0xf5c2, lsl #16
0xfffffff009e3e8e4: 0985cbf2  movk	x9, #0x5c28, lsl #32
0xfffffff009e3e8e8: e951e0f2  movk	x9, #0x28f, lsl #48
0xfffffff009e3e8ec: 1f0109eb  cmp	x8, x9
0xfffffff009e3e8f0: c8000054  b.hi	#0xfffffff009e3e908
