; Candidate 5038
; ADRP+ADD at VM 0xfffffff0087d3c14 (fileoff 0x17cfc14): page=0x1fea16000 add_imm=0xe80

0xfffffff0087d3b94: 000a8052  mov	w0, #0x50
0xfffffff0087d3b98: 209f0294  bl	#0xfffffff00887b818
0xfffffff0087d3b9c: f50300aa  mov	x21, x0
0xfffffff0087d3ba0: 83810394  bl	#0xfffffff0088b41ac
0xfffffff0087d3ba4: f40300aa  mov	x20, x0
0xfffffff0087d3ba8: e0008052  mov	w0, #7
0xfffffff0087d3bac: 299f0294  bl	#0xfffffff00887b850
0xfffffff0087d3bb0: b5010034  cbz	w21, #0xfffffff0087d3be4
0xfffffff0087d3bb4: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d3bb8: 08111e91  add	x8, x8, #0x784
0xfffffff0087d3bbc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d3bc0: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d3bc4: 08712591  add	x8, x8, #0x95c
0xfffffff0087d3bc8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d3bcc: 080a8052  mov	w8, #0x50
0xfffffff0087d3bd0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087d3bd4: e051ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087d3bd8: 008c2c91  add	x0, x0, #0xb23
0xfffffff0087d3bdc: 218ed797  bl	#0xfffffff007db7460
0xfffffff0087d3be0: 15000014  b	#0xfffffff0087d3c34
0xfffffff0087d3be4: 72810394  bl	#0xfffffff0088b41ac
0xfffffff0087d3be8: f40300aa  mov	x20, x0
0xfffffff0087d3bec: e0008052  mov	w0, #7
0xfffffff0087d3bf0: 189f0294  bl	#0xfffffff00887b850
0xfffffff0087d3bf4: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d3bf8: 08111e91  add	x8, x8, #0x784
0xfffffff0087d3bfc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d3c00: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d3c04: 08712591  add	x8, x8, #0x95c
0xfffffff0087d3c08: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d3c0c: 080a8052  mov	w8, #0x50
0xfffffff0087d3c10: f42300a9  stp	x20, x8, [sp]
0xfffffff0087d3c14: a050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d3c18: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d3c1c: a191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d3c20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d3c24: 4353ff90  adrp	x3, #0xfffffff00723b000
0xfffffff0087d3c28: 63200b91  add	x3, x3, #0x2c8
0xfffffff0087d3c2c: 02008052  mov	w2, #0
0xfffffff0087d3c30: 407ded97  bl	#0xfffffff008333130
0xfffffff0087d3c34: 95138052  mov	w21, #0x9c
0xfffffff0087d3c38: d574a572  movk	w21, #0x2ba6, lsl #16
0xfffffff0087d3c3c: 80138052  mov	w0, #0x9c
0xfffffff0087d3c40: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d3c44: 81008052  mov	w1, #4
0xfffffff0087d3c48: 020080d2  mov	x2, #0
0xfffffff0087d3c4c: 030080d2  mov	x3, #0
0xfffffff0087d3c50: 040080d2  mov	x4, #0
0xfffffff0087d3c54: 050080d2  mov	x5, #0
0xfffffff0087d3c58: aba8e697  bl	#0xfffffff00817df04
0xfffffff0087d3c5c: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d3c60: 100040f9  ldr	x16, [x0]
0xfffffff0087d3c64: f10300aa  mov	x17, x0
0xfffffff0087d3c68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d3c6c: 301ac1da  autda	x16, x17
0xfffffff0087d3c70: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d3c74: e90310aa  mov	x9, x16
0xfffffff0087d3c78: 700300d0  adrp	x16, #0xfffffff008841000
0xfffffff0087d3c7c: 10620f91  add	x16, x16, #0x3d8
0xfffffff0087d3c80: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d3c84: 3002c1da  pacia	x16, x17
0xfffffff0087d3c88: e10310aa  mov	x1, x16
0xfffffff0087d3c8c: 020080d2  mov	x2, #0
0xfffffff0087d3c90: 030080d2  mov	x3, #0
