; Candidate 5268
; ADRP+ADD at VM 0xfffffff0087e3990 (fileoff 0x17df990): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e3910: 08011091  add	x8, x8, #0x400
0xfffffff0087e3914: c9738052  mov	w9, #0x39e
0xfffffff0087e3918: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e391c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3920: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3924: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e3928: 680e8052  mov	w8, #0x73
0xfffffff0087e392c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e3930: f50300f9  str	x21, [sp]
0xfffffff0087e3934: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3938: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e393c: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3944: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3948: 63c82c91  add	x3, x3, #0xb32
0xfffffff0087e394c: 02008052  mov	w2, #0
0xfffffff0087e3950: f83ded97  bl	#0xfffffff008333130
0xfffffff0087e3954: 30000014  b	#0xfffffff0087e3a14
0xfffffff0087e3958: 15420394  bl	#0xfffffff0088b41ac
0xfffffff0087e395c: f50300aa  mov	x21, x0
0xfffffff0087e3960: c0008052  mov	w0, #6
0xfffffff0087e3964: bb5f0294  bl	#0xfffffff00887b850
0xfffffff0087e3968: 682640b9  ldr	w8, [x19, #0x24]
0xfffffff0087e396c: 690240b9  ldr	w9, [x19]
0xfffffff0087e3970: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0087e3974: 08758052  mov	w8, #0x3a8
0xfffffff0087e3978: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e397c: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3980: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e3984: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e3988: 680e8052  mov	w8, #0x73
0xfffffff0087e398c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e3990: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3994: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e3998: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e399c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e39a0: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e39a4: 63442e91  add	x3, x3, #0xb91
0xfffffff0087e39a8: 02008052  mov	w2, #0
0xfffffff0087e39ac: e13ded97  bl	#0xfffffff008333130
0xfffffff0087e39b0: 17008052  mov	w23, #0
0xfffffff0087e39b4: 19000014  b	#0xfffffff0087e3a18
0xfffffff0087e39b8: fd410394  bl	#0xfffffff0088b41ac
0xfffffff0087e39bc: f50300aa  mov	x21, x0
0xfffffff0087e39c0: 80008052  mov	w0, #4
0xfffffff0087e39c4: a35f0294  bl	#0xfffffff00887b850
0xfffffff0087e39c8: 680640f9  ldr	x8, [x19, #8]
0xfffffff0087e39cc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087e39d0: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e39d4: 08751191  add	x8, x8, #0x45d
0xfffffff0087e39d8: 29748052  mov	w9, #0x3a1
0xfffffff0087e39dc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087e39e0: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e39e4: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e39e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e39ec: 680e8052  mov	w8, #0x73
0xfffffff0087e39f0: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e39f4: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e39f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e39fc: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3a00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e3a04: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3a08: 63802d91  add	x3, x3, #0xb60
0xfffffff0087e3a0c: 02008052  mov	w2, #0
