; Candidate 9311
; ADRP+ADD at VM 0xfffffff008a250b4 (fileoff 0x1a210b4): page=0x1fe874000 add_imm=0xe40

0xfffffff008a25034: 3f000014  b	#0xfffffff008a25130
0xfffffff008a25038: 700240f9  ldr	x16, [x19]
0xfffffff008a2503c: f10313aa  mov	x17, x19
0xfffffff008a25040: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a25044: 301ac1da  autda	x16, x17
0xfffffff008a25048: 113d80d2  mov	x17, #0x1e8
0xfffffff008a2504c: 1002118b  add	x16, x16, x17
0xfffffff008a25050: 080240f9  ldr	x8, [x16]
0xfffffff008a25054: e90310aa  mov	x9, x16
0xfffffff008a25058: e00313aa  mov	x0, x19
0xfffffff008a2505c: 010080d2  mov	x1, #0
0xfffffff008a25060: f10309aa  mov	x17, x9
0xfffffff008a25064: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a25068: 11093fd7  blraa	x8, x17
0xfffffff008a2506c: 700240f9  ldr	x16, [x19]
0xfffffff008a25070: f10313aa  mov	x17, x19
0xfffffff008a25074: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a25078: 301ac1da  autda	x16, x17
0xfffffff008a2507c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a25080: 1002118b  add	x16, x16, x17
0xfffffff008a25084: 080240f9  ldr	x8, [x16]
0xfffffff008a25088: e90310aa  mov	x9, x16
0xfffffff008a2508c: e00313aa  mov	x0, x19
0xfffffff008a25090: 010080d2  mov	x1, #0
0xfffffff008a25094: f10309aa  mov	x17, x9
0xfffffff008a25098: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2509c: 11093fd7  blraa	x8, x17
0xfffffff008a250a0: 75298052  mov	w21, #0x14b
0xfffffff008a250a4: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a250a8: b643fff0  adrp	x22, #0xfffffff00729c000
0xfffffff008a250ac: d6962f91  add	x22, x22, #0xbe5
0xfffffff008a250b0: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a250b4: a043ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a250b8: 00003991  add	x0, x0, #0xe40
0xfffffff008a250bc: 2181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a250c0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a250c4: c343fff0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a250c8: 636c0391  add	x3, x3, #0xdb
0xfffffff008a250cc: 02028052  mov	w2, #0x10
0xfffffff008a250d0: 1838e497  bl	#0xfffffff008333130
0xfffffff008a250d4: 700240f9  ldr	x16, [x19]
0xfffffff008a250d8: f10313aa  mov	x17, x19
0xfffffff008a250dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a250e0: 301ac1da  autda	x16, x17
0xfffffff008a250e4: f10310aa  mov	x17, x16
0xfffffff008a250e8: f147c1da  xpacd	x17
0xfffffff008a250ec: 1f0211eb  cmp	x16, x17
0xfffffff008a250f0: 40000054  b.eq	#0xfffffff008a250f8
0xfffffff008a250f4: 408e38d4  brk	#0xc472
0xfffffff008a250f8: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a250fc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a25100: e00313aa  mov	x0, x19
0xfffffff008a25104: 010080d2  mov	x1, #0
0xfffffff008a25108: f10308aa  mov	x17, x8
0xfffffff008a2510c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a25110: 31093fd7  blraa	x9, x17
0xfffffff008a25114: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a25118: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a2511c: a043fff0  adrp	x0, #0xfffffff00729c000
0xfffffff008a25120: 00102c91  add	x0, x0, #0xb04
0xfffffff008a25124: bfc7e497  bl	#0xfffffff008357020
0xfffffff008a25128: f6588052  mov	w22, #0x2c7
0xfffffff008a2512c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008a25130: e00316aa  mov	x0, x22
