; Candidate 13660
; ADRP+ADD at VM 0xfffffff0093bfac0 (fileoff 0x23bbac0): page=0x1fe148000 add_imm=0xe4c

0xfffffff0093bfa40: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff0093bfa44: 6840ffb0  adrp	x8, #0xfffffff007bcc000
0xfffffff0093bfa48: 080142f9  ldr	x8, [x8, #0x400]
0xfffffff0093bfa4c: 020140f9  ldr	x2, [x8]
0xfffffff0093bfa50: 700240f9  ldr	x16, [x19]
0xfffffff0093bfa54: 901ac1da  autda	x16, x20
0xfffffff0093bfa58: 112680d2  mov	x17, #0x130
0xfffffff0093bfa5c: 1002118b  add	x16, x16, x17
0xfffffff0093bfa60: 080240f9  ldr	x8, [x16]
0xfffffff0093bfa64: e90310aa  mov	x9, x16
0xfffffff0093bfa68: 410aff90  adrp	x1, #0xfffffff007507000
0xfffffff0093bfa6c: 21941791  add	x1, x1, #0x5e5
0xfffffff0093bfa70: e00313aa  mov	x0, x19
0xfffffff0093bfa74: 63008052  mov	w3, #3
0xfffffff0093bfa78: f10309aa  mov	x17, x9
0xfffffff0093bfa7c: f141f4f2  movk	x17, #0xa20f, lsl #48
0xfffffff0093bfa80: 11093fd7  blraa	x8, x17
0xfffffff0093bfa84: 6840ffb0  adrp	x8, #0xfffffff007bcc000
0xfffffff0093bfa88: 08e541f9  ldr	x8, [x8, #0x3c8]
0xfffffff0093bfa8c: 010140f9  ldr	x1, [x8]
0xfffffff0093bfa90: 9990bc97  bl	#0xfffffff0082e3cf4
0xfffffff0093bfa94: 600100b4  cbz	x0, #0xfffffff0093bfac0
0xfffffff0093bfa98: 100040f9  ldr	x16, [x0]
0xfffffff0093bfa9c: f10300aa  mov	x17, x0
0xfffffff0093bfaa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093bfaa4: 301ac1da  autda	x16, x17
0xfffffff0093bfaa8: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0093bfaac: e90310aa  mov	x9, x16
0xfffffff0093bfab0: f10309aa  mov	x17, x9
0xfffffff0093bfab4: 910cf4f2  movk	x17, #0xa064, lsl #48
0xfffffff0093bfab8: 11093fd7  blraa	x8, x17
0xfffffff0093bfabc: 606a01b9  str	w0, [x19, #0x168]
0xfffffff0093bfac0: 400aff90  adrp	x0, #0xfffffff007507000
0xfffffff0093bfac4: 00303991  add	x0, x0, #0xe4c
0xfffffff0093bfac8: e1130091  add	x1, sp, #4
0xfffffff0093bfacc: 82008052  mov	w2, #4
0xfffffff0093bfad0: 3ab5c297  bl	#0xfffffff00846cfb8
0xfffffff0093bfad4: 00010034  cbz	w0, #0xfffffff0093bfaf4
0xfffffff0093bfad8: e80740b9  ldr	w8, [sp, #4]
0xfffffff0093bfadc: c8000034  cbz	w8, #0xfffffff0093bfaf4
0xfffffff0093bfae0: 686a01b9  str	w8, [x19, #0x168]
0xfffffff0093bfae4: 05000014  b	#0xfffffff0093bfaf8
0xfffffff0093bfae8: e05a8052  mov	w0, #0x2d7
0xfffffff0093bfaec: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0093bfaf0: cfffff17  b	#0xfffffff0093bfa2c
0xfffffff0093bfaf4: 686a41b9  ldr	w8, [x19, #0x168]
0xfffffff0093bfaf8: e203082a  mov	w2, w8
0xfffffff0093bfafc: 700240f9  ldr	x16, [x19]
0xfffffff0093bfb00: 901ac1da  autda	x16, x20
0xfffffff0093bfb04: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0093bfb08: e90310aa  mov	x9, x16
0xfffffff0093bfb0c: 410aff90  adrp	x1, #0xfffffff007507000
0xfffffff0093bfb10: 21941791  add	x1, x1, #0x5e5
0xfffffff0093bfb14: e00313aa  mov	x0, x19
0xfffffff0093bfb18: 03048052  mov	w3, #0x20
0xfffffff0093bfb1c: f10309aa  mov	x17, x9
0xfffffff0093bfb20: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff0093bfb24: 11093fd7  blraa	x8, x17
0xfffffff0093bfb28: 00008052  mov	w0, #0
0xfffffff0093bfb2c: c0ffff17  b	#0xfffffff0093bfa2c
0xfffffff0093bfb30: 7f2303d5  pacibsp	
0xfffffff0093bfb34: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0093bfb38: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0093bfb3c: fd430091  add	x29, sp, #0x10
