; Candidate 8956
; ADRP+ADD at VM 0xfffffff0088fdf04 (fileoff 0x18f9f04): page=0x1fe973000 add_imm=0xe3e

0xfffffff0088fde84: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088fde88: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088fde8c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0088fde90: ffc30191  add	sp, sp, #0x70
0xfffffff0088fde94: ff0f5fd6  retab	
0xfffffff0088fde98: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fde9c: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff0088fdea0: e8f30132  mov	w8, #-0x55555556
0xfffffff0088fdea4: a8431db8  stur	w8, [x29, #-0x2c]
0xfffffff0088fdea8: a0a300d1  sub	x0, x29, #0x28
0xfffffff0088fdeac: a1b300d1  sub	x1, x29, #0x2c
0xfffffff0088fdeb0: 1559d797  bl	#0xfffffff007ed4304
0xfffffff0088fdeb4: b5835df8  ldur	x21, [x29, #-0x28]
0xfffffff0088fdeb8: 700240f9  ldr	x16, [x19]
0xfffffff0088fdebc: 901ac1da  autda	x16, x20
0xfffffff0088fdec0: f10310aa  mov	x17, x16
0xfffffff0088fdec4: f147c1da  xpacd	x17
0xfffffff0088fdec8: 1f0211eb  cmp	x16, x17
0xfffffff0088fdecc: 40000054  b.eq	#0xfffffff0088fded4
0xfffffff0088fded0: 408e38d4  brk	#0xc472
0xfffffff0088fded4: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fded8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fdedc: b4435db8  ldur	w20, [x29, #-0x2c]
0xfffffff0088fdee0: e00313aa  mov	x0, x19
0xfffffff0088fdee4: 010080d2  mov	x1, #0
0xfffffff0088fdee8: f10308aa  mov	x17, x8
0xfffffff0088fdeec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088fdef0: 31093fd7  blraa	x9, x17
0xfffffff0088fdef4: 884bfff0  adrp	x8, #0xfffffff007270000
0xfffffff0088fdef8: 08813791  add	x8, x8, #0xde0
0xfffffff0088fdefc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088fdf00: f55300a9  stp	x21, x20, [sp]
0xfffffff0088fdf04: 804bfff0  adrp	x0, #0xfffffff007270000
0xfffffff0088fdf08: 00f83891  add	x0, x0, #0xe3e
0xfffffff0088fdf0c: c9ffff17  b	#0xfffffff0088fde30
0xfffffff0088fdf10: 7f2303d5  pacibsp	
0xfffffff0088fdf14: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088fdf18: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088fdf1c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088fdf20: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088fdf24: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088fdf28: fdc30191  add	x29, sp, #0x70
0xfffffff0088fdf2c: f30300aa  mov	x19, x0
0xfffffff0088fdf30: 8df3ff97  bl	#0xfffffff0088fad64
0xfffffff0088fdf34: 80000837  tbnz	w0, #1, #0xfffffff0088fdf44
0xfffffff0088fdf38: f60313aa  mov	x22, x19
0xfffffff0088fdf3c: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff0088fdf40: 23000014  b	#0xfffffff0088fdfcc
0xfffffff0088fdf44: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fdf48: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0088fdf4c: e8f30132  mov	w8, #-0x55555556
0xfffffff0088fdf50: e83700b9  str	w8, [sp, #0x34]
0xfffffff0088fdf54: e0e30091  add	x0, sp, #0x38
0xfffffff0088fdf58: e1d30091  add	x1, sp, #0x34
0xfffffff0088fdf5c: ea58d797  bl	#0xfffffff007ed4304
0xfffffff0088fdf60: f41f40f9  ldr	x20, [sp, #0x38]
0xfffffff0088fdf64: 700240f9  ldr	x16, [x19]
0xfffffff0088fdf68: f60313aa  mov	x22, x19
0xfffffff0088fdf6c: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff0088fdf70: f10313aa  mov	x17, x19
0xfffffff0088fdf74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fdf78: 301ac1da  autda	x16, x17
0xfffffff0088fdf7c: f10310aa  mov	x17, x16
0xfffffff0088fdf80: f147c1da  xpacd	x17
