; Candidate 7888
; ADRP+ADD at VM 0xfffffff008885f20 (fileoff 0x1881f20): page=0x1fe964000 add_imm=0xe80

0xfffffff008885ea0: e00313aa  mov	x0, x19
0xfffffff008885ea4: e10319aa  mov	x1, x25
0xfffffff008885ea8: 63a7fe97  bl	#0xfffffff00882fc34
0xfffffff008885eac: 7f070071  cmp	w27, #1
0xfffffff008885eb0: 81000054  b.ne	#0xfffffff008885ec0
0xfffffff008885eb4: e00314aa  mov	x0, x20
0xfffffff008885eb8: e10319aa  mov	x1, x25
0xfffffff008885ebc: a1feff97  bl	#0xfffffff008885940
0xfffffff008885ec0: 19008052  mov	w25, #0
0xfffffff008885ec4: 1e000014  b	#0xfffffff008885f3c
0xfffffff008885ec8: b9b80094  bl	#0xfffffff0088b41ac
0xfffffff008885ecc: f90300aa  mov	x25, x0
0xfffffff008885ed0: 80008052  mov	w0, #4
0xfffffff008885ed4: 5fd6ff97  bl	#0xfffffff00887b850
0xfffffff008885ed8: e80318aa  mov	x8, x24
0xfffffff008885edc: e90317aa  mov	x9, x23
0xfffffff008885ee0: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff008885ee4: e80316aa  mov	x8, x22
0xfffffff008885ee8: e90315aa  mov	x9, x21
0xfffffff008885eec: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008885ef0: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff008885ef4: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008885ef8: 08491c91  add	x8, x8, #0x712
0xfffffff008885efc: a90f8052  mov	w9, #0x7d
0xfffffff008885f00: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008885f04: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008885f08: 08d11a91  add	x8, x8, #0x6b4
0xfffffff008885f0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008885f10: 480d8052  mov	w8, #0x6a
0xfffffff008885f14: a34efff0  adrp	x3, #0xfffffff00725c000
0xfffffff008885f18: 63801891  add	x3, x3, #0x620
0xfffffff008885f1c: f92300a9  stp	x25, x8, [sp]
0xfffffff008885f20: 204bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008885f24: 00003a91  add	x0, x0, #0xe80
0xfffffff008885f28: 018cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008885f2c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008885f30: 02008052  mov	w2, #0
0xfffffff008885f34: 7fb4ea97  bl	#0xfffffff008333130
0xfffffff008885f38: 197d8012  mov	w25, #-0x3e9
0xfffffff008885f3c: 400d8052  mov	w0, #0x6a
0xfffffff008885f40: e1008052  mov	w1, #7
0xfffffff008885f44: 23d6ff97  bl	#0xfffffff00887b7d0
0xfffffff008885f48: 80050034  cbz	w0, #0xfffffff008885ff8
0xfffffff008885f4c: 400d8052  mov	w0, #0x6a
0xfffffff008885f50: 32d6ff97  bl	#0xfffffff00887b818
0xfffffff008885f54: fb0300aa  mov	x27, x0
0xfffffff008885f58: 95b80094  bl	#0xfffffff0088b41ac
0xfffffff008885f5c: fa0300aa  mov	x26, x0
0xfffffff008885f60: e0008052  mov	w0, #7
0xfffffff008885f64: 3bd6ff97  bl	#0xfffffff00887b850
0xfffffff008885f68: db010034  cbz	w27, #0xfffffff008885fa0
0xfffffff008885f6c: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff008885f70: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff008885f74: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008885f78: 484dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008885f7c: 08d11a91  add	x8, x8, #0x6b4
0xfffffff008885f80: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008885f84: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008885f88: 480d8052  mov	w8, #0x6a
0xfffffff008885f8c: 404dff90  adrp	x0, #0xfffffff00722d000
0xfffffff008885f90: 00901e91  add	x0, x0, #0x7a4
0xfffffff008885f94: fa2300a9  stp	x26, x8, [sp]
0xfffffff008885f98: 32c5d497  bl	#0xfffffff007db7460
0xfffffff008885f9c: 17000014  b	#0xfffffff008885ff8
