; Candidate 670
; ADRP+ADD at VM 0xfffffff008011374 (fileoff 0x100d374): page=0x1ff964000 add_imm=0xeb0

0xfffffff0080112f4: c07ffff0  adrp	x0, #0xfffffff00700c000
0xfffffff0080112f8: 00000091  add	x0, x0, #0
0xfffffff0080112fc: 411001b0  adrp	x1, #0xfffffff00a21a000
0xfffffff008011300: 21502f91  add	x1, x1, #0xbd4
0xfffffff008011304: 2385ffd0  adrp	x3, #0xfffffff0070b7000
0xfffffff008011308: 63503191  add	x3, x3, #0xc54
0xfffffff00801130c: 02008052  mov	w2, #0
0xfffffff008011310: 88870c94  bl	#0xfffffff008333130
0xfffffff008011314: c80240f9  ldr	x8, [x22]
0xfffffff008011318: 480100b4  cbz	x8, #0xfffffff008011340
0xfffffff00801131c: 090540f9  ldr	x9, [x8, #8]
0xfffffff008011320: 3f0116eb  cmp	x9, x22
0xfffffff008011324: a1060054  b.ne	#0xfffffff0080113f8
0xfffffff008011328: c90640f9  ldr	x9, [x22, #8]
0xfffffff00801132c: 2a0140f9  ldr	x10, [x9]
0xfffffff008011330: 5f0116eb  cmp	x10, x22
0xfffffff008011334: 21050054  b.ne	#0xfffffff0080113d8
0xfffffff008011338: 090500f9  str	x9, [x8, #8]
0xfffffff00801133c: 06000014  b	#0xfffffff008011354
0xfffffff008011340: c80640f9  ldr	x8, [x22, #8]
0xfffffff008011344: 090140f9  ldr	x9, [x8]
0xfffffff008011348: 3f0116eb  cmp	x9, x22
0xfffffff00801134c: 61040054  b.ne	#0xfffffff0080113d8
0xfffffff008011350: 883a00f9  str	x8, [x20, #0x70]
0xfffffff008011354: c82640a9  ldp	x8, x9, [x22]
0xfffffff008011358: 280100f9  str	x8, [x9]
0xfffffff00801135c: c21240b9  ldr	w2, [x22, #0x10]
0xfffffff008011360: c10e40f9  ldr	x1, [x22, #0x18]
0xfffffff008011364: df0e00f9  str	xzr, [x22, #0x18]
0xfffffff008011368: e0caffd0  adrp	x0, #0xfffffff00796f000
0xfffffff00801136c: 00201a91  add	x0, x0, #0x688
0xfffffff008011370: bf55f697  bl	#0xfffffff007da6a6c
0xfffffff008011374: 20cbff90  adrp	x0, #0xfffffff007975000
0xfffffff008011378: 00c03a91  add	x0, x0, #0xeb0
0xfffffff00801137c: e10316aa  mov	x1, x22
0xfffffff008011380: 23e2f797  bl	#0xfffffff007e09c0c
0xfffffff008011384: 885240b9  ldr	w8, [x20, #0x50]
0xfffffff008011388: 68000034  cbz	w8, #0xfffffff008011394
0xfffffff00801138c: 08050051  sub	w8, w8, #1
0xfffffff008011390: 885200b9  str	w8, [x20, #0x50]
0xfffffff008011394: 895640b9  ldr	w9, [x20, #0x54]
0xfffffff008011398: 1f01096b  cmp	w8, w9
0xfffffff00801139c: 62000054  b.hs	#0xfffffff0080113a8
0xfffffff0080113a0: e00314aa  mov	x0, x20
0xfffffff0080113a4: 1d000094  bl	#0xfffffff008011418
0xfffffff0080113a8: e00313aa  mov	x0, x19
0xfffffff0080113ac: 9f74f697  bl	#0xfffffff007dae628
0xfffffff0080113b0: 601101d0  adrp	x0, #0xfffffff00a23f000
0xfffffff0080113b4: 00e01b91  add	x0, x0, #0x6f8
0xfffffff0080113b8: 9c74f697  bl	#0xfffffff007dae628
0xfffffff0080113bc: e00315aa  mov	x0, x21
0xfffffff0080113c0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0080113c4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0080113c8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0080113cc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0080113d0: ff830191  add	sp, sp, #0x60
0xfffffff0080113d4: ff0f5fd6  retab	
0xfffffff0080113d8: 68588152  mov	w8, #0xac3
0xfffffff0080113dc: c982ffb0  adrp	x9, #0xfffffff00706a000
0xfffffff0080113e0: 29953191  add	x9, x9, #0xc65
0xfffffff0080113e4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080113e8: f62300a9  stp	x22, x8, [sp]
0xfffffff0080113ec: 2084ffb0  adrp	x0, #0xfffffff007096000
0xfffffff0080113f0: 00502c91  add	x0, x0, #0xb14
