; Candidate 12833
; ADRP+ADD at VM 0xfffffff00916587c (fileoff 0x216187c): page=0x1fe326000 add_imm=0xe58

0xfffffff0091657fc: 3f01136b  cmp	w9, w19
0xfffffff009165800: e0fcff54  b.eq	#0xfffffff00916579c
0xfffffff009165804: 2819ffd0  adrp	x8, #0xfffffff00748b000
0xfffffff009165808: 088d3891  add	x8, x8, #0xe23
0xfffffff00916580c: e80300f9  str	x8, [sp]
0xfffffff009165810: 2019ffd0  adrp	x0, #0xfffffff00748b000
0xfffffff009165814: 00243891  add	x0, x0, #0xe09
0xfffffff009165818: 02c6c797  bl	#0xfffffff008357020
0xfffffff00916581c: a8f35e38  ldurb	w8, [x29, #-0x11]
0xfffffff009165820: 1f010071  cmp	w8, #0
0xfffffff009165824: e8079f1a  cset	w8, ne
0xfffffff009165828: ddffff17  b	#0xfffffff00916579c
0xfffffff00916582c: 7f2303d5  pacibsp	
0xfffffff009165830: ffc301d1  sub	sp, sp, #0x70
0xfffffff009165834: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009165838: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00916583c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009165840: fd830191  add	x29, sp, #0x60
0xfffffff009165844: f40301aa  mov	x20, x1
0xfffffff009165848: f30300aa  mov	x19, x0
0xfffffff00916584c: 0b204439  ldrb	w11, [x0, #0x108]
0xfffffff009165850: 097440f9  ldr	x9, [x0, #0xe8]
0xfffffff009165854: 0adc40b9  ldr	w10, [x0, #0xdc]
0xfffffff009165858: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff00916585c: e803012a  mov	w8, w1
0xfffffff009165860: 2919ffd0  adrp	x9, #0xfffffff00748b000
0xfffffff009165864: 29513a91  add	x9, x9, #0xe94
0xfffffff009165868: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff00916586c: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009165870: 2819ffd0  adrp	x8, #0xfffffff00748b000
0xfffffff009165874: 08b92691  add	x8, x8, #0x9ae
0xfffffff009165878: 09518052  mov	w9, #0x288
0xfffffff00916587c: 2019ffd0  adrp	x0, #0xfffffff00748b000
0xfffffff009165880: 00603991  add	x0, x0, #0xe58
0xfffffff009165884: e82700a9  stp	x8, x9, [sp]
0xfffffff009165888: e6c5c797  bl	#0xfffffff008357020
0xfffffff00916588c: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff009165890: 280500b4  cbz	x8, #0xfffffff009165934
0xfffffff009165894: 7f7600f9  str	xzr, [x19, #0xe8]
0xfffffff009165898: 68224439  ldrb	w8, [x19, #0x108]
0xfffffff00916589c: 1f01146b  cmp	w8, w20
0xfffffff0091658a0: a1040054  b.ne	#0xfffffff009165934
0xfffffff0091658a4: e00313aa  mov	x0, x19
0xfffffff0091658a8: cb7e1894  bl	#0xfffffff0097853d4
0xfffffff0091658ac: 400400b4  cbz	x0, #0xfffffff009165934
0xfffffff0091658b0: f50300aa  mov	x21, x0
0xfffffff0091658b4: 700240f9  ldr	x16, [x19]
0xfffffff0091658b8: f10313aa  mov	x17, x19
0xfffffff0091658bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091658c0: 301ac1da  autda	x16, x17
0xfffffff0091658c4: 11b180d2  mov	x17, #0x588
0xfffffff0091658c8: 1002118b  add	x16, x16, x17
0xfffffff0091658cc: 080240f9  ldr	x8, [x16]
0xfffffff0091658d0: e90310aa  mov	x9, x16
0xfffffff0091658d4: e00313aa  mov	x0, x19
0xfffffff0091658d8: e10315aa  mov	x1, x21
0xfffffff0091658dc: f10309aa  mov	x17, x9
0xfffffff0091658e0: 917becf2  movk	x17, #0x63dc, lsl #48
0xfffffff0091658e4: 11093fd7  blraa	x8, x17
0xfffffff0091658e8: b00240f9  ldr	x16, [x21]
0xfffffff0091658ec: f10315aa  mov	x17, x21
0xfffffff0091658f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091658f4: 301ac1da  autda	x16, x17
0xfffffff0091658f8: 088e42f8  ldr	x8, [x16, #0x28]!
