; Candidate 16448
; ADRP+ADD at VM 0xfffffff009eabb40 (fileoff 0x2ea7b40): page=0x1fd98a000 add_imm=0xe84

0xfffffff009eabac0: 0e000014  b	#0xfffffff009eabaf8
0xfffffff009eabac4: e1a30091  add	x1, sp, #0x28
0xfffffff009eabac8: e00314aa  mov	x0, x20
0xfffffff009eabacc: ddfbff97  bl	#0xfffffff009eaaa40
0xfffffff009eabad0: a0040034  cbz	w0, #0xfffffff009eabb64
0xfffffff009eabad4: f60300aa  mov	x22, x0
0xfffffff009eabad8: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eabadc: 08212891  add	x8, x8, #0xa08
0xfffffff009eabae0: 69878d52  mov	w9, #0x6c3b
0xfffffff009eabae4: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009eabae8: e80300f9  str	x8, [sp]
0xfffffff009eabaec: 40ccfed0  adrp	x0, #0xfffffff007835000
0xfffffff009eabaf0: 00d43b91  add	x0, x0, #0xef5
0xfffffff009eabaf4: 5b2e7c97  bl	#0xfffffff007db7460
0xfffffff009eabaf8: e00316aa  mov	x0, x22
0xfffffff009eabafc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009eabb00: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009eabb04: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009eabb08: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009eabb0c: ffc30191  add	sp, sp, #0x70
0xfffffff009eabb10: ff0f5fd6  retab	
0xfffffff009eabb14: f6830091  add	x22, sp, #0x20
0xfffffff009eabb18: e2830091  add	x2, sp, #0x20
0xfffffff009eabb1c: e00314aa  mov	x0, x20
0xfffffff009eabb20: e10313aa  mov	x1, x19
0xfffffff009eabb24: 32000094  bl	#0xfffffff009eabbec
0xfffffff009eabb28: 00f7ff34  cbz	w0, #0xfffffff009eaba08
0xfffffff009eabb2c: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eabb30: 08212891  add	x8, x8, #0xa08
0xfffffff009eabb34: 29898d52  mov	w9, #0x6c49
0xfffffff009eabb38: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009eabb3c: e80300f9  str	x8, [sp]
0xfffffff009eabb40: 40ccfed0  adrp	x0, #0xfffffff007835000
0xfffffff009eabb44: 00103a91  add	x0, x0, #0xe84
0xfffffff009eabb48: 462e7c97  bl	#0xfffffff007db7460
0xfffffff009eabb4c: f6830091  add	x22, sp, #0x20
0xfffffff009eabb50: e0830091  add	x0, sp, #0x20
0xfffffff009eabb54: 01008052  mov	w1, #0
0xfffffff009eabb58: 02018052  mov	w2, #8
0xfffffff009eabb5c: 19847a97  bl	#0xfffffff007d4cbc0
0xfffffff009eabb60: aaffff17  b	#0xfffffff009eaba08
0xfffffff009eabb64: f31740f9  ldr	x19, [sp, #0x28]
0xfffffff009eabb68: f3f3ffb5  cbnz	x19, #0xfffffff009eab9e4
0xfffffff009eabb6c: 48888d52  mov	w8, #0x6c42
0xfffffff009eabb70: 49ccfeb0  adrp	x9, #0xfffffff007834000
0xfffffff009eabb74: 291d3591  add	x9, x9, #0xd47
0xfffffff009eabb78: 6accfeb0  adrp	x10, #0xfffffff007838000
0xfffffff009eabb7c: 4a6d2891  add	x10, x10, #0xa1b
0xfffffff009eabb80: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009eabb84: ea0300f9  str	x10, [sp]
0xfffffff009eabb88: c0cdfed0  adrp	x0, #0xfffffff007865000
0xfffffff009eabb8c: 00783091  add	x0, x0, #0xc1e
0xfffffff009eabb90: 5fa29797  bl	#0xfffffff00849450c
0xfffffff009eabb94: 7f2303d5  pacibsp	
0xfffffff009eabb98: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009eabb9c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009eabba0: fd430091  add	x29, sp, #0x10
0xfffffff009eabba4: f30300aa  mov	x19, x0
0xfffffff009eabba8: 000040f9  ldr	x0, [x0]
0xfffffff009eabbac: a00100b4  cbz	x0, #0xfffffff009eabbe0
0xfffffff009eabbb0: 242d0294  bl	#0xfffffff009f37040
0xfffffff009eabbb4: 7f0200f9  str	xzr, [x19]
0xfffffff009eabbb8: e00313aa  mov	x0, x19
0xfffffff009eabbbc: 01008052  mov	w1, #0
