; Candidate 14892
; ADRP+ADD at VM 0xfffffff0099df1a8 (fileoff 0x29db1a8): page=0x1fdc1e000 add_imm=0xdc2

0xfffffff0099df128: b64e00f0  adrp	x22, #0xfffffff00a3b6000
0xfffffff0099df12c: d6a22291  add	x22, x22, #0x8a8
0xfffffff0099df130: c80240b9  ldr	w8, [x22]
0xfffffff0099df134: 28040036  tbz	w8, #0, #0xfffffff0099df1b8
0xfffffff0099df138: 900240f9  ldr	x16, [x20]
0xfffffff0099df13c: f10314aa  mov	x17, x20
0xfffffff0099df140: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099df144: 301ac1da  autda	x16, x17
0xfffffff0099df148: 113d80d2  mov	x17, #0x1e8
0xfffffff0099df14c: 1002118b  add	x16, x16, x17
0xfffffff0099df150: 080240f9  ldr	x8, [x16]
0xfffffff0099df154: e90310aa  mov	x9, x16
0xfffffff0099df158: e00314aa  mov	x0, x20
0xfffffff0099df15c: 010080d2  mov	x1, #0
0xfffffff0099df160: f10309aa  mov	x17, x9
0xfffffff0099df164: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0099df168: 11093fd7  blraa	x8, x17
0xfffffff0099df16c: f30300aa  mov	x19, x0
0xfffffff0099df170: 950100b4  cbz	x21, #0xfffffff0099df1a0
0xfffffff0099df174: b00240f9  ldr	x16, [x21]
0xfffffff0099df178: f10315aa  mov	x17, x21
0xfffffff0099df17c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099df180: 301ac1da  autda	x16, x17
0xfffffff0099df184: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0099df188: e90310aa  mov	x9, x16
0xfffffff0099df18c: e00315aa  mov	x0, x21
0xfffffff0099df190: f10309aa  mov	x17, x9
0xfffffff0099df194: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0099df198: 11093fd7  blraa	x8, x17
0xfffffff0099df19c: 02000014  b	#0xfffffff0099df1a4
0xfffffff0099df1a0: 00008052  mov	w0, #0
0xfffffff0099df1a4: f30300a9  stp	x19, x0, [sp]
0xfffffff0099df1a8: e0e0fed0  adrp	x0, #0xfffffff0075fd000
0xfffffff0099df1ac: 00083791  add	x0, x0, #0xdc2
0xfffffff0099df1b0: e840aa97  bl	#0xfffffff00846f550
0xfffffff0099df1b4: c80240b9  ldr	w8, [x22]
0xfffffff0099df1b8: 08040836  tbz	w8, #1, #0xfffffff0099df238
0xfffffff0099df1bc: 900240f9  ldr	x16, [x20]
0xfffffff0099df1c0: f10314aa  mov	x17, x20
0xfffffff0099df1c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099df1c8: 301ac1da  autda	x16, x17
0xfffffff0099df1cc: 113d80d2  mov	x17, #0x1e8
0xfffffff0099df1d0: 1002118b  add	x16, x16, x17
0xfffffff0099df1d4: 080240f9  ldr	x8, [x16]
0xfffffff0099df1d8: e90310aa  mov	x9, x16
0xfffffff0099df1dc: e00314aa  mov	x0, x20
0xfffffff0099df1e0: 010080d2  mov	x1, #0
0xfffffff0099df1e4: f10309aa  mov	x17, x9
0xfffffff0099df1e8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0099df1ec: 11093fd7  blraa	x8, x17
0xfffffff0099df1f0: f30300aa  mov	x19, x0
0xfffffff0099df1f4: 950100b4  cbz	x21, #0xfffffff0099df224
0xfffffff0099df1f8: b00240f9  ldr	x16, [x21]
0xfffffff0099df1fc: f10315aa  mov	x17, x21
0xfffffff0099df200: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099df204: 301ac1da  autda	x16, x17
0xfffffff0099df208: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0099df20c: e90310aa  mov	x9, x16
0xfffffff0099df210: e00315aa  mov	x0, x21
0xfffffff0099df214: f10309aa  mov	x17, x9
0xfffffff0099df218: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0099df21c: 11093fd7  blraa	x8, x17
0xfffffff0099df220: 02000014  b	#0xfffffff0099df228
0xfffffff0099df224: 00008052  mov	w0, #0
