; Candidate 9235
; ADRP+ADD at VM 0xfffffff008a111d0 (fileoff 0x1a0d1d0): page=0x1fe888000 add_imm=0xe40

0xfffffff008a11150: 809a40f9  ldr	x0, [x20, #0x130]
0xfffffff008a11154: 100040f9  ldr	x16, [x0]
0xfffffff008a11158: f10300aa  mov	x17, x0
0xfffffff008a1115c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a11160: 301ac1da  autda	x16, x17
0xfffffff008a11164: f10310aa  mov	x17, x16
0xfffffff008a11168: f147c1da  xpacd	x17
0xfffffff008a1116c: 1f0211eb  cmp	x16, x17
0xfffffff008a11170: 40000054  b.eq	#0xfffffff008a11178
0xfffffff008a11174: 408e38d4  brk	#0xc472
0xfffffff008a11178: 08421c91  add	x8, x16, #0x710
0xfffffff008a1117c: 098a43f9  ldr	x9, [x16, #0x710]
0xfffffff008a11180: 01008052  mov	w1, #0
0xfffffff008a11184: f10308aa  mov	x17, x8
0xfffffff008a11188: 51e6f4f2  movk	x17, #0xa732, lsl #48
0xfffffff008a1118c: 31093fd7  blraa	x9, x17
0xfffffff008a11190: 900240f9  ldr	x16, [x20]
0xfffffff008a11194: f10314aa  mov	x17, x20
0xfffffff008a11198: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1119c: 301ac1da  autda	x16, x17
0xfffffff008a111a0: 115480d2  mov	x17, #0x2a0
0xfffffff008a111a4: 1002118b  add	x16, x16, x17
0xfffffff008a111a8: 080240f9  ldr	x8, [x16]
0xfffffff008a111ac: e90310aa  mov	x9, x16
0xfffffff008a111b0: e00314aa  mov	x0, x20
0xfffffff008a111b4: 01008052  mov	w1, #0
0xfffffff008a111b8: f10309aa  mov	x17, x9
0xfffffff008a111bc: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff008a111c0: 11093fd7  blraa	x8, x17
0xfffffff008a111c4: 35008052  mov	w21, #1
0xfffffff008a111c8: f9080037  tbnz	w25, #0, #0xfffffff008a112e4
0xfffffff008a111cc: fb010014  b	#0xfffffff008a119b8
0xfffffff008a111d0: 4044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a111d4: 00003991  add	x0, x0, #0xe40
0xfffffff008a111d8: c181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a111dc: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a111e0: 6344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a111e4: 630c1491  add	x3, x3, #0x503
0xfffffff008a111e8: 02028052  mov	w2, #0x10
0xfffffff008a111ec: d187e497  bl	#0xfffffff008333130
0xfffffff008a111f0: 4044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a111f4: 00202c91  add	x0, x0, #0xb08
0xfffffff008a111f8: 8a17e597  bl	#0xfffffff008357020
0xfffffff008a111fc: 900240f9  ldr	x16, [x20]
0xfffffff008a11200: f10314aa  mov	x17, x20
0xfffffff008a11204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a11208: 301ac1da  autda	x16, x17
0xfffffff008a1120c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a11210: 1002118b  add	x16, x16, x17
0xfffffff008a11214: 080240f9  ldr	x8, [x16]
0xfffffff008a11218: e90310aa  mov	x9, x16
0xfffffff008a1121c: e00314aa  mov	x0, x20
0xfffffff008a11220: 010080d2  mov	x1, #0
0xfffffff008a11224: f10309aa  mov	x17, x9
0xfffffff008a11228: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1122c: 11093fd7  blraa	x8, x17
0xfffffff008a11230: 900240f9  ldr	x16, [x20]
0xfffffff008a11234: f10314aa  mov	x17, x20
0xfffffff008a11238: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1123c: 301ac1da  autda	x16, x17
0xfffffff008a11240: 113d80d2  mov	x17, #0x1e8
0xfffffff008a11244: 1002118b  add	x16, x16, x17
0xfffffff008a11248: 080240f9  ldr	x8, [x16]
0xfffffff008a1124c: e90310aa  mov	x9, x16
