; Candidate 12662
; ADRP+ADD at VM 0xfffffff009108138 (fileoff 0x2104138): page=0x1fea54000 add_imm=0xeb8

0xfffffff0091080b8: 00dc0791  add	x0, x0, #0x1f7
0xfffffff0091080bc: c97bc897  bl	#0xfffffff008326fe0
0xfffffff0091080c0: f40300aa  mov	x20, x0
0xfffffff0091080c4: 700240f9  ldr	x16, [x19]
0xfffffff0091080c8: f10313aa  mov	x17, x19
0xfffffff0091080cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091080d0: 301ac1da  autda	x16, x17
0xfffffff0091080d4: f10310aa  mov	x17, x16
0xfffffff0091080d8: f147c1da  xpacd	x17
0xfffffff0091080dc: 1f0211eb  cmp	x16, x17
0xfffffff0091080e0: 40000054  b.eq	#0xfffffff0091080e8
0xfffffff0091080e4: 408e38d4  brk	#0xc472
0xfffffff0091080e8: 08020491  add	x8, x16, #0x100
0xfffffff0091080ec: 098240f9  ldr	x9, [x16, #0x100]
0xfffffff0091080f0: 411bffb0  adrp	x1, #0xfffffff007471000
0xfffffff0091080f4: 210c0891  add	x1, x1, #0x203
0xfffffff0091080f8: e00313aa  mov	x0, x19
0xfffffff0091080fc: e20314aa  mov	x2, x20
0xfffffff009108100: f10308aa  mov	x17, x8
0xfffffff009108104: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff009108108: 31093fd7  blraa	x9, x17
0xfffffff00910810c: e00313aa  mov	x0, x19
0xfffffff009108110: 01008092  mov	x1, #-1
0xfffffff009108114: 1e07ca97  bl	#0xfffffff008389d8c
0xfffffff009108118: 400800b4  cbz	x0, #0xfffffff009108220
0xfffffff00910811c: f50300aa  mov	x21, x0
0xfffffff009108120: 6852ffd0  adrp	x8, #0xfffffff007b56000
0xfffffff009108124: 08c10c91  add	x8, x8, #0x330
0xfffffff009108128: 010140f9  ldr	x1, [x8]
0xfffffff00910812c: f26ec797  bl	#0xfffffff0082e3cf4
0xfffffff009108130: a00700b4  cbz	x0, #0xfffffff009108224
0xfffffff009108134: 174440f9  ldr	x23, [x0, #0x88]
0xfffffff009108138: a052ff90  adrp	x0, #0xfffffff007b5c000
0xfffffff00910813c: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009108140: 01038052  mov	w1, #0x18
0xfffffff009108144: 3d7dc797  bl	#0xfffffff0082e7638
0xfffffff009108148: f60300aa  mov	x22, x0
0xfffffff00910814c: 78900090  adrp	x24, #0xfffffff00a314000
0xfffffff009108150: 18832691  add	x24, x24, #0x9a0
0xfffffff009108154: e10318aa  mov	x1, x24
0xfffffff009108158: 857dc797  bl	#0xfffffff0082e776c
0xfffffff00910815c: 5052fff0  adrp	x16, #0xfffffff007b53000
0xfffffff009108160: 10a22f91  add	x16, x16, #0xbe8
0xfffffff009108164: 10420091  add	x16, x16, #0x10
0xfffffff009108168: f10300aa  mov	x17, x0
0xfffffff00910816c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009108170: 300ac1da  pacda	x16, x17
0xfffffff009108174: 100000f9  str	x16, [x0]
0xfffffff009108178: e00318aa  mov	x0, x24
0xfffffff00910817c: ee73c797  bl	#0xfffffff0082e5134
0xfffffff009108180: e00316aa  mov	x0, x22
0xfffffff009108184: e10317aa  mov	x1, x23
0xfffffff009108188: 28000094  bl	#0xfffffff009108228
0xfffffff00910818c: 740100b4  cbz	x20, #0xfffffff0091081b8
0xfffffff009108190: 900240f9  ldr	x16, [x20]
0xfffffff009108194: f10314aa  mov	x17, x20
0xfffffff009108198: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00910819c: 301ac1da  autda	x16, x17
0xfffffff0091081a0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0091081a4: e90310aa  mov	x9, x16
0xfffffff0091081a8: e00314aa  mov	x0, x20
0xfffffff0091081ac: f10309aa  mov	x17, x9
0xfffffff0091081b0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0091081b4: 11093fd7  blraa	x8, x17
