; Candidate 14267
; ADRP+ADD at VM 0xfffffff00975bba4 (fileoff 0x2757ba4): page=0xc30000 add_imm=0xea8

0xfffffff00975bb24: 88f1fed0  adrp	x8, #0xfffffff00758d000
0xfffffff00975bb28: 08c93491  add	x8, x8, #0xd32
0xfffffff00975bb2c: 1301959a  csel	x19, x8, x21, eq
0xfffffff00975bb30: e00314aa  mov	x0, x20
0xfffffff00975bb34: ca33fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975bb38: e80300aa  mov	x8, x0
0xfffffff00975bb3c: e00315aa  mov	x0, x21
0xfffffff00975bb40: 880100b5  cbnz	x8, #0xfffffff00975bb70
0xfffffff00975bb44: 900240f9  ldr	x16, [x20]
0xfffffff00975bb48: f01ac1da  autda	x16, x23
0xfffffff00975bb4c: 114380d2  mov	x17, #0x218
0xfffffff00975bb50: 1002118b  add	x16, x16, x17
0xfffffff00975bb54: 080240f9  ldr	x8, [x16]
0xfffffff00975bb58: e90310aa  mov	x9, x16
0xfffffff00975bb5c: e00314aa  mov	x0, x20
0xfffffff00975bb60: 010080d2  mov	x1, #0
0xfffffff00975bb64: f10309aa  mov	x17, x9
0xfffffff00975bb68: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975bb6c: 11093fd7  blraa	x8, x17
0xfffffff00975bb70: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff00975bb74: 080140b9  ldr	w8, [x8]
0xfffffff00975bb78: e02302a9  stp	x0, x8, [sp, #0x20]
0xfffffff00975bb7c: f94f01a9  stp	x25, x19, [sp, #0x10]
0xfffffff00975bb80: 88f1feb0  adrp	x8, #0xfffffff00758c000
0xfffffff00975bb84: 081d0291  add	x8, x8, #0x87
0xfffffff00975bb88: f82300a9  stp	x24, x8, [sp]
0xfffffff00975bb8c: e0f1feb0  adrp	x0, #0xfffffff007598000
0xfffffff00975bb90: 00243191  add	x0, x0, #0xc49
0xfffffff00975bb94: 23edaf97  bl	#0xfffffff008357020
0xfffffff00975bb98: 18008052  mov	w24, #0
0xfffffff00975bb9c: fc4340f9  ldr	x28, [sp, #0x80]
0xfffffff00975bba0: c0ffff17  b	#0xfffffff00975baa0
0xfffffff00975bba4: 80610090  adrp	x0, #0xfffffff00a38b000
0xfffffff00975bba8: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975bbac: 6b23ae97  bl	#0xfffffff0082e4958
0xfffffff00975bbb0: f90300aa  mov	x25, x0
0xfffffff00975bbb4: e00314aa  mov	x0, x20
0xfffffff00975bbb8: a933fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975bbbc: fa0300aa  mov	x26, x0
0xfffffff00975bbc0: 95f1fed0  adrp	x21, #0xfffffff00758d000
0xfffffff00975bbc4: b5c63491  add	x21, x21, #0xd31
0xfffffff00975bbc8: 93f1fed0  adrp	x19, #0xfffffff00758d000
0xfffffff00975bbcc: 73ca3491  add	x19, x19, #0xd32
0xfffffff00975bbd0: a00100b5  cbnz	x0, #0xfffffff00975bc04
0xfffffff00975bbd4: 900240f9  ldr	x16, [x20]
0xfffffff00975bbd8: f01ac1da  autda	x16, x23
0xfffffff00975bbdc: 113d80d2  mov	x17, #0x1e8
0xfffffff00975bbe0: 1002118b  add	x16, x16, x17
0xfffffff00975bbe4: 080240f9  ldr	x8, [x16]
0xfffffff00975bbe8: e90310aa  mov	x9, x16
0xfffffff00975bbec: e00314aa  mov	x0, x20
0xfffffff00975bbf0: 010080d2  mov	x1, #0
0xfffffff00975bbf4: f10309aa  mov	x17, x9
0xfffffff00975bbf8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975bbfc: 11093fd7  blraa	x8, x17
0xfffffff00975bc00: fa0300aa  mov	x26, x0
0xfffffff00975bc04: e00314aa  mov	x0, x20
0xfffffff00975bc08: 9533fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975bc0c: 1f0000f1  cmp	x0, #0
0xfffffff00975bc10: 7302959a  csel	x19, x19, x21, eq
0xfffffff00975bc14: e00314aa  mov	x0, x20
0xfffffff00975bc18: 9133fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975bc1c: e80300aa  mov	x8, x0
0xfffffff00975bc20: e00315aa  mov	x0, x21
