; Candidate 14096
; ADRP+ADD at VM 0xfffffff0096fb93c (fileoff 0x26f793c): page=0x1fde95000 add_imm=0xe41

0xfffffff0096fb8bc: e00e00b4  cbz	x0, #0xfffffff0096fba98
0xfffffff0096fb8c0: 700240f9  ldr	x16, [x19]
0xfffffff0096fb8c4: f10313aa  mov	x17, x19
0xfffffff0096fb8c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fb8cc: 301ac1da  autda	x16, x17
0xfffffff0096fb8d0: 116e80d2  mov	x17, #0x370
0xfffffff0096fb8d4: 1002118b  add	x16, x16, x17
0xfffffff0096fb8d8: 080240f9  ldr	x8, [x16]
0xfffffff0096fb8dc: e90310aa  mov	x9, x16
0xfffffff0096fb8e0: e00313aa  mov	x0, x19
0xfffffff0096fb8e4: f10309aa  mov	x17, x9
0xfffffff0096fb8e8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096fb8ec: 11093fd7  blraa	x8, x17
0xfffffff0096fb8f0: 100040f9  ldr	x16, [x0]
0xfffffff0096fb8f4: f10300aa  mov	x17, x0
0xfffffff0096fb8f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fb8fc: 301ac1da  autda	x16, x17
0xfffffff0096fb900: 113d80d2  mov	x17, #0x1e8
0xfffffff0096fb904: 1002118b  add	x16, x16, x17
0xfffffff0096fb908: 080240f9  ldr	x8, [x16]
0xfffffff0096fb90c: e90310aa  mov	x9, x16
0xfffffff0096fb910: 010080d2  mov	x1, #0
0xfffffff0096fb914: f10309aa  mov	x17, x9
0xfffffff0096fb918: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096fb91c: 11093fd7  blraa	x8, x17
0xfffffff0096fb920: 60000014  b	#0xfffffff0096fbaa0
0xfffffff0096fb924: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb928: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb92c: 88f4feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fb930: 08e91391  add	x8, x8, #0x4fa
0xfffffff0096fb934: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fb938: f40300f9  str	x20, [sp]
0xfffffff0096fb93c: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fb940: 00043991  add	x0, x0, #0xe41
0xfffffff0096fb944: b76db197  bl	#0xfffffff008357020
0xfffffff0096fb948: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fb94c: 100040f9  ldr	x16, [x0]
0xfffffff0096fb950: f10300aa  mov	x17, x0
0xfffffff0096fb954: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fb958: 301ac1da  autda	x16, x17
0xfffffff0096fb95c: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096fb960: e90310aa  mov	x9, x16
0xfffffff0096fb964: f0fffff0  adrp	x16, #0xfffffff0096fa000
0xfffffff0096fb968: 10923b91  add	x16, x16, #0xee4
0xfffffff0096fb96c: 31a897d2  mov	x17, #0xbd41
0xfffffff0096fb970: 3002c1da  pacia	x16, x17
0xfffffff0096fb974: 2f000014  b	#0xfffffff0096fba30
0xfffffff0096fb978: 80f4fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096fb97c: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096fb980: 88f4feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0096fb984: 08e91391  add	x8, x8, #0x4fa
0xfffffff0096fb988: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096fb98c: f40300f9  str	x20, [sp]
0xfffffff0096fb990: a0f4feb0  adrp	x0, #0xfffffff007590000
0xfffffff0096fb994: 00a83991  add	x0, x0, #0xe6a
0xfffffff0096fb998: a26db197  bl	#0xfffffff008357020
0xfffffff0096fb99c: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0096fb9a0: 100040f9  ldr	x16, [x0]
0xfffffff0096fb9a4: f10300aa  mov	x17, x0
0xfffffff0096fb9a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096fb9ac: 301ac1da  autda	x16, x17
0xfffffff0096fb9b0: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0096fb9b4: e90310aa  mov	x9, x16
0xfffffff0096fb9b8: f0fffff0  adrp	x16, #0xfffffff0096fa000
