; Candidate 1322
; ADRP+ADD at VM 0xfffffff008350c24 (fileoff 0x134cc24): page=0x1fed53000 add_imm=0xd29

0xfffffff008350ba4: 2000c03d  ldr	q0, [x1]
0xfffffff008350ba8: e003803d  str	q0, [sp]
0xfffffff008350bac: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff008350bb0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008350bb4: e1030091  mov	x1, sp
0xfffffff008350bb8: e00314aa  mov	x0, x20
0xfffffff008350bbc: 8eecff97  bl	#0xfffffff00834bdf4
0xfffffff008350bc0: f30300aa  mov	x19, x0
0xfffffff008350bc4: e00313aa  mov	x0, x19
0xfffffff008350bc8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008350bcc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008350bd0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008350bd4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008350bd8: ff030291  add	sp, sp, #0x80
0xfffffff008350bdc: ff0f5fd6  retab	
0xfffffff008350be0: e00314aa  mov	x0, x20
0xfffffff008350be4: 010080d2  mov	x1, #0
0xfffffff008350be8: 03000014  b	#0xfffffff008350bf4
0xfffffff008350bec: e00314aa  mov	x0, x20
0xfffffff008350bf0: e10315aa  mov	x1, x21
0xfffffff008350bf4: 36560394  bl	#0xfffffff0084264cc
0xfffffff008350bf8: 13008052  mov	w19, #0
0xfffffff008350bfc: 0866ff90  adrp	x8, #0xfffffff007010000
0xfffffff008350c00: 00d9c23d  ldr	q0, [x8, #0xb60]
0xfffffff008350c04: c042823c  stur	q0, [x22, #0x24]
0xfffffff008350c08: 88078052  mov	w8, #0x3c
0xfffffff008350c0c: c80600b9  str	w8, [x22, #4]
0xfffffff008350c10: e865fff0  adrp	x8, #0xfffffff00700f000
0xfffffff008350c14: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff008350c18: c0c201fc  stur	d0, [x22, #0x1c]
0xfffffff008350c1c: df4203f8  stur	xzr, [x22, #0x34]
0xfffffff008350c20: e9ffff17  b	#0xfffffff008350bc4
0xfffffff008350c24: 806afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008350c28: 00a43491  add	x0, x0, #0xd29
0xfffffff008350c2c: 394afe97  bl	#0xfffffff0082e3510
0xfffffff008350c30: 200020d4  brk	#1
0xfffffff008350c34: 5f2403d5  bti	c
0xfffffff008350c38: 40f60090  adrp	x0, #0xfffffff00a218000
0xfffffff008350c3c: 00801d91  add	x0, x0, #0x760
0xfffffff008350c40: c0035fd6  ret	
0xfffffff008350c44: 5f2403d5  bti	c
0xfffffff008350c48: e10300aa  mov	x1, x0
0xfffffff008350c4c: 08008092  mov	x8, #-1
0xfffffff008350c50: 080000f9  str	x8, [x0]
0xfffffff008350c54: 60b1ffd0  adrp	x0, #0xfffffff00797e000
0xfffffff008350c58: 00c01491  add	x0, x0, #0x530
0xfffffff008350c5c: 02048052  mov	w2, #0x20
0xfffffff008350c60: 8f5afe17  b	#0xfffffff0082e769c
0xfffffff008350c64: 5f2403d5  bti	c
0xfffffff008350c68: 08008092  mov	x8, #-1
0xfffffff008350c6c: 080000f9  str	x8, [x0]
0xfffffff008350c70: c0035fd6  ret	
0xfffffff008350c74: 7f2303d5  pacibsp	
0xfffffff008350c78: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008350c7c: fd030091  mov	x29, sp
0xfffffff008350c80: 68b1ffd0  adrp	x8, #0xfffffff00797e000
0xfffffff008350c84: 085d45b9  ldr	w8, [x8, #0x55c]
0xfffffff008350c88: 1f491b72  tst	w8, #0xffffe0
0xfffffff008350c8c: c0000054  b.eq	#0xfffffff008350ca4
0xfffffff008350c90: 60b1ffd0  adrp	x0, #0xfffffff00797e000
0xfffffff008350c94: 00c01491  add	x0, x0, #0x530
0xfffffff008350c98: 81008052  mov	w1, #4
0xfffffff008350c9c: 4957e997  bl	#0xfffffff007da69c0
0xfffffff008350ca0: 08000014  b	#0xfffffff008350cc0
