; Candidate 10307
; ADRP+ADD at VM 0xfffffff008ceabc4 (fileoff 0x1ce6bc4): page=0x1fe689000 add_imm=0xcfd

0xfffffff008ceab44: 2034fff0  adrp	x0, #0xfffffff007371000
0xfffffff008ceab48: 00903e91  add	x0, x0, #0xfa4
0xfffffff008ceab4c: 020080d2  mov	x2, #0
0xfffffff008ceab50: 030080d2  mov	x3, #0
0xfffffff008ceab54: 040080d2  mov	x4, #0
0xfffffff008ceab58: 4bd1d997  bl	#0xfffffff00835f084
0xfffffff008ceab5c: f30300aa  mov	x19, x0
0xfffffff008ceab60: 600100b4  cbz	x0, #0xfffffff008ceab8c
0xfffffff008ceab64: 700240f9  ldr	x16, [x19]
0xfffffff008ceab68: f10313aa  mov	x17, x19
0xfffffff008ceab6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ceab70: 301ac1da  autda	x16, x17
0xfffffff008ceab74: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ceab78: e90310aa  mov	x9, x16
0xfffffff008ceab7c: e00313aa  mov	x0, x19
0xfffffff008ceab80: f10309aa  mov	x17, x9
0xfffffff008ceab84: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ceab88: 11093fd7  blraa	x8, x17
0xfffffff008ceab8c: 7f0200f1  cmp	x19, #0
0xfffffff008ceab90: e0079f1a  cset	w0, ne
0xfffffff008ceab94: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ceab98: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ceab9c: ff0f5fd6  retab	
0xfffffff008ceaba0: 7f2303d5  pacibsp	
0xfffffff008ceaba4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008ceaba8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008ceabac: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008ceabb0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ceabb4: fdc30091  add	x29, sp, #0x30
0xfffffff008ceabb8: f50302aa  mov	x21, x2
0xfffffff008ceabbc: f60301aa  mov	x22, x1
0xfffffff008ceabc0: f30300aa  mov	x19, x0
0xfffffff008ceabc4: 4034ffb0  adrp	x0, #0xfffffff007373000
0xfffffff008ceabc8: 00f43391  add	x0, x0, #0xcfd
0xfffffff008ceabcc: 33000094  bl	#0xfffffff008ceac98
0xfffffff008ceabd0: a86effb0  adrp	x8, #0xfffffff007abf000
0xfffffff008ceabd4: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff008ceabd8: 010140f9  ldr	x1, [x8]
0xfffffff008ceabdc: 4034ffb0  adrp	x0, #0xfffffff007373000
0xfffffff008ceabe0: 00403491  add	x0, x0, #0xd10
0xfffffff008ceabe4: 020080d2  mov	x2, #0
0xfffffff008ceabe8: 030080d2  mov	x3, #0
0xfffffff008ceabec: 040080d2  mov	x4, #0
0xfffffff008ceabf0: 25d1d997  bl	#0xfffffff00835f084
0xfffffff008ceabf4: a00300b4  cbz	x0, #0xfffffff008ceac68
0xfffffff008ceabf8: f40300aa  mov	x20, x0
0xfffffff008ceabfc: e10313aa  mov	x1, x19
0xfffffff008ceac00: e20316aa  mov	x2, x22
0xfffffff008ceac04: e30315aa  mov	x3, x21
0xfffffff008ceac08: 38000094  bl	#0xfffffff008ceace8
0xfffffff008ceac0c: f50300aa  mov	x21, x0
0xfffffff008ceac10: c0000034  cbz	w0, #0xfffffff008ceac28
0xfffffff008ceac14: f35700a9  stp	x19, x21, [sp]
0xfffffff008ceac18: 4334ffb0  adrp	x3, #0xfffffff007373000
0xfffffff008ceac1c: 63b43491  add	x3, x3, #0xd2d
0xfffffff008ceac20: 020080d2  mov	x2, #0
0xfffffff008ceac24: 46fdff97  bl	#0xfffffff008cea13c
0xfffffff008ceac28: 900240f9  ldr	x16, [x20]
0xfffffff008ceac2c: f10314aa  mov	x17, x20
0xfffffff008ceac30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ceac34: 301ac1da  autda	x16, x17
0xfffffff008ceac38: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ceac3c: e90310aa  mov	x9, x16
0xfffffff008ceac40: e00314aa  mov	x0, x20
