; Candidate 2954
; ADRP+ADD at VM 0xfffffff0086f84f8 (fileoff 0x16f44f8): page=0x1fea39000 add_imm=0xd90

0xfffffff0086f8478: e10317aa  mov	x1, x23
0xfffffff0086f847c: 04008052  mov	w4, #0
0xfffffff0086f8480: 50240394  bl	#0xfffffff0087c15c0
0xfffffff0086f8484: 1f000071  cmp	w0, #0
0xfffffff0086f8488: ad040054  b.le	#0xfffffff0086f851c
0xfffffff0086f848c: 48074039  ldrb	w8, [x26, #1]
0xfffffff0086f8490: 88070034  cbz	w8, #0xfffffff0086f8580
0xfffffff0086f8494: 88f259f9  ldr	x8, [x20, #0x33e0]
0xfffffff0086f8498: 084d47b9  ldr	w8, [x8, #0x74c]
0xfffffff0086f849c: 1f791e72  tst	w8, #0xfffffffd
0xfffffff0086f84a0: e8179f1a  cset	w8, eq
0xfffffff0086f84a4: f82300a9  stp	x24, x8, [sp]
0xfffffff0086f84a8: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f84ac: 00403691  add	x0, x0, #0xd90
0xfffffff0086f84b0: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f84b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f84b8: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f84bc: 63ec2a91  add	x3, x3, #0xabb
0xfffffff0086f84c0: 02008052  mov	w2, #0
0xfffffff0086f84c4: 1bebf097  bl	#0xfffffff008333130
0xfffffff0086f84c8: 81f259f9  ldr	x1, [x20, #0x33e0]
0xfffffff0086f84cc: 284c47b9  ldr	w8, [x1, #0x74c]
0xfffffff0086f84d0: 1f791e72  tst	w8, #0xfffffffd
0xfffffff0086f84d4: 40050054  b.eq	#0xfffffff0086f857c
0xfffffff0086f84d8: 80da59f9  ldr	x0, [x20, #0x33b0]
0xfffffff0086f84dc: 02008052  mov	w2, #0
0xfffffff0086f84e0: 2f6c0094  bl	#0xfffffff00871359c
0xfffffff0086f84e4: 5b000014  b	#0xfffffff0086f8650
0xfffffff0086f84e8: e80318aa  mov	x8, x24
0xfffffff0086f84ec: c952ffb0  adrp	x9, #0xfffffff007151000
0xfffffff0086f84f0: 29491591  add	x9, x9, #0x552
0xfffffff0086f84f4: e92300a9  stp	x9, x8, [sp]
0xfffffff0086f84f8: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f84fc: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8500: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8504: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8508: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f850c: 63382991  add	x3, x3, #0xa4e
0xfffffff0086f8510: 02008052  mov	w2, #0
0xfffffff0086f8514: 07ebf097  bl	#0xfffffff008333130
0xfffffff0086f8518: 4e000014  b	#0xfffffff0086f8650
0xfffffff0086f851c: f90300aa  mov	x25, x0
0xfffffff0086f8520: 80da59f9  ldr	x0, [x20, #0x33b0]
0xfffffff0086f8524: 81f259f9  ldr	x1, [x20, #0x33e0]
0xfffffff0086f8528: 02008052  mov	w2, #0
0xfffffff0086f852c: 1c6c0094  bl	#0xfffffff00871359c
0xfffffff0086f8530: 3f0b0031  cmn	w25, #2
0xfffffff0086f8534: 241b407a  ccmp	w25, #0, #4, ne
0xfffffff0086f8538: 61000054  b.ne	#0xfffffff0086f8544
0xfffffff0086f853c: 34338052  mov	w20, #0x199
0xfffffff0086f8540: 5c000014  b	#0xfffffff0086f86b0
0xfffffff0086f8544: 3f070031  cmn	w25, #1
0xfffffff0086f8548: 816d0054  b.ne	#0xfffffff0086f92f8
0xfffffff0086f854c: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f8550: 08491591  add	x8, x8, #0x552
0xfffffff0086f8554: e80300f9  str	x8, [sp]
0xfffffff0086f8558: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f855c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8560: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f8564: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8568: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f856c: 634c2a91  add	x3, x3, #0xa93
0xfffffff0086f8570: 02008052  mov	w2, #0
0xfffffff0086f8574: efeaf097  bl	#0xfffffff008333130
