; Candidate 511
; ADRP+ADD at VM 0xfffffff007f50d60 (fileoff 0xf4cd60): page=0x22ed000 add_imm=0xe90

0xfffffff007f50ce0: f803152a  mov	w24, w21
0xfffffff007f50ce4: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff007f50ce8: e00b803d  str	q0, [sp, #0x20]
0xfffffff007f50cec: f50300f9  str	x21, [sp]
0xfffffff007f50cf0: 8288ff90  adrp	x2, #0xfffffff007060000
0xfffffff007f50cf4: 42d80191  add	x2, x2, #0x76
0xfffffff007f50cf8: e0830091  add	x0, sp, #0x20
0xfffffff007f50cfc: 010a8052  mov	w1, #0x50
0xfffffff007f50d00: 17a80a94  bl	#0xfffffff0081fad5c
0xfffffff007f50d04: e87a78f8  ldr	x8, [x23, x24, lsl #3]
0xfffffff007f50d08: 680300b5  cbnz	x8, #0xfffffff007f50d74
0xfffffff007f50d0c: 16d09252  mov	w22, #0x9680
0xfffffff007f50d10: 1613a072  movk	w22, #0x98, lsl #16
0xfffffff007f50d14: 751701b0  adrp	x21, #0xfffffff00a23d000
0xfffffff007f50d18: b5423a91  add	x21, x21, #0xe90
0xfffffff007f50d1c: e00315aa  mov	x0, x21
0xfffffff007f50d20: 4276f997  bl	#0xfffffff007dae628
0xfffffff007f50d24: 1f040071  cmp	w0, #1
0xfffffff007f50d28: e1040054  b.ne	#0xfffffff007f50dc4
0xfffffff007f50d2c: e0830091  add	x0, sp, #0x20
0xfffffff007f50d30: e10316aa  mov	x1, x22
0xfffffff007f50d34: 18881394  bl	#0xfffffff008432d94
0xfffffff007f50d38: 40010035  cbnz	w0, #0xfffffff007f50d60
0xfffffff007f50d3c: e0c30191  add	x0, sp, #0x70
0xfffffff007f50d40: 42881394  bl	#0xfffffff008432e48
0xfffffff007f50d44: e0000034  cbz	w0, #0xfffffff007f50d60
0xfffffff007f50d48: d6fa7fd3  lsl	x22, x22, #1
0xfffffff007f50d4c: e00315aa  mov	x0, x21
0xfffffff007f50d50: 6e73f997  bl	#0xfffffff007dadb08
0xfffffff007f50d54: e87a78f8  ldr	x8, [x23, x24, lsl #3]
0xfffffff007f50d58: 28feffb4  cbz	x8, #0xfffffff007f50d1c
0xfffffff007f50d5c: 06000014  b	#0xfffffff007f50d74
0xfffffff007f50d60: 601701b0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f50d64: 00403a91  add	x0, x0, #0xe90
0xfffffff007f50d68: 6873f997  bl	#0xfffffff007dadb08
0xfffffff007f50d6c: e87a78f8  ldr	x8, [x23, x24, lsl #3]
0xfffffff007f50d70: c8f5ffb4  cbz	x8, #0xfffffff007f50c28
0xfffffff007f50d74: 090140b9  ldr	w9, [x8]
0xfffffff007f50d78: 3f0d0071  cmp	w9, #3
0xfffffff007f50d7c: a0000054  b.eq	#0xfffffff007f50d90
0xfffffff007f50d80: 3f050071  cmp	w9, #1
0xfffffff007f50d84: 21f5ff54  b.ne	#0xfffffff007f50c28
0xfffffff007f50d88: 9f8200f1  cmp	x20, #0x20
0xfffffff007f50d8c: e8f4ff54  b.hi	#0xfffffff007f50c28
0xfffffff007f50d90: 106974f8  ldr	x16, [x8, x20]
0xfffffff007f50d94: b0f4ffb4  cbz	x16, #0xfffffff007f50c28
0xfffffff007f50d98: e803132a  mov	w8, w19
0xfffffff007f50d9c: 1011c1da  autia	x16, x8
0xfffffff007f50da0: f10310aa  mov	x17, x16
0xfffffff007f50da4: f143c1da  xpaci	x17
0xfffffff007f50da8: 1f0211eb  cmp	x16, x17
0xfffffff007f50dac: 40000054  b.eq	#0xfffffff007f50db4
0xfffffff007f50db0: 008e38d4  brk	#0xc470
0xfffffff007f50db4: f023c1da  paciza	x16
0xfffffff007f50db8: e00310aa  mov	x0, x16
0xfffffff007f50dbc: 9cffff17  b	#0xfffffff007f50c2c
0xfffffff007f50dc0: 2334f897  bl	#0xfffffff007d5de4c
0xfffffff007f50dc4: 081e8152  mov	w8, #0x8f0
0xfffffff007f50dc8: a987ffd0  adrp	x9, #0xfffffff007046000
0xfffffff007f50dcc: 29d92791  add	x9, x9, #0x9f6
0xfffffff007f50dd0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f50dd4: f50300a9  stp	x21, x0, [sp]
0xfffffff007f50dd8: a087ffd0  adrp	x0, #0xfffffff007046000
0xfffffff007f50ddc: 00e42a91  add	x0, x0, #0xab9
