; Candidate 14392
; ADRP+ADD at VM 0xfffffff009770024 (fileoff 0x276c024): page=0xc1b000 add_imm=0xea8

0xfffffff00976ffa4: c00100b5  cbnz	x0, #0xfffffff00976ffdc
0xfffffff00976ffa8: 700240f9  ldr	x16, [x19]
0xfffffff00976ffac: f10313aa  mov	x17, x19
0xfffffff00976ffb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976ffb4: 301ac1da  autda	x16, x17
0xfffffff00976ffb8: 113d80d2  mov	x17, #0x1e8
0xfffffff00976ffbc: 1002118b  add	x16, x16, x17
0xfffffff00976ffc0: 080240f9  ldr	x8, [x16]
0xfffffff00976ffc4: e90310aa  mov	x9, x16
0xfffffff00976ffc8: e00313aa  mov	x0, x19
0xfffffff00976ffcc: 010080d2  mov	x1, #0
0xfffffff00976ffd0: f10309aa  mov	x17, x9
0xfffffff00976ffd4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976ffd8: 11093fd7  blraa	x8, x17
0xfffffff00976ffdc: e00313aa  mov	x0, x19
0xfffffff00976ffe0: 9fe2fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ffe4: e00313aa  mov	x0, x19
0xfffffff00976ffe8: 9de2fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976ffec: c00100b5  cbnz	x0, #0xfffffff009770024
0xfffffff00976fff0: 700240f9  ldr	x16, [x19]
0xfffffff00976fff4: f10313aa  mov	x17, x19
0xfffffff00976fff8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fffc: 301ac1da  autda	x16, x17
0xfffffff009770000: 114380d2  mov	x17, #0x218
0xfffffff009770004: 1002118b  add	x16, x16, x17
0xfffffff009770008: 080240f9  ldr	x8, [x16]
0xfffffff00977000c: e90310aa  mov	x9, x16
0xfffffff009770010: e00313aa  mov	x0, x19
0xfffffff009770014: 010080d2  mov	x1, #0
0xfffffff009770018: f10309aa  mov	x17, x9
0xfffffff00977001c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009770020: 11093fd7  blraa	x8, x17
0xfffffff009770024: c06000f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009770028: 00a03a91  add	x0, x0, #0xea8
0xfffffff00977002c: 4bd2ad97  bl	#0xfffffff0082e4958
0xfffffff009770030: f50300aa  mov	x21, x0
0xfffffff009770034: e00313aa  mov	x0, x19
0xfffffff009770038: 89e2fc97  bl	#0xfffffff0096a8a5c
0xfffffff00977003c: f60300aa  mov	x22, x0
0xfffffff009770040: e00100b5  cbnz	x0, #0xfffffff00977007c
0xfffffff009770044: 700240f9  ldr	x16, [x19]
0xfffffff009770048: f10313aa  mov	x17, x19
0xfffffff00977004c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770050: 301ac1da  autda	x16, x17
0xfffffff009770054: 113d80d2  mov	x17, #0x1e8
0xfffffff009770058: 1002118b  add	x16, x16, x17
0xfffffff00977005c: 080240f9  ldr	x8, [x16]
0xfffffff009770060: e90310aa  mov	x9, x16
0xfffffff009770064: e00313aa  mov	x0, x19
0xfffffff009770068: 010080d2  mov	x1, #0
0xfffffff00977006c: f10309aa  mov	x17, x9
0xfffffff009770070: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009770074: 11093fd7  blraa	x8, x17
0xfffffff009770078: f60300aa  mov	x22, x0
0xfffffff00977007c: e00313aa  mov	x0, x19
0xfffffff009770080: 77e2fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770084: f7f0feb0  adrp	x23, #0xfffffff00758d000
0xfffffff009770088: f7c63491  add	x23, x23, #0xd31
0xfffffff00977008c: e8f0feb0  adrp	x8, #0xfffffff00758d000
0xfffffff009770090: 08c93491  add	x8, x8, #0xd32
0xfffffff009770094: 1f0000f1  cmp	x0, #0
0xfffffff009770098: 1a01979a  csel	x26, x8, x23, eq
0xfffffff00977009c: e00313aa  mov	x0, x19
0xfffffff0097700a0: 6fe2fc97  bl	#0xfffffff0096a8a5c
