; Candidate 38
; ADRP+ADD at VM 0xfffffff007d98f04 (fileoff 0xd94f04): page=0x2433000 add_imm=0xd48

0xfffffff007d98e84: 600300b4  cbz	x0, #0xfffffff007d98ef0
0xfffffff007d98e88: f40301aa  mov	x20, x1
0xfffffff007d98e8c: 080080d2  mov	x8, #0
0xfffffff007d98e90: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007d98e94: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007d98e98: 952101f0  adrp	x21, #0xfffffff00a1cb000
0xfffffff007d98e9c: b5423591  add	x21, x21, #0xd50
0xfffffff007d98ea0: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007d98ea4: 1f0100f1  cmp	x8, #0
0xfffffff007d98ea8: e1020054  b.ne	#0xfffffff007d98f04
0xfffffff007d98eac: 28ddff90  adrp	x8, #0xfffffff00793c000
0xfffffff007d98eb0: 006947f9  ldr	x0, [x8, #0xed0]
0xfffffff007d98eb4: 5886ff97  bl	#0xfffffff007d7a814
0xfffffff007d98eb8: e80300aa  mov	x8, x0
0xfffffff007d98ebc: 00008052  mov	w0, #0
0xfffffff007d98ec0: 880200f9  str	x8, [x20]
0xfffffff007d98ec4: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007d98ec8: e20308aa  mov	x2, x8
0xfffffff007d98ecc: bffea288  casl	w2, wzr, [x21]
0xfffffff007d98ed0: 5f00086b  cmp	w2, w8
0xfffffff007d98ed4: 00010054  b.eq	#0xfffffff007d98ef4
0xfffffff007d98ed8: 802101f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d98edc: 00203591  add	x0, x0, #0xd48
0xfffffff007d98ee0: e10313aa  mov	x1, x19
0xfffffff007d98ee4: 204e0094  bl	#0xfffffff007dac764
0xfffffff007d98ee8: 00008052  mov	w0, #0
0xfffffff007d98eec: 02000014  b	#0xfffffff007d98ef4
0xfffffff007d98ef0: 80008052  mov	w0, #4
0xfffffff007d98ef4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007d98ef8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007d98efc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007d98f00: ff0f5fd6  retab	
0xfffffff007d98f04: 802101f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d98f08: 00203591  add	x0, x0, #0xd48
0xfffffff007d98f0c: e10313aa  mov	x1, x19
0xfffffff007d98f10: 02008052  mov	w2, #0
0xfffffff007d98f14: f94a0094  bl	#0xfffffff007dabaf8
0xfffffff007d98f18: e5ffff17  b	#0xfffffff007d98eac
0xfffffff007d98f1c: 5f2403d5  bti	c
0xfffffff007d98f20: 802101f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d98f24: 00203591  add	x0, x0, #0xd48
0xfffffff007d98f28: c0035fd6  ret	
0xfffffff007d98f2c: 7f2303d5  pacibsp	
0xfffffff007d98f30: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff007d98f34: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007d98f38: fd430091  add	x29, sp, #0x10
0xfffffff007d98f3c: 600200b4  cbz	x0, #0xfffffff007d98f88
0xfffffff007d98f40: f30301aa  mov	x19, x1
0xfffffff007d98f44: 80d038d5  mrs	x0, tpidr_el1
0xfffffff007d98f48: 86d20194  bl	#0xfffffff007e0d960
0xfffffff007d98f4c: a8deff90  adrp	x8, #0xfffffff00796c000
0xfffffff007d98f50: 080941f9  ldr	x8, [x8, #0x210]
0xfffffff007d98f54: 1f0008eb  cmp	x0, x8
0xfffffff007d98f58: 40010054  b.eq	#0xfffffff007d98f80
0xfffffff007d98f5c: cecf0194  bl	#0xfffffff007e0ce94
0xfffffff007d98f60: 88deffb0  adrp	x8, #0xfffffff007969000
0xfffffff007d98f64: 082144f9  ldr	x8, [x8, #0x840]
0xfffffff007d98f68: 08d940f9  ldr	x8, [x8, #0x1b0]
0xfffffff007d98f6c: 6195ffb0  adrp	x1, #0xfffffff007045000
0xfffffff007d98f70: 21d80391  add	x1, x1, #0xf6
0xfffffff007d98f74: d19f9cd2  mov	x17, #0xe4fe
0xfffffff007d98f78: 11093fd7  blraa	x8, x17
0xfffffff007d98f7c: e0000034  cbz	w0, #0xfffffff007d98f98
0xfffffff007d98f80: 00018052  mov	w0, #8
