; Candidate 16279
; ADRP+ADD at VM 0xfffffff009e3f498 (fileoff 0x2e3b498): page=0x1fd9e6000 add_imm=0xd34

0xfffffff009e3f418: e80300f9  str	x8, [sp]
0xfffffff009e3f41c: e4230191  add	x4, sp, #0x48
0xfffffff009e3f420: e5d30091  add	x5, sp, #0x34
0xfffffff009e3f424: e6e30091  add	x6, sp, #0x38
0xfffffff009e3f428: e7c30091  add	x7, sp, #0x30
0xfffffff009e3f42c: e00314aa  mov	x0, x20
0xfffffff009e3f430: e10316aa  mov	x1, x22
0xfffffff009e3f434: e20318aa  mov	x2, x24
0xfffffff009e3f438: e30317aa  mov	x3, x23
0xfffffff009e3f43c: 5fe7ff97  bl	#0xfffffff009e391b8
0xfffffff009e3f440: 60030034  cbz	w0, #0xfffffff009e3f4ac
0xfffffff009e3f444: f70300aa  mov	x23, x0
0xfffffff009e3f448: 083e8452  mov	w8, #0x21f0
0xfffffff009e3f44c: 8802088b  add	x8, x20, x8
0xfffffff009e3f450: 69208352  mov	w9, #0x1903
0xfffffff009e3f454: 4acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e3f458: 4a450091  add	x10, x10, #0x11
0xfffffff009e3f45c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e3f460: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009e3f464: 20cffef0  adrp	x0, #0xfffffff007826000
0xfffffff009e3f468: 006c1791  add	x0, x0, #0x5db
0xfffffff009e3f46c: 16010194  bl	#0xfffffff009e7f8c4
0xfffffff009e3f470: 9e000014  b	#0xfffffff009e3f6e8
0xfffffff009e3f474: 083e8452  mov	w8, #0x21f0
0xfffffff009e3f478: 8802088b  add	x8, x20, x8
0xfffffff009e3f47c: 891f8352  mov	w9, #0x18fc
0xfffffff009e3f480: 4acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e3f484: 4a450091  add	x10, x10, #0x11
0xfffffff009e3f488: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e3f48c: e903002a  mov	w9, w0
0xfffffff009e3f490: e9e701a9  stp	x9, x25, [sp, #0x18]
0xfffffff009e3f494: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3f498: 20cffed0  adrp	x0, #0xfffffff007825000
0xfffffff009e3f49c: 00d03491  add	x0, x0, #0xd34
0xfffffff009e3f4a0: 09010194  bl	#0xfffffff009e7f8c4
0xfffffff009e3f4a4: 17008012  mov	w23, #-1
0xfffffff009e3f4a8: 90000014  b	#0xfffffff009e3f6e8
0xfffffff009e3f4ac: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff009e3f4b0: c8000034  cbz	w8, #0xfffffff009e3f4c8
0xfffffff009e3f4b4: e93340b9  ldr	w9, [sp, #0x30]
0xfffffff009e3f4b8: 3f01086b  cmp	w9, w8
0xfffffff009e3f4bc: 60000054  b.eq	#0xfffffff009e3f4c8
0xfffffff009e3f4c0: 3f8d0171  cmp	w9, #0x63
0xfffffff009e3f4c4: 01110054  b.ne	#0xfffffff009e3f6e4
0xfffffff009e3f4c8: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff009e3f4cc: 09014039  ldrb	w9, [x8]
0xfffffff009e3f4d0: a9000836  tbz	w9, #1, #0xfffffff009e3f4e4
0xfffffff009e3f4d4: e9d34039  ldrb	w9, [sp, #0x34]
0xfffffff009e3f4d8: 080540b9  ldr	w8, [x8, #4]
0xfffffff009e3f4dc: 3f01086b  cmp	w9, w8
0xfffffff009e3f4e0: 21100054  b.ne	#0xfffffff009e3f6e4
0xfffffff009e3f4e4: 08e98352  mov	w8, #0x1f48
0xfffffff009e3f4e8: 9902088b  add	x25, x20, x8
0xfffffff009e3f4ec: e00319aa  mov	x0, x25
0xfffffff009e3f4f0: 77b17d97  bl	#0xfffffff007dabacc
0xfffffff009e3f4f4: e12740f9  ldr	x1, [sp, #0x48]
0xfffffff009e3f4f8: e00314aa  mov	x0, x20
0xfffffff009e3f4fc: 020080d2  mov	x2, #0
0xfffffff009e3f500: 030080d2  mov	x3, #0
0xfffffff009e3f504: da890294  bl	#0xfffffff009ee1c6c
0xfffffff009e3f508: f70300aa  mov	x23, x0
0xfffffff009e3f50c: 200100b4  cbz	x0, #0xfffffff009e3f530
0xfffffff009e3f510: e81e40f9  ldr	x8, [x23, #0x38]
0xfffffff009e3f514: 620640f9  ldr	x2, [x19, #8]
