; Candidate 3053
; ADRP+ADD at VM 0xfffffff00870f3bc (fileoff 0x170b3bc): page=0x1fea22000 add_imm=0xd90

0xfffffff00870f33c: 695e4bb9  ldr	w9, [x19, #0xb5c]
0xfffffff00870f340: 3f010071  cmp	w9, #0
0xfffffff00870f344: 2900a052  mov	w9, #0x10000
0xfffffff00870f348: 0a04a052  mov	w10, #0x200000
0xfffffff00870f34c: 4901891a  csel	w9, w10, w9, eq
0xfffffff00870f350: 6ab24bb9  ldr	w10, [x19, #0xbb0]
0xfffffff00870f354: 4901092a  orr	w9, w10, w9
0xfffffff00870f358: 69b20bb9  str	w9, [x19, #0xbb0]
0xfffffff00870f35c: 29000014  b	#0xfffffff00870f400
0xfffffff00870f360: 0a0700d1  sub	x10, x24, #1
0xfffffff00870f364: 4b697538  ldrb	w11, [x10, x21]
0xfffffff00870f368: ec0315aa  mov	x12, x21
0xfffffff00870f36c: b50600d1  sub	x21, x21, #1
0xfffffff00870f370: 7f010071  cmp	w11, #0
0xfffffff00870f374: 8409407a  ccmp	w12, #0, #4, eq
0xfffffff00870f378: 61ffff54  b.ne	#0xfffffff00870f364
0xfffffff00870f37c: bc060011  add	w28, w21, #1
0xfffffff00870f380: 99edff35  cbnz	w25, #0xfffffff00870f130
0xfffffff00870f384: ea7740f9  ldr	x10, [sp, #0xe8]
0xfffffff00870f388: 4a014039  ldrb	w10, [x10]
0xfffffff00870f38c: f53b40f9  ldr	x21, [sp, #0x70]
0xfffffff00870f390: 6aedff34  cbz	w10, #0xfffffff00870f13c
0xfffffff00870f394: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff00870f398: 1f410071  cmp	w8, #0x10
0xfffffff00870f39c: 2009407a  ccmp	w9, #0, #0, eq
0xfffffff00870f3a0: e8179f1a  cset	w8, eq
0xfffffff00870f3a4: e96340f9  ldr	x9, [sp, #0xc0]
0xfffffff00870f3a8: 3f050071  cmp	w9, #1
0xfffffff00870f3ac: 40000054  b.eq	#0xfffffff00870f3b4
0xfffffff00870f3b0: 68860034  cbz	w8, #0xfffffff00871047c
0xfffffff00870f3b4: e86340f9  ldr	x8, [sp, #0xc0]
0xfffffff00870f3b8: e80300f9  str	x8, [sp]
0xfffffff00870f3bc: 0051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00870f3c0: 00403691  add	x0, x0, #0xd90
0xfffffff00870f3c4: 6197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870f3c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870f3cc: 02008052  mov	w2, #0
0xfffffff00870f3d0: 4351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00870f3d4: 63cc1691  add	x3, x3, #0x5b3
0xfffffff00870f3d8: 568ff097  bl	#0xfffffff008333130
0xfffffff00870f3dc: e87740f9  ldr	x8, [sp, #0xe8]
0xfffffff00870f3e0: 1f010039  strb	wzr, [x8]
0xfffffff00870f3e4: 68824cb9  ldr	w8, [x19, #0xc80]
0xfffffff00870f3e8: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff00870f3ec: 005946f9  ldr	x0, [x8, #0xcb0]
0xfffffff00870f3f0: 60eaffb4  cbz	x0, #0xfffffff00870f13c
0xfffffff00870f3f4: 9b230294  bl	#0xfffffff008798260
0xfffffff00870f3f8: 51ffff17  b	#0xfffffff00870f13c
0xfffffff00870f3fc: 15278152  mov	w21, #0x938
0xfffffff00870f400: 09d08452  mov	w9, #0x2680
0xfffffff00870f404: ebab4aa9  ldp	x11, x10, [sp, #0xa8]
0xfffffff00870f408: 7829099b  madd	x24, x11, x9, x10
0xfffffff00870f40c: 094f4338  ldrb	w9, [x24, #0x34]!
0xfffffff00870f410: c9030034  cbz	w9, #0xfffffff00870f488
0xfffffff00870f414: 09d08452  mov	w9, #0x2680
0xfffffff00870f418: ebab4aa9  ldp	x11, x10, [sp, #0xa8]
0xfffffff00870f41c: 6929099b  madd	x9, x11, x9, x10
0xfffffff00870f420: 2c3940b9  ldr	w12, [x9, #0x38]
0xfffffff00870f424: 8d050031  adds	w13, w12, #1
0xfffffff00870f428: 02030054  b.hs	#0xfffffff00870f488
0xfffffff00870f42c: 090080d2  mov	x9, #0
0xfffffff00870f430: 0a518b52  mov	w10, #0x5a88
0xfffffff00870f434: 6a670a9b  madd	x10, x27, x10, x25
0xfffffff00870f438: 0b2c8b52  mov	w11, #0x5960
