; Candidate 11418
; ADRP+ADD at VM 0xfffffff008f452e4 (fileoff 0x1f412e4): page=0x1febdb000 add_imm=0xd78

0xfffffff008f45264: 00008052  mov	w0, #0
0xfffffff008f45268: 02000014  b	#0xfffffff008f45270
0xfffffff008f4526c: 20008052  mov	w0, #1
0xfffffff008f45270: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff008f45274: c95eff90  adrp	x9, #0xfffffff007b1d000
0xfffffff008f45278: 295945f9  ldr	x9, [x9, #0xab0]
0xfffffff008f4527c: 290140f9  ldr	x9, [x9]
0xfffffff008f45280: 3f0108eb  cmp	x9, x8
0xfffffff008f45284: 01010054  b.ne	#0xfffffff008f452a4
0xfffffff008f45288: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff008f4528c: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff008f45290: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff008f45294: f85f4ca9  ldp	x24, x23, [sp, #0xc0]
0xfffffff008f45298: fa674ba9  ldp	x26, x25, [sp, #0xb0]
0xfffffff008f4529c: ff030491  add	sp, sp, #0x100
0xfffffff008f452a0: ff0f5fd6  retab	
0xfffffff008f452a4: ea62b897  bl	#0xfffffff007d5de4c
0xfffffff008f452a8: 7f2303d5  pacibsp	
0xfffffff008f452ac: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f452b0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f452b4: fd430091  add	x29, sp, #0x10
0xfffffff008f452b8: f30300aa  mov	x19, x0
0xfffffff008f452bc: d05effd0  adrp	x16, #0xfffffff007b1f000
0xfffffff008f452c0: 10623591  add	x16, x16, #0xd58
0xfffffff008f452c4: 10420091  add	x16, x16, #0x10
0xfffffff008f452c8: f10300aa  mov	x17, x0
0xfffffff008f452cc: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f452d0: 300ac1da  pacda	x16, x17
0xfffffff008f452d4: 100000f9  str	x16, [x0]
0xfffffff008f452d8: 08048052  mov	w8, #0x20
0xfffffff008f452dc: 080800b9  str	w8, [x0, #8]
0xfffffff008f452e0: 01fc01a9  stp	x1, xzr, [x0, #0x18]
0xfffffff008f452e4: c05efff0  adrp	x0, #0xfffffff007b20000
0xfffffff008f452e8: 00e03591  add	x0, x0, #0xd78
0xfffffff008f452ec: 01208052  mov	w1, #0x100
0xfffffff008f452f0: b846d097  bl	#0xfffffff008356dd0
0xfffffff008f452f4: 600a00f9  str	x0, [x19, #0x10]
0xfffffff008f452f8: e00313aa  mov	x0, x19
0xfffffff008f452fc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f45300: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f45304: ff0f5fd6  retab	
0xfffffff008f45308: 7f2303d5  pacibsp	
0xfffffff008f4530c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f45310: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f45314: fd430091  add	x29, sp, #0x10
0xfffffff008f45318: f30300aa  mov	x19, x0
0xfffffff008f4531c: d05effd0  adrp	x16, #0xfffffff007b1f000
0xfffffff008f45320: 10623591  add	x16, x16, #0xd58
0xfffffff008f45324: 10420091  add	x16, x16, #0x10
0xfffffff008f45328: f10300aa  mov	x17, x0
0xfffffff008f4532c: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f45330: 300ac1da  pacda	x16, x17
0xfffffff008f45334: 100000f9  str	x16, [x0]
0xfffffff008f45338: 080840b9  ldr	w8, [x0, #8]
0xfffffff008f4533c: 02f17dd3  lsl	x2, x8, #3
0xfffffff008f45340: 010840f9  ldr	x1, [x0, #0x10]
0xfffffff008f45344: 1f0800f9  str	xzr, [x0, #0x10]
0xfffffff008f45348: c05efff0  adrp	x0, #0xfffffff007b20000
0xfffffff008f4534c: 00203791  add	x0, x0, #0xdc8
0xfffffff008f45350: a646d097  bl	#0xfffffff008356de8
0xfffffff008f45354: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008f45358: 400100b4  cbz	x0, #0xfffffff008f45380
0xfffffff008f4535c: 100040f9  ldr	x16, [x0]
0xfffffff008f45360: f10300aa  mov	x17, x0
