; Candidate 15553
; ADRP+ADD at VM 0xfffffff009c30ac0 (fileoff 0x2c2cac0): page=0x1fe0be000 add_imm=0xd78

0xfffffff009c30a40: 010400b4  cbz	x1, #0xfffffff009c30ac0
0xfffffff009c30a44: 880a40b9  ldr	w8, [x20, #8]
0xfffffff009c30a48: e8020034  cbz	w8, #0xfffffff009c30aa4
0xfffffff009c30a4c: 150080d2  mov	x21, #0
0xfffffff009c30a50: 160080d2  mov	x22, #0
0xfffffff009c30a54: 206875f8  ldr	x0, [x1, x21]
0xfffffff009c30a58: 800100b4  cbz	x0, #0xfffffff009c30a88
0xfffffff009c30a5c: 100040f9  ldr	x16, [x0]
0xfffffff009c30a60: f10300aa  mov	x17, x0
0xfffffff009c30a64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c30a68: 301ac1da  autda	x16, x17
0xfffffff009c30a6c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009c30a70: e90310aa  mov	x9, x16
0xfffffff009c30a74: f10309aa  mov	x17, x9
0xfffffff009c30a78: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009c30a7c: 11093fd7  blraa	x8, x17
0xfffffff009c30a80: 810240f9  ldr	x1, [x20]
0xfffffff009c30a84: 880a40b9  ldr	w8, [x20, #8]
0xfffffff009c30a88: 3f6835f8  str	xzr, [x1, x21]
0xfffffff009c30a8c: d6060091  add	x22, x22, #1
0xfffffff009c30a90: b5620091  add	x21, x21, #0x18
0xfffffff009c30a94: df0208eb  cmp	x22, x8
0xfffffff009c30a98: e3fdff54  b.lo	#0xfffffff009c30a54
0xfffffff009c30a9c: 810240f9  ldr	x1, [x20]
0xfffffff009c30aa0: 02000014  b	#0xfffffff009c30aa8
0xfffffff009c30aa4: 080080d2  mov	x8, #0
0xfffffff009c30aa8: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff009c30aac: 02f17dd3  lsl	x2, x8, #3
0xfffffff009c30ab0: 9f0200f9  str	xzr, [x20]
0xfffffff009c30ab4: e005fff0  adrp	x0, #0xfffffff007cef000
0xfffffff009c30ab8: 00a02291  add	x0, x0, #0x8a8
0xfffffff009c30abc: cb989c97  bl	#0xfffffff008356de8
0xfffffff009c30ac0: e005ffd0  adrp	x0, #0xfffffff007cee000
0xfffffff009c30ac4: 00e03591  add	x0, x0, #0xd78
0xfffffff009c30ac8: e10314aa  mov	x1, x20
0xfffffff009c30acc: 10979c97  bl	#0xfffffff00835670c
0xfffffff009c30ad0: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff009c30ad4: 1f0d00f9  str	xzr, [x8, #0x18]
0xfffffff009c30ad8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009c30adc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009c30ae0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009c30ae4: ff0f5fd6  retab	
0xfffffff009c30ae8: 7f2303d5  pacibsp	
0xfffffff009c30aec: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009c30af0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009c30af4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009c30af8: fd830091  add	x29, sp, #0x20
0xfffffff009c30afc: f30303aa  mov	x19, x3
0xfffffff009c30b00: f40302aa  mov	x20, x2
0xfffffff009c30b04: f50301aa  mov	x21, x1
0xfffffff009c30b08: f60300aa  mov	x22, x0
0xfffffff009c30b0c: 100040f9  ldr	x16, [x0]
0xfffffff009c30b10: f10300aa  mov	x17, x0
0xfffffff009c30b14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c30b18: 301ac1da  autda	x16, x17
0xfffffff009c30b1c: 112680d2  mov	x17, #0x130
0xfffffff009c30b20: 1002118b  add	x16, x16, x17
0xfffffff009c30b24: 080240f9  ldr	x8, [x16]
0xfffffff009c30b28: e90310aa  mov	x9, x16
0xfffffff009c30b2c: 21008052  mov	w1, #1
0xfffffff009c30b30: f10309aa  mov	x17, x9
0xfffffff009c30b34: d16ffaf2  movk	x17, #0xd37e, lsl #48
0xfffffff009c30b38: 11093fd7  blraa	x8, x17
0xfffffff009c30b3c: 3518fe97  bl	#0xfffffff009bb6c10
