; Candidate 12440
; ADRP+ADD at VM 0xfffffff0090a07b8 (fileoff 0x209c7b8): page=0x1fe3b9000 add_imm=0xe24

0xfffffff0090a0738: 14010013  sbfx	w20, w8, #0, #1
0xfffffff0090a073c: 34010034  cbz	w20, #0xfffffff0090a0760
0xfffffff0090a0740: 08034039  ldrb	w8, [x24]
0xfffffff0090a0744: 1f190171  cmp	w8, #0x46
0xfffffff0090a0748: c8000054  b.hi	#0xfffffff0090a0760
0xfffffff0090a074c: f6cf00a9  stp	x22, x19, [sp, #8]
0xfffffff0090a0750: f70300f9  str	x23, [sp]
0xfffffff0090a0754: 001effd0  adrp	x0, #0xfffffff007462000
0xfffffff0090a0758: 00c02191  add	x0, x0, #0x870
0xfffffff0090a075c: 31daca97  bl	#0xfffffff008357020
0xfffffff0090a0760: 750100b4  cbz	x21, #0xfffffff0090a078c
0xfffffff0090a0764: b00240f9  ldr	x16, [x21]
0xfffffff0090a0768: f10315aa  mov	x17, x21
0xfffffff0090a076c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090a0770: 301ac1da  autda	x16, x17
0xfffffff0090a0774: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090a0778: e90310aa  mov	x9, x16
0xfffffff0090a077c: e00315aa  mov	x0, x21
0xfffffff0090a0780: f10309aa  mov	x17, x9
0xfffffff0090a0784: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090a0788: 11093fd7  blraa	x8, x17
0xfffffff0090a078c: 74000034  cbz	w20, #0xfffffff0090a0798
0xfffffff0090a0790: c8088052  mov	w8, #0x46
0xfffffff0090a0794: 03000014  b	#0xfffffff0090a07a0
0xfffffff0090a0798: 14008052  mov	w20, #0
0xfffffff0090a079c: 48018052  mov	w8, #0xa
0xfffffff0090a07a0: 09034039  ldrb	w9, [x24]
0xfffffff0090a07a4: 1f01096b  cmp	w8, w9
0xfffffff0090a07a8: e3000054  b.lo	#0xfffffff0090a07c4
0xfffffff0090a07ac: 887e4093  sxtw	x8, w20
0xfffffff0090a07b0: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a07b4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a07b8: c01dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a07bc: 00903891  add	x0, x0, #0xe24
0xfffffff0090a07c0: 18daca97  bl	#0xfffffff008357020
0xfffffff0090a07c4: e00314aa  mov	x0, x20
0xfffffff0090a07c8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090a07cc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090a07d0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090a07d4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090a07d8: ffc30191  add	sp, sp, #0x70
0xfffffff0090a07dc: ff0f5fd6  retab	
0xfffffff0090a07e0: 080b8052  mov	w8, #0x58
0xfffffff0090a07e4: 091effd0  adrp	x9, #0xfffffff007462000
0xfffffff0090a07e8: 29851f91  add	x9, x9, #0x7e1
0xfffffff0090a07ec: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090a07f0: c81dffb0  adrp	x8, #0xfffffff007459000
0xfffffff0090a07f4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090a07f8: 0a1effd0  adrp	x10, #0xfffffff007462000
0xfffffff0090a07fc: 4a912191  add	x10, x10, #0x864
0xfffffff0090a0800: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090a0804: ea0300f9  str	x10, [sp]
0xfffffff0090a0808: c01dffb0  adrp	x0, #0xfffffff007459000
0xfffffff0090a080c: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a0810: 04daca97  bl	#0xfffffff008357020
0xfffffff0090a0814: 150080d2  mov	x21, #0
0xfffffff0090a0818: 94008012  mov	w20, #-5
0xfffffff0090a081c: c8ffff17  b	#0xfffffff0090a073c
0xfffffff0090a0820: 14008012  mov	w20, #-1
0xfffffff0090a0824: c6ffff17  b	#0xfffffff0090a073c
0xfffffff0090a0828: 7f2303d5  pacibsp	
0xfffffff0090a082c: ff0302d1  sub	sp, sp, #0x80
0xfffffff0090a0830: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0090a0834: f85f04a9  stp	x24, x23, [sp, #0x40]
