; Candidate 1041
; ADRP+ADD at VM 0xfffffff0081b9490 (fileoff 0x11b5490): page=0x1feeca000 add_imm=0xd4b

0xfffffff0081b9410: 13000014  b	#0xfffffff0081b945c
0xfffffff0081b9414: a00201f0  adrp	x0, #0xfffffff00a210000
0xfffffff0081b9418: 00203391  add	x0, x0, #0xcc8
0xfffffff0081b941c: e10318aa  mov	x1, x24
0xfffffff0081b9420: 02008052  mov	w2, #0
0xfffffff0081b9424: b5c9ef97  bl	#0xfffffff007dabaf8
0xfffffff0081b9428: 6fffff17  b	#0xfffffff0081b91e4
0xfffffff0081b942c: a00201f0  adrp	x0, #0xfffffff00a210000
0xfffffff0081b9430: 00203391  add	x0, x0, #0xcc8
0xfffffff0081b9434: e10318aa  mov	x1, x24
0xfffffff0081b9438: cbccef97  bl	#0xfffffff007dac764
0xfffffff0081b943c: 3aef0737  tbnz	w26, #0, #0xfffffff0081b9220
0xfffffff0081b9440: 4876fff0  adrp	x8, #0xfffffff007084000
0xfffffff0081b9444: 08313b91  add	x8, x8, #0xecc
0xfffffff0081b9448: e80300f9  str	x8, [sp]
0xfffffff0081b944c: 6176fff0  adrp	x1, #0xfffffff007088000
0xfffffff0081b9450: 21043191  add	x1, x1, #0xc41
0xfffffff0081b9454: 9b70ef97  bl	#0xfffffff007d956c0
0xfffffff0081b9458: 78048052  mov	w24, #0x23
0xfffffff0081b945c: e00318aa  mov	x0, x24
0xfffffff0081b9460: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0081b9464: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0081b9468: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0081b946c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0081b9470: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0081b9474: ffc30191  add	sp, sp, #0x70
0xfffffff0081b9478: ff0f5fd6  retab	
0xfffffff0081b947c: 682f8052  mov	w8, #0x17b
0xfffffff0081b9480: 4976ffd0  adrp	x9, #0xfffffff007083000
0xfffffff0081b9484: 29d13591  add	x9, x9, #0xd74
0xfffffff0081b9488: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081b948c: f60300f9  str	x22, [sp]
0xfffffff0081b9490: 4076ffd0  adrp	x0, #0xfffffff007083000
0xfffffff0081b9494: 002c3591  add	x0, x0, #0xd4b
0xfffffff0081b9498: 1d6c0b94  bl	#0xfffffff00849450c
0xfffffff0081b949c: e81642f9  ldr	x8, [x23, #0x428]
0xfffffff0081b94a0: c9648052  mov	w9, #0x326
0xfffffff0081b94a4: 6a74fff0  adrp	x10, #0xfffffff007048000
0xfffffff0081b94a8: 4ab12d91  add	x10, x10, #0xb6c
0xfffffff0081b94ac: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0081b94b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0081b94b4: 6074fff0  adrp	x0, #0xfffffff007048000
0xfffffff0081b94b8: 00482c91  add	x0, x0, #0xb12
0xfffffff0081b94bc: 146c0b94  bl	#0xfffffff00849450c
0xfffffff0081b94c0: 7f2303d5  pacibsp	
0xfffffff0081b94c4: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0081b94c8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0081b94cc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0081b94d0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0081b94d4: fdc30091  add	x29, sp, #0x30
0xfffffff0081b94d8: f50303aa  mov	x21, x3
0xfffffff0081b94dc: f40302aa  mov	x20, x2
0xfffffff0081b94e0: f60301aa  mov	x22, x1
0xfffffff0081b94e4: f80300aa  mov	x24, x0
0xfffffff0081b94e8: e00302aa  mov	x0, x2
0xfffffff0081b94ec: e10303aa  mov	x1, x3
0xfffffff0081b94f0: 58000094  bl	#0xfffffff0081b9650
0xfffffff0081b94f4: 800100b4  cbz	x0, #0xfffffff0081b9524
0xfffffff0081b94f8: f30300aa  mov	x19, x0
0xfffffff0081b94fc: 885644b9  ldr	w8, [x20, #0x454]
0xfffffff0081b9500: 17011e12  and	w23, w8, #4
0xfffffff0081b9504: 580100b4  cbz	x24, #0xfffffff0081b952c
0xfffffff0081b9508: 08bb43b9  ldr	w8, [x24, #0x3b8]
0xfffffff0081b950c: 04050153  ubfx	w4, w8, #1, #1
