; Candidate 10794
; ADRP+ADD at VM 0xfffffff008de6dd0 (fileoff 0x1de2dd0): page=0x1fe5de000 add_imm=0xe15

0xfffffff008de6d50: df0200f1  cmp	x22, #0
0xfffffff008de6d54: 0801969a  csel	x8, x8, x22, eq
0xfffffff008de6d58: f52305a9  stp	x21, x8, [sp, #0x50]
0xfffffff008de6d5c: ff3304a9  stp	xzr, x12, [sp, #0x40]
0xfffffff008de6d60: ff2f03a9  stp	xzr, x11, [sp, #0x30]
0xfffffff008de6d64: f42b02a9  stp	x20, x10, [sp, #0x20]
0xfffffff008de6d68: e82eff90  adrp	x8, #0xfffffff0073c2000
0xfffffff008de6d6c: 08852e91  add	x8, x8, #0xba1
0xfffffff008de6d70: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6d74: 4a9d0c91  add	x10, x10, #0x327
0xfffffff008de6d78: e94f01a9  stp	x9, x19, [sp, #0x10]
0xfffffff008de6d7c: e02eff90  adrp	x0, #0xfffffff0073c2000
0xfffffff008de6d80: 00642c91  add	x0, x0, #0xb19
0xfffffff008de6d84: ea2300a9  stp	x10, x8, [sp]
0xfffffff008de6d88: a6c0d597  bl	#0xfffffff008357020
0xfffffff008de6d8c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008de6d90: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008de6d94: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008de6d98: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008de6d9c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008de6da0: ffc30291  add	sp, sp, #0xb0
0xfffffff008de6da4: ff0f5fd6  retab	
0xfffffff008de6da8: 280e8052  mov	w8, #0x71
0xfffffff008de6dac: e92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008de6db0: 29ed2991  add	x9, x9, #0xa7b
0xfffffff008de6db4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de6db8: e82eff90  adrp	x8, #0xfffffff0073c2000
0xfffffff008de6dbc: 08c52b91  add	x8, x8, #0xaf1
0xfffffff008de6dc0: ea2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008de6dc4: 4a152e91  add	x10, x10, #0xb85
0xfffffff008de6dc8: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de6dcc: ea0300f9  str	x10, [sp]
0xfffffff008de6dd0: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de6dd4: 00543891  add	x0, x0, #0xe15
0xfffffff008de6dd8: 92c0d597  bl	#0xfffffff008357020
0xfffffff008de6ddc: 080080d2  mov	x8, #0
0xfffffff008de6de0: cdffff17  b	#0xfffffff008de6d14
0xfffffff008de6de4: 7f2303d5  pacibsp	
0xfffffff008de6de8: ff8301d1  sub	sp, sp, #0x60
0xfffffff008de6dec: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de6df0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de6df4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de6df8: fd430191  add	x29, sp, #0x50
0xfffffff008de6dfc: bfc31db8  stur	wzr, [x29, #-0x24]
0xfffffff008de6e00: 800300b4  cbz	x0, #0xfffffff008de6e70
0xfffffff008de6e04: 810400b4  cbz	x1, #0xfffffff008de6e94
0xfffffff008de6e08: f40306aa  mov	x20, x6
0xfffffff008de6e0c: 660500b4  cbz	x6, #0xfffffff008de6eb8
0xfffffff008de6e10: f30305aa  mov	x19, x5
0xfffffff008de6e14: f50304aa  mov	x21, x4
0xfffffff008de6e18: e00301aa  mov	x0, x1
0xfffffff008de6e1c: 21108052  mov	w1, #0x81
0xfffffff008de6e20: d0d9bd97  bl	#0xfffffff007d5d560
0xfffffff008de6e24: 1f0402f1  cmp	x0, #0x81
0xfffffff008de6e28: a2050054  b.hs	#0xfffffff008de6edc
0xfffffff008de6e2c: f60300aa  mov	x22, x0
0xfffffff008de6e30: a29300d1  sub	x2, x29, #0x24
0xfffffff008de6e34: e00315aa  mov	x0, x21
0xfffffff008de6e38: e10313aa  mov	x1, x19
0xfffffff008de6e3c: 45000094  bl	#0xfffffff008de6f50
0xfffffff008de6e40: f30300aa  mov	x19, x0
0xfffffff008de6e44: a0060035  cbnz	w0, #0xfffffff008de6f18
0xfffffff008de6e48: a8c35db8  ldur	w8, [x29, #-0x24]
0xfffffff008de6e4c: c802088b  add	x8, x22, x8
