; Candidate 16372
; ADRP+ADD at VM 0xfffffff009e771d4 (fileoff 0x2e731d4): page=0x1fd9ba000 add_imm=0xd90

0xfffffff009e77154: 01c10391  add	x1, x8, #0xf0
0xfffffff009e77158: e00315aa  mov	x0, x21
0xfffffff009e7715c: 76ee9297  bl	#0xfffffff008332b34
0xfffffff009e77160: 60ce40f9  ldr	x0, [x19, #0x198]
0xfffffff009e77164: 810e40f9  ldr	x1, [x20, #0x18]
0xfffffff009e77168: 83318397  bl	#0xfffffff007f43774
0xfffffff009e7716c: 960e40f9  ldr	x22, [x20, #0x18]
0xfffffff009e77170: 60ce40f9  ldr	x0, [x19, #0x198]
0xfffffff009e77174: dc308397  bl	#0xfffffff007f434e4
0xfffffff009e77178: e10300aa  mov	x1, x0
0xfffffff009e7717c: e00316aa  mov	x0, x22
0xfffffff009e77180: dc308397  bl	#0xfffffff007f434f0
0xfffffff009e77184: 960e40f9  ldr	x22, [x20, #0x18]
0xfffffff009e77188: 60ce40f9  ldr	x0, [x19, #0x198]
0xfffffff009e7718c: a2308397  bl	#0xfffffff007f43414
0xfffffff009e77190: e10300aa  mov	x1, x0
0xfffffff009e77194: e00316aa  mov	x0, x22
0xfffffff009e77198: a3308397  bl	#0xfffffff007f43424
0xfffffff009e7719c: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e771a0: 090943f9  ldr	x9, [x8, #0x610]
0xfffffff009e771a4: 890200f9  str	x9, [x20]
0xfffffff009e771a8: 140903f9  str	x20, [x8, #0x610]
0xfffffff009e771ac: f3830091  add	x19, sp, #0x20
0xfffffff009e771b0: e1830091  add	x1, sp, #0x20
0xfffffff009e771b4: e00315aa  mov	x0, x21
0xfffffff009e771b8: a2ef9297  bl	#0xfffffff008333040
0xfffffff009e771bc: 882240b9  ldr	w8, [x20, #0x20]
0xfffffff009e771c0: f32301a9  stp	x19, x8, [sp, #0x10]
0xfffffff009e771c4: c8cdfed0  adrp	x8, #0xfffffff007831000
0xfffffff009e771c8: 08f93691  add	x8, x8, #0xdbe
0xfffffff009e771cc: 894b8652  mov	w9, #0x325c
0xfffffff009e771d0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e771d4: c0cdfed0  adrp	x0, #0xfffffff007831000
0xfffffff009e771d8: 00403691  add	x0, x0, #0xd90
0xfffffff009e771dc: 99210094  bl	#0xfffffff009e7f840
0xfffffff009e771e0: 15008052  mov	w21, #0
0xfffffff009e771e4: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e771e8: 000143f9  ldr	x0, [x8, #0x600]
0xfffffff009e771ec: 54d57c97  bl	#0xfffffff007dac73c
0xfffffff009e771f0: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff009e771f4: a9f5fef0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e771f8: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e771fc: 290140f9  ldr	x9, [x9]
0xfffffff009e77200: 3f0108eb  cmp	x9, x8
0xfffffff009e77204: e1010054  b.ne	#0xfffffff009e77240
0xfffffff009e77208: e00315aa  mov	x0, x21
0xfffffff009e7720c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009e77210: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009e77214: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009e77218: ff030291  add	sp, sp, #0x80
0xfffffff009e7721c: ff0f5fd6  retab	
0xfffffff009e77220: e0f5fef0  adrp	x0, #0xfffffff007d36000
0xfffffff009e77224: 00601191  add	x0, x0, #0x458
0xfffffff009e77228: e10314aa  mov	x1, x20
0xfffffff009e7722c: 387d9397  bl	#0xfffffff00835670c
0xfffffff009e77230: e8048092  mov	x8, #-0x28
0xfffffff009e77234: a80228f8  ldadd	x8, x8, [x21]
0xfffffff009e77238: 95018052  mov	w21, #0xc
0xfffffff009e7723c: eaffff17  b	#0xfffffff009e771e4
0xfffffff009e77240: 039b7b97  bl	#0xfffffff007d5de4c
0xfffffff009e77244: 7f2303d5  pacibsp	
0xfffffff009e77248: ff8302d1  sub	sp, sp, #0xa0
0xfffffff009e7724c: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff009e77250: f85f06a9  stp	x24, x23, [sp, #0x60]
