; Candidate 11473
; ADRP+ADD at VM 0xfffffff008f5825c (fileoff 0x1f5425c): page=0x1fe4c7000 add_imm=0xd07

0xfffffff008f581dc: 81138052  mov	w1, #0x9c
0xfffffff008f581e0: 82008052  mov	w2, #4
0xfffffff008f581e4: a2d5bb72  movk	w2, #0xdead, lsl #16
0xfffffff008f581e8: 7fdc2a94  bl	#0xfffffff009a0f3e4
0xfffffff008f581ec: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff008f581f0: 01118052  mov	w1, #0x88
0xfffffff008f581f4: 54dc2a94  bl	#0xfffffff009a0f344
0xfffffff008f581f8: f50300aa  mov	x21, x0
0xfffffff008f581fc: 760e40f9  ldr	x22, [x19, #0x18]
0xfffffff008f58200: 700240f9  ldr	x16, [x19]
0xfffffff008f58204: f10313aa  mov	x17, x19
0xfffffff008f58208: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f5820c: 301ac1da  autda	x16, x17
0xfffffff008f58210: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f58214: e90310aa  mov	x9, x16
0xfffffff008f58218: e00313aa  mov	x0, x19
0xfffffff008f5821c: f10309aa  mov	x17, x9
0xfffffff008f58220: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f58224: 11093fd7  blraa	x8, x17
0xfffffff008f58228: cc31ce97  bl	#0xfffffff0082e4958
0xfffffff008f5822c: 360100b4  cbz	x22, #0xfffffff008f58250
0xfffffff008f58230: f7d700a9  stp	x23, x21, [sp, #8]
0xfffffff008f58234: e00300f9  str	x0, [sp]
0xfffffff008f58238: 2226fff0  adrp	x2, #0xfffffff00741f000
0xfffffff008f5823c: 421c3491  add	x2, x2, #0xd07
0xfffffff008f58240: e00316aa  mov	x0, x22
0xfffffff008f58244: 41008052  mov	w1, #2
0xfffffff008f58248: ffb04094  bl	#0xfffffff009f84644
0xfffffff008f5824c: 07000014  b	#0xfffffff008f58268
0xfffffff008f58250: e80315aa  mov	x8, x21
0xfffffff008f58254: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff008f58258: e00300f9  str	x0, [sp]
0xfffffff008f5825c: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f58260: 001c3491  add	x0, x0, #0xd07
0xfffffff008f58264: 6ffbcf97  bl	#0xfffffff008357020
0xfffffff008f58268: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff008f5826c: 01108052  mov	w1, #0x80
0xfffffff008f58270: e20314aa  mov	x2, x20
0xfffffff008f58274: 5cdc2a94  bl	#0xfffffff009a0f3e4
0xfffffff008f58278: b47a1912  and	w20, w21, #0xffffffbf
0xfffffff008f5827c: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff008f58280: 01118052  mov	w1, #0x88
0xfffffff008f58284: e20314aa  mov	x2, x20
0xfffffff008f58288: 57dc2a94  bl	#0xfffffff009a0f3e4
0xfffffff008f5828c: 750e40f9  ldr	x21, [x19, #0x18]
0xfffffff008f58290: 700240f9  ldr	x16, [x19]
0xfffffff008f58294: f10313aa  mov	x17, x19
0xfffffff008f58298: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f5829c: 301ac1da  autda	x16, x17
0xfffffff008f582a0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f582a4: e90310aa  mov	x9, x16
0xfffffff008f582a8: e00313aa  mov	x0, x19
0xfffffff008f582ac: f10309aa  mov	x17, x9
0xfffffff008f582b0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f582b4: 11093fd7  blraa	x8, x17
0xfffffff008f582b8: a831ce97  bl	#0xfffffff0082e4958
0xfffffff008f582bc: 350100b4  cbz	x21, #0xfffffff008f582e0
0xfffffff008f582c0: f7d300a9  stp	x23, x20, [sp, #8]
0xfffffff008f582c4: e00300f9  str	x0, [sp]
0xfffffff008f582c8: 2226fff0  adrp	x2, #0xfffffff00741f000
0xfffffff008f582cc: 42143591  add	x2, x2, #0xd45
0xfffffff008f582d0: e00315aa  mov	x0, x21
0xfffffff008f582d4: 41008052  mov	w1, #2
0xfffffff008f582d8: dbb04094  bl	#0xfffffff009f84644
