; Candidate 1141
; ADRP+ADD at VM 0xfffffff00822a4ac (fileoff 0x12264ac): page=0x1fee60000 add_imm=0xe78

0xfffffff00822a42c: f5031aaa  mov	x21, x26
0xfffffff00822a430: f8a49736  tbz	w24, #0x12, #0xfffffff0082298cc
0xfffffff00822a434: 3cfdff17  b	#0xfffffff008229924
0xfffffff00822a438: 02008052  mov	w2, #0
0xfffffff00822a43c: af05ee97  bl	#0xfffffff007dabaf8
0xfffffff00822a440: 99ffff17  b	#0xfffffff00822a2a4
0xfffffff00822a444: a83a4079  ldrh	w8, [x21, #0x1c]
0xfffffff00822a448: a9258252  mov	w9, #0x112d
0xfffffff00822a44c: ea72fff0  adrp	x10, #0xfffffff007089000
0xfffffff00822a450: 4af13b91  add	x10, x10, #0xefc
0xfffffff00822a454: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00822a458: e85700a9  stp	x8, x21, [sp]
0xfffffff00822a45c: e072fff0  adrp	x0, #0xfffffff007089000
0xfffffff00822a460: 00ac3f91  add	x0, x0, #0xfeb
0xfffffff00822a464: 2aa80994  bl	#0xfffffff00849450c
0xfffffff00822a468: 79ceec97  bl	#0xfffffff007d5de4c
0xfffffff00822a46c: a88a8352  mov	w8, #0x1c55
0xfffffff00822a470: 0973ff90  adrp	x9, #0xfffffff00708a000
0xfffffff00822a474: 29dd3491  add	x9, x9, #0xd37
0xfffffff00822a478: 0a73ffb0  adrp	x10, #0xfffffff00708b000
0xfffffff00822a47c: 4a1d0191  add	x10, x10, #0x47
0xfffffff00822a480: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00822a484: ea4f00a9  stp	x10, x19, [sp]
0xfffffff00822a488: 0073ffb0  adrp	x0, #0xfffffff00708b000
0xfffffff00822a48c: 00a00091  add	x0, x0, #0x28
0xfffffff00822a490: 1fa80994  bl	#0xfffffff00849450c
0xfffffff00822a494: 69468152  mov	w9, #0xa33
0xfffffff00822a498: 0873ff90  adrp	x8, #0xfffffff00708a000
0xfffffff00822a49c: 08dd3491  add	x8, x8, #0xd37
0xfffffff00822a4a0: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00822a4a4: f7d301a9  stp	x23, x20, [sp, #0x18]
0xfffffff00822a4a8: f6e300a9  stp	x22, x24, [sp, #8]
0xfffffff00822a4ac: 0073ff90  adrp	x0, #0xfffffff00708a000
0xfffffff00822a4b0: 00e03991  add	x0, x0, #0xe78
0xfffffff00822a4b4: f30300f9  str	x19, [sp]
0xfffffff00822a4b8: 15a80994  bl	#0xfffffff00849450c
0xfffffff00822a4bc: 7f2303d5  pacibsp	
0xfffffff00822a4c0: ff4301d1  sub	sp, sp, #0x50
0xfffffff00822a4c4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00822a4c8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00822a4cc: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00822a4d0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00822a4d4: fd030191  add	x29, sp, #0x40
0xfffffff00822a4d8: f30304aa  mov	x19, x4
0xfffffff00822a4dc: f70303aa  mov	x23, x3
0xfffffff00822a4e0: f50302aa  mov	x21, x2
0xfffffff00822a4e4: f40301aa  mov	x20, x1
0xfffffff00822a4e8: f60300aa  mov	x22, x0
0xfffffff00822a4ec: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff00822a4f0: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff00822a4f4: a80000b4  cbz	x8, #0xfffffff00822a508
0xfffffff00822a4f8: e00316aa  mov	x0, x22
0xfffffff00822a4fc: 01008052  mov	w1, #0
0xfffffff00822a500: b1679ed2  mov	x17, #0xf33d
0xfffffff00822a504: 11093fd7  blraa	x8, x17
0xfffffff00822a508: 950000b4  cbz	x21, #0xfffffff00822a518
0xfffffff00822a50c: a83e4079  ldrh	w8, [x21, #0x1e]
0xfffffff00822a510: 170100b4  cbz	x23, #0xfffffff00822a530
0xfffffff00822a514: 48040837  tbnz	w8, #1, #0xfffffff00822a59c
0xfffffff00822a518: 0073ff90  adrp	x0, #0xfffffff00708a000
0xfffffff00822a51c: 00d03a91  add	x0, x0, #0xeb4
0xfffffff00822a520: 0173ff90  adrp	x1, #0xfffffff00708a000
0xfffffff00822a524: 21c03291  add	x1, x1, #0xcb0
0xfffffff00822a528: 024d8152  mov	w2, #0xa68
