; Candidate 11480
; ADRP+ADD at VM 0xfffffff008f586d4 (fileoff 0x1f546d4): page=0x1fe4c7000 add_imm=0xec2

0xfffffff008f58654: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008f58658: ff030191  add	sp, sp, #0x40
0xfffffff008f5865c: ff0f5fd6  retab	
0xfffffff008f58660: b5578052  mov	w21, #0x2bd
0xfffffff008f58664: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff008f58668: f8ffff17  b	#0xfffffff008f58648
0xfffffff008f5866c: 0d250094  bl	#0xfffffff008f61aa0
0xfffffff008f58670: 7f2303d5  pacibsp	
0xfffffff008f58674: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f58678: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f5867c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f58680: fdc30091  add	x29, sp, #0x30
0xfffffff008f58684: f40301aa  mov	x20, x1
0xfffffff008f58688: e10300aa  mov	x1, x0
0xfffffff008f5868c: a89d0090  adrp	x8, #0xfffffff00a30c000
0xfffffff008f58690: 08a10e91  add	x8, x8, #0x3a8
0xfffffff008f58694: 000140f9  ldr	x0, [x8]
0xfffffff008f58698: e00200b4  cbz	x0, #0xfffffff008f586f4
0xfffffff008f5869c: 53588052  mov	w19, #0x2c2
0xfffffff008f586a0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008f586a4: f40000b4  cbz	x20, #0xfffffff008f586c0
0xfffffff008f586a8: 6de5ff97  bl	#0xfffffff008f51c5c
0xfffffff008f586ac: 800200f9  str	x0, [x20]
0xfffffff008f586b0: 1f0000f1  cmp	x0, #0
0xfffffff008f586b4: 73029f1a  csel	w19, w19, wzr, eq
0xfffffff008f586b8: 19b7bb97  bl	#0xfffffff007e4631c
0xfffffff008f586bc: 02000014  b	#0xfffffff008f586c4
0xfffffff008f586c0: 000080d2  mov	x0, #0
0xfffffff008f586c4: 2826fff0  adrp	x8, #0xfffffff00741f000
0xfffffff008f586c8: 088d3a91  add	x8, x8, #0xea3
0xfffffff008f586cc: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff008f586d0: e80300f9  str	x8, [sp]
0xfffffff008f586d4: 2026fff0  adrp	x0, #0xfffffff00741f000
0xfffffff008f586d8: 00083b91  add	x0, x0, #0xec2
0xfffffff008f586dc: 51facf97  bl	#0xfffffff008357020
0xfffffff008f586e0: e00313aa  mov	x0, x19
0xfffffff008f586e4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008f586e8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008f586ec: ff030191  add	sp, sp, #0x40
0xfffffff008f586f0: ff0f5fd6  retab	
0xfffffff008f586f4: f9240094  bl	#0xfffffff008f61ad8
0xfffffff008f586f8: 7f2303d5  pacibsp	
0xfffffff008f586fc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f58700: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f58704: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f58708: fdc30091  add	x29, sp, #0x30
0xfffffff008f5870c: f40300aa  mov	x20, x0
0xfffffff008f58710: a89d0090  adrp	x8, #0xfffffff00a30c000
0xfffffff008f58714: 08a10e91  add	x8, x8, #0x3a8
0xfffffff008f58718: 000140f9  ldr	x0, [x8]
0xfffffff008f5871c: e00200b4  cbz	x0, #0xfffffff008f58778
0xfffffff008f58720: 53588052  mov	w19, #0x2c2
0xfffffff008f58724: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008f58728: f40000b4  cbz	x20, #0xfffffff008f58744
0xfffffff008f5872c: 13e5ff97  bl	#0xfffffff008f51b78
0xfffffff008f58730: 800200f9  str	x0, [x20]
0xfffffff008f58734: 1f0000f1  cmp	x0, #0
0xfffffff008f58738: 73029f1a  csel	w19, w19, wzr, eq
0xfffffff008f5873c: f8b6bb97  bl	#0xfffffff007e4631c
0xfffffff008f58740: 02000014  b	#0xfffffff008f58748
0xfffffff008f58744: 000080d2  mov	x0, #0
0xfffffff008f58748: 2826fff0  adrp	x8, #0xfffffff00741f000
0xfffffff008f5874c: 08e53b91  add	x8, x8, #0xef9
0xfffffff008f58750: f38300a9  stp	x19, x0, [sp, #8]
