; Candidate 3429
; ADRP+ADD at VM 0xfffffff00873e130 (fileoff 0x173a130): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873e0b0: 88008052  mov	w8, #4
0xfffffff00873e0b4: 0822a072  movk	w8, #0x110, lsl #16
0xfffffff00873e0b8: 1f6b68b8  ldr	wzr, [x24, x8]
0xfffffff00873e0bc: 04000014  b	#0xfffffff00873e0cc
0xfffffff00873e0c0: e02740f9  ldr	x0, [sp, #0x48]
0xfffffff00873e0c4: 01008052  mov	w1, #0
0xfffffff00873e0c8: ab370094  bl	#0xfffffff00874bf74
0xfffffff00873e0cc: f80317aa  mov	x24, x23
0xfffffff00873e0d0: 083c0012  and	w8, w0, #0xffff
0xfffffff00873e0d4: 69b241b9  ldr	w9, [x19, #0x1b0]
0xfffffff00873e0d8: f795fff0  adrp	x23, #0xfffffff0079fd000
0xfffffff00873e0dc: f7e641f9  ldr	x23, [x23, #0x3c8]
0xfffffff00873e0e0: 3f3d0671  cmp	w9, #0x18f
0xfffffff00873e0e4: 8c030054  b.gt	#0xfffffff00873e154
0xfffffff00873e0e8: 3fad0471  cmp	w9, #0x12b
0xfffffff00873e0ec: 0c040054  b.gt	#0xfffffff00873e16c
0xfffffff00873e0f0: 30310051  sub	w16, w9, #0xc
0xfffffff00873e0f4: 1f220071  cmp	w16, #8
0xfffffff00873e0f8: 080f0054  b.hi	#0xfffffff00873e2d8
0xfffffff00873e0fc: 1f2200f1  cmp	x16, #8
0xfffffff00873e100: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00873e104: 110000b0  adrp	x17, #0xfffffff00873f000
0xfffffff00873e108: 31521591  add	x17, x17, #0x554
0xfffffff00873e10c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00873e110: 11000010  adr	x17, #0xfffffff00873e110
0xfffffff00873e114: 3002108b  add	x16, x17, x16
0xfffffff00873e118: 00021fd6  br	x16
0xfffffff00873e11c: 9f2403d5  bti	j
0xfffffff00873e120: 1f050071  cmp	w8, #1
0xfffffff00873e124: 40140054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e128: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00873e12c: fb0300f9  str	x27, [sp]
0xfffffff00873e130: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e134: 00403691  add	x0, x0, #0xd90
0xfffffff00873e138: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e13c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e140: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e144: 63881291  add	x3, x3, #0x4a2
0xfffffff00873e148: 02008052  mov	w2, #0
0xfffffff00873e14c: f9d3ef97  bl	#0xfffffff008333130
0xfffffff00873e150: 97000014  b	#0xfffffff00873e3ac
0xfffffff00873e154: 3f4d0671  cmp	w9, #0x193
0xfffffff00873e158: ec020054  b.gt	#0xfffffff00873e1b4
0xfffffff00873e15c: 2a410651  sub	w10, w9, #0x190
0xfffffff00873e160: 5f0d0071  cmp	w10, #3
0xfffffff00873e164: c3040054  b.lo	#0xfffffff00873e1fc
0xfffffff00873e168: 5c000014  b	#0xfffffff00873e2d8
0xfffffff00873e16c: 3fb10471  cmp	w9, #0x12c
0xfffffff00873e170: e0070054  b.eq	#0xfffffff00873e26c
0xfffffff00873e174: 3fd10471  cmp	w9, #0x134
0xfffffff00873e178: 40080054  b.eq	#0xfffffff00873e280
0xfffffff00873e17c: 3f110571  cmp	w9, #0x144
0xfffffff00873e180: c10a0054  b.ne	#0xfffffff00873e2d8
0xfffffff00873e184: 1f610071  cmp	w8, #0x18
0xfffffff00873e188: 20110054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e18c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e190: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e194: 00403691  add	x0, x0, #0xd90
0xfffffff00873e198: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e19c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e1a0: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e1a4: 63e01591  add	x3, x3, #0x578
0xfffffff00873e1a8: 02008052  mov	w2, #0
0xfffffff00873e1ac: e1d3ef97  bl	#0xfffffff008333130
