; Candidate 12959
; ADRP+ADD at VM 0xfffffff009197bec (fileoff 0x2193bec): page=0x1fe2ff000 add_imm=0xea2

0xfffffff009197b6c: f10300aa  mov	x17, x0
0xfffffff009197b70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009197b74: 301ac1da  autda	x16, x17
0xfffffff009197b78: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff009197b7c: e90310aa  mov	x9, x16
0xfffffff009197b80: f10309aa  mov	x17, x9
0xfffffff009197b84: 514ce9f2  movk	x17, #0x4a62, lsl #48
0xfffffff009197b88: 11093fd7  blraa	x8, x17
0xfffffff009197b8c: e07f0039  strb	w0, [sp, #0x1f]
0xfffffff009197b90: 603e41f9  ldr	x0, [x19, #0x278]
0xfffffff009197b94: e27f0091  add	x2, sp, #0x1f
0xfffffff009197b98: 011b8052  mov	w1, #0xd8
0xfffffff009197b9c: 23008052  mov	w3, #1
0xfffffff009197ba0: 04008052  mov	w4, #0
0xfffffff009197ba4: 02ad0094  bl	#0xfffffff0091c2fac
0xfffffff009197ba8: f40300aa  mov	x20, x0
0xfffffff009197bac: 60020035  cbnz	w0, #0xfffffff009197bf8
0xfffffff009197bb0: 700240f9  ldr	x16, [x19]
0xfffffff009197bb4: f10313aa  mov	x17, x19
0xfffffff009197bb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009197bbc: 301ac1da  autda	x16, x17
0xfffffff009197bc0: 113d80d2  mov	x17, #0x1e8
0xfffffff009197bc4: 1002118b  add	x16, x16, x17
0xfffffff009197bc8: 080240f9  ldr	x8, [x16]
0xfffffff009197bcc: e90310aa  mov	x9, x16
0xfffffff009197bd0: e00313aa  mov	x0, x19
0xfffffff009197bd4: 010080d2  mov	x1, #0
0xfffffff009197bd8: f10309aa  mov	x17, x9
0xfffffff009197bdc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009197be0: 11093fd7  blraa	x8, x17
0xfffffff009197be4: e87f4039  ldrb	w8, [sp, #0x1f]
0xfffffff009197be8: e02300a9  stp	x0, x8, [sp]
0xfffffff009197bec: e017fff0  adrp	x0, #0xfffffff007496000
0xfffffff009197bf0: 00883a91  add	x0, x0, #0xea2
0xfffffff009197bf4: 0bfdc697  bl	#0xfffffff008357020
0xfffffff009197bf8: e00314aa  mov	x0, x20
0xfffffff009197bfc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009197c00: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009197c04: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009197c08: ff430191  add	sp, sp, #0x50
0xfffffff009197c0c: ff0f5fd6  retab	
0xfffffff009197c10: 7f2303d5  pacibsp	
0xfffffff009197c14: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009197c18: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009197c1c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009197c20: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009197c24: fdc30091  add	x29, sp, #0x30
0xfffffff009197c28: f30304aa  mov	x19, x4
0xfffffff009197c2c: f70303aa  mov	x23, x3
0xfffffff009197c30: f60302aa  mov	x22, x2
0xfffffff009197c34: f40301aa  mov	x20, x1
0xfffffff009197c38: f50300aa  mov	x21, x0
0xfffffff009197c3c: 936c1d94  bl	#0xfffffff0098f2e88
0xfffffff009197c40: d7010035  cbnz	w23, #0xfffffff009197c78
0xfffffff009197c44: a0010034  cbz	w0, #0xfffffff009197c78
0xfffffff009197c48: d00240f9  ldr	x16, [x22]
0xfffffff009197c4c: f10316aa  mov	x17, x22
0xfffffff009197c50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009197c54: 301ac1da  autda	x16, x17
0xfffffff009197c58: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff009197c5c: e90310aa  mov	x9, x16
0xfffffff009197c60: e00316aa  mov	x0, x22
0xfffffff009197c64: f10309aa  mov	x17, x9
0xfffffff009197c68: 31afe8f2  movk	x17, #0x4579, lsl #48
