; Candidate 8678
; ADRP+ADD at VM 0xfffffff0088bc62c (fileoff 0x18b862c): page=0x1fe92d000 add_imm=0xe80

0xfffffff0088bc5ac: 700240f9  ldr	x16, [x19]
0xfffffff0088bc5b0: f10313aa  mov	x17, x19
0xfffffff0088bc5b4: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088bc5b8: 301ac1da  autda	x16, x17
0xfffffff0088bc5bc: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088bc5c0: e90310aa  mov	x9, x16
0xfffffff0088bc5c4: e00313aa  mov	x0, x19
0xfffffff0088bc5c8: f10309aa  mov	x17, x9
0xfffffff0088bc5cc: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088bc5d0: 11093fd7  blraa	x8, x17
0xfffffff0088bc5d4: e00316aa  mov	x0, x22
0xfffffff0088bc5d8: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088bc5dc: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088bc5e0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088bc5e4: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088bc5e8: ff430291  add	sp, sp, #0x90
0xfffffff0088bc5ec: ff0f5fd6  retab	
0xfffffff0088bc5f0: efdeff97  bl	#0xfffffff0088b41ac
0xfffffff0088bc5f4: f50300aa  mov	x21, x0
0xfffffff0088bc5f8: 80008052  mov	w0, #4
0xfffffff0088bc5fc: 95fcfe97  bl	#0xfffffff00887b850
0xfffffff0088bc600: e80316aa  mov	x8, x22
0xfffffff0088bc604: f42303a9  stp	x20, x8, [sp, #0x30]
0xfffffff0088bc608: 88838052  mov	w8, #0x41c
0xfffffff0088bc60c: c94bffb0  adrp	x9, #0xfffffff007235000
0xfffffff0088bc610: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088bc614: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bc618: c84bffd0  adrp	x8, #0xfffffff007236000
0xfffffff0088bc61c: 08c93691  add	x8, x8, #0xdb2
0xfffffff0088bc620: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bc624: c8088052  mov	w8, #0x46
0xfffffff0088bc628: f52300a9  stp	x21, x8, [sp]
0xfffffff0088bc62c: 6049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bc630: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bc634: 618aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088bc638: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bc63c: 434dffd0  adrp	x3, #0xfffffff007266000
0xfffffff0088bc640: 63600091  add	x3, x3, #0x18
0xfffffff0088bc644: 02008052  mov	w2, #0
0xfffffff0088bc648: badae997  bl	#0xfffffff008333130
0xfffffff0088bc64c: 13fbffb5  cbnz	x19, #0xfffffff0088bc5ac
0xfffffff0088bc650: e1ffff17  b	#0xfffffff0088bc5d4
0xfffffff0088bc654: d6deff97  bl	#0xfffffff0088b41ac
0xfffffff0088bc658: f60300aa  mov	x22, x0
0xfffffff0088bc65c: e0008052  mov	w0, #7
0xfffffff0088bc660: 7cfcfe97  bl	#0xfffffff00887b850
0xfffffff0088bc664: a83a42b9  ldr	w8, [x21, #0x238]
0xfffffff0088bc668: a90e40b9  ldr	w9, [x21, #0xc]
0xfffffff0088bc66c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088bc670: c8088052  mov	w8, #0x46
0xfffffff0088bc674: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088bc678: f60300f9  str	x22, [sp]
0xfffffff0088bc67c: 6049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bc680: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bc684: 618aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088bc688: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bc68c: 434dffb0  adrp	x3, #0xfffffff007265000
0xfffffff0088bc690: 631c3e91  add	x3, x3, #0xf87
0xfffffff0088bc694: 02008052  mov	w2, #0
0xfffffff0088bc698: a6dae997  bl	#0xfffffff008333130
0xfffffff0088bc69c: e00315aa  mov	x0, x21
0xfffffff0088bc6a0: e10317aa  mov	x1, x23
0xfffffff0088bc6a4: e20313aa  mov	x2, x19
0xfffffff0088bc6a8: 36000094  bl	#0xfffffff0088bc780
