; Candidate 8944
; ADRP+ADD at VM 0xfffffff0088faabc (fileoff 0x18f6abc): page=0x1ff120000 add_imm=0xe30

0xfffffff0088faa3c: 10020a91  add	x16, x16, #0x280
0xfffffff0088faa40: 10420091  add	x16, x16, #0x10
0xfffffff0088faa44: f10300aa  mov	x17, x0
0xfffffff0088faa48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088faa4c: 300ac1da  pacda	x16, x17
0xfffffff0088faa50: 100000f9  str	x16, [x0]
0xfffffff0088faa54: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088faa58: ff0f5fd6  retab	
0xfffffff0088faa5c: 5f2403d5  bti	c
0xfffffff0088faa60: bbb2e717  b	#0xfffffff0082e754c
0xfffffff0088faa64: 5f2403d5  bti	c
0xfffffff0088faa68: b9b2e717  b	#0xfffffff0082e754c
0xfffffff0088faa6c: 7f2303d5  pacibsp	
0xfffffff0088faa70: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088faa74: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088faa78: fd430091  add	x29, sp, #0x10
0xfffffff0088faa7c: f30300aa  mov	x19, x0
0xfffffff0088faa80: b3b2e797  bl	#0xfffffff0082e754c
0xfffffff0088faa84: 0089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088faa88: 00c03891  add	x0, x0, #0xe30
0xfffffff0088faa8c: e10313aa  mov	x1, x19
0xfffffff0088faa90: 02028052  mov	w2, #0x10
0xfffffff0088faa94: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088faa98: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088faa9c: ff2303d5  autibsp	
0xfffffff0088faaa0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088faaa4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088faaac
0xfffffff0088faaa8: 208e38d4  brk	#0xc471
0xfffffff0088faaac: fcb2e717  b	#0xfffffff0082e769c
0xfffffff0088faab0: 5f2403d5  bti	c
0xfffffff0088faab4: e20301aa  mov	x2, x1
0xfffffff0088faab8: e10300aa  mov	x1, x0
0xfffffff0088faabc: 0089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088faac0: 00c03891  add	x0, x0, #0xe30
0xfffffff0088faac4: f6b2e717  b	#0xfffffff0082e769c
0xfffffff0088faac8: 5f2403d5  bti	c
0xfffffff0088faacc: 00cf00b0  adrp	x0, #0xfffffff00a2db000
0xfffffff0088faad0: 00a03291  add	x0, x0, #0xca8
0xfffffff0088faad4: c0035fd6  ret	
0xfffffff0088faad8: 7f2303d5  pacibsp	
0xfffffff0088faadc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088faae0: fd030091  mov	x29, sp
0xfffffff0088faae4: a14bffd0  adrp	x1, #0xfffffff007270000
0xfffffff0088faae8: 219c1191  add	x1, x1, #0x467
0xfffffff0088faaec: e288ffb0  adrp	x2, #0xfffffff007a17000
0xfffffff0088faaf0: 429c43f9  ldr	x2, [x2, #0x738]
0xfffffff0088faaf4: 03028052  mov	w3, #0x10
0xfffffff0088faaf8: 10a4e797  bl	#0xfffffff0082e3b38
0xfffffff0088faafc: 1089ff90  adrp	x16, #0xfffffff007a1a000
0xfffffff0088fab00: 10420c91  add	x16, x16, #0x310
0xfffffff0088fab04: 10420091  add	x16, x16, #0x10
0xfffffff0088fab08: f10300aa  mov	x17, x0
0xfffffff0088fab0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fab10: 300ac1da  pacda	x16, x17
0xfffffff0088fab14: 100000f9  str	x16, [x0]
0xfffffff0088fab18: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088fab1c: ff0f5fd6  retab	
0xfffffff0088fab20: 7f2303d5  pacibsp	
0xfffffff0088fab24: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088fab28: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088fab2c: fd430091  add	x29, sp, #0x10
0xfffffff0088fab30: 0089ff90  adrp	x0, #0xfffffff007a1a000
0xfffffff0088fab34: 00c03891  add	x0, x0, #0xe30
0xfffffff0088fab38: 01028052  mov	w1, #0x10
