; Candidate 8193
; ADRP+ADD at VM 0xfffffff00889b590 (fileoff 0x1897590): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889b510: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00889b514: 28208052  mov	w8, #0x101
0xfffffff00889b518: a94cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889b51c: 29351591  add	x9, x9, #0x54d
0xfffffff00889b520: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889b524: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b528: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b52c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889b530: a80f8052  mov	w8, #0x7d
0xfffffff00889b534: a04cffb0  adrp	x0, #0xfffffff007230000
0xfffffff00889b538: 00601591  add	x0, x0, #0x558
0xfffffff00889b53c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889b540: c86fd497  bl	#0xfffffff007db7460
0xfffffff00889b544: 1b000014  b	#0xfffffff00889b5b0
0xfffffff00889b548: 19630094  bl	#0xfffffff0088b41ac
0xfffffff00889b54c: f50300aa  mov	x21, x0
0xfffffff00889b550: 80008052  mov	w0, #4
0xfffffff00889b554: bf80ff97  bl	#0xfffffff00887b850
0xfffffff00889b558: 680240b9  ldr	w8, [x19]
0xfffffff00889b55c: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff00889b560: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b564: 08511691  add	x8, x8, #0x594
0xfffffff00889b568: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889b56c: 28208052  mov	w8, #0x101
0xfffffff00889b570: a94cffb0  adrp	x9, #0xfffffff007230000
0xfffffff00889b574: 29351591  add	x9, x9, #0x54d
0xfffffff00889b578: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889b57c: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b580: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b584: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889b588: a80f8052  mov	w8, #0x7d
0xfffffff00889b58c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889b590: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b594: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b598: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b59c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b5a0: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b5a4: 63381691  add	x3, x3, #0x58e
0xfffffff00889b5a8: 02008052  mov	w2, #0
0xfffffff00889b5ac: e15eea97  bl	#0xfffffff008333130
0xfffffff00889b5b0: 157d8012  mov	w21, #-0x3e9
0xfffffff00889b5b4: a00f8052  mov	w0, #0x7d
0xfffffff00889b5b8: e1008052  mov	w1, #7
0xfffffff00889b5bc: 8580ff97  bl	#0xfffffff00887b7d0
0xfffffff00889b5c0: 00060034  cbz	w0, #0xfffffff00889b680
0xfffffff00889b5c4: a00f8052  mov	w0, #0x7d
0xfffffff00889b5c8: 9480ff97  bl	#0xfffffff00887b818
0xfffffff00889b5cc: f70300aa  mov	x23, x0
0xfffffff00889b5d0: f7620094  bl	#0xfffffff0088b41ac
0xfffffff00889b5d4: f60300aa  mov	x22, x0
0xfffffff00889b5d8: e0008052  mov	w0, #7
0xfffffff00889b5dc: 9d80ff97  bl	#0xfffffff00887b850
0xfffffff00889b5e0: 17020034  cbz	w23, #0xfffffff00889b620
0xfffffff00889b5e4: 680240b9  ldr	w8, [x19]
0xfffffff00889b5e8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889b5ec: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889b5f0: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b5f4: 09351591  add	x9, x8, #0x54d
0xfffffff00889b5f8: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b5fc: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b600: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889b604: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889b608: a80f8052  mov	w8, #0x7d
0xfffffff00889b60c: a04bfff0  adrp	x0, #0xfffffff007212000
