; Candidate 12532
; ADRP+ADD at VM 0xfffffff0090b2efc (fileoff 0x20aeefc): page=0x1fe3b4000 add_imm=0xd2a

0xfffffff0090b2e7c: 61ca40f9  ldr	x1, [x19, #0x190]
0xfffffff0090b2e80: 100040f9  ldr	x16, [x0]
0xfffffff0090b2e84: f10300aa  mov	x17, x0
0xfffffff0090b2e88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b2e8c: 301ac1da  autda	x16, x17
0xfffffff0090b2e90: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0090b2e94: e90310aa  mov	x9, x16
0xfffffff0090b2e98: f10309aa  mov	x17, x9
0xfffffff0090b2e9c: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff0090b2ea0: 11093fd7  blraa	x8, x17
0xfffffff0090b2ea4: c8a24339  ldrb	w8, [x22, #0xe8]
0xfffffff0090b2ea8: 1fa10071  cmp	w8, #0x28
0xfffffff0090b2eac: e8020054  b.hi	#0xfffffff0090b2f08
0xfffffff0090b2eb0: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b2eb4: e8010034  cbz	w8, #0xfffffff0090b2ef0
0xfffffff0090b2eb8: 700240f9  ldr	x16, [x19]
0xfffffff0090b2ebc: f10313aa  mov	x17, x19
0xfffffff0090b2ec0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b2ec4: 301ac1da  autda	x16, x17
0xfffffff0090b2ec8: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b2ecc: 1002118b  add	x16, x16, x17
0xfffffff0090b2ed0: 080240f9  ldr	x8, [x16]
0xfffffff0090b2ed4: e90310aa  mov	x9, x16
0xfffffff0090b2ed8: e00313aa  mov	x0, x19
0xfffffff0090b2edc: 010080d2  mov	x1, #0
0xfffffff0090b2ee0: f10309aa  mov	x17, x9
0xfffffff0090b2ee4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b2ee8: 11093fd7  blraa	x8, x17
0xfffffff0090b2eec: 03000014  b	#0xfffffff0090b2ef8
0xfffffff0090b2ef0: a01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090b2ef4: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b2ef8: e05700a9  stp	x0, x21, [sp]
0xfffffff0090b2efc: a01dff90  adrp	x0, #0xfffffff007466000
0xfffffff0090b2f00: 00a83491  add	x0, x0, #0xd2a
0xfffffff0090b2f04: 4790ca97  bl	#0xfffffff008357020
0xfffffff0090b2f08: 28008052  mov	w8, #1
0xfffffff0090b2f0c: 683a01b9  str	w8, [x19, #0x138]
0xfffffff0090b2f10: 700240f9  ldr	x16, [x19]
0xfffffff0090b2f14: f10313aa  mov	x17, x19
0xfffffff0090b2f18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b2f1c: 301ac1da  autda	x16, x17
0xfffffff0090b2f20: 119080d2  mov	x17, #0x480
0xfffffff0090b2f24: 1002118b  add	x16, x16, x17
0xfffffff0090b2f28: 080240f9  ldr	x8, [x16]
0xfffffff0090b2f2c: e90310aa  mov	x9, x16
0xfffffff0090b2f30: e00313aa  mov	x0, x19
0xfffffff0090b2f34: f10309aa  mov	x17, x9
0xfffffff0090b2f38: d11bfdf2  movk	x17, #0xe8de, lsl #48
0xfffffff0090b2f3c: 11093fd7  blraa	x8, x17
0xfffffff0090b2f40: c8a24339  ldrb	w8, [x22, #0xe8]
0xfffffff0090b2f44: 1fa10071  cmp	w8, #0x28
0xfffffff0090b2f48: e8020054  b.hi	#0xfffffff0090b2fa4
0xfffffff0090b2f4c: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b2f50: e8010034  cbz	w8, #0xfffffff0090b2f8c
0xfffffff0090b2f54: 700240f9  ldr	x16, [x19]
0xfffffff0090b2f58: f10313aa  mov	x17, x19
0xfffffff0090b2f5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b2f60: 301ac1da  autda	x16, x17
0xfffffff0090b2f64: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b2f68: 1002118b  add	x16, x16, x17
0xfffffff0090b2f6c: 080240f9  ldr	x8, [x16]
0xfffffff0090b2f70: e90310aa  mov	x9, x16
0xfffffff0090b2f74: e00313aa  mov	x0, x19
0xfffffff0090b2f78: 010080d2  mov	x1, #0
