; Candidate 6177
; ADRP+ADD at VM 0xfffffff00881891c (fileoff 0x181491c): page=0x1fe9d1000 add_imm=0xe80

0xfffffff00881889c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff0088188a0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088188a4: 6a1e8152  mov	w10, #0x8f3
0xfffffff0088188a8: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff0088188ac: 08210091  add	x8, x8, #8
0xfffffff0088188b0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088188b4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088188b8: 880e8052  mov	w8, #0x74
0xfffffff0088188bc: 2050fff0  adrp	x0, #0xfffffff00721f000
0xfffffff0088188c0: 00a40291  add	x0, x0, #0xa9
0xfffffff0088188c4: f82300a9  stp	x24, x8, [sp]
0xfffffff0088188c8: e67ad697  bl	#0xfffffff007db7460
0xfffffff0088188cc: 9f000014  b	#0xfffffff008818b48
0xfffffff0088188d0: 376e0294  bl	#0xfffffff0088b41ac
0xfffffff0088188d4: f80300aa  mov	x24, x0
0xfffffff0088188d8: 80008052  mov	w0, #4
0xfffffff0088188dc: dd8b0194  bl	#0xfffffff00887b850
0xfffffff0088188e0: f5df04a9  stp	x21, x23, [sp, #0x48]
0xfffffff0088188e4: e80316aa  mov	x8, x22
0xfffffff0088188e8: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0088188ec: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff0088188f0: 085d0191  add	x8, x8, #0x57
0xfffffff0088188f4: 891d8152  mov	w9, #0x8ec
0xfffffff0088188f8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088188fc: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818900: 08210091  add	x8, x8, #8
0xfffffff008818904: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818908: 880e8052  mov	w8, #0x74
0xfffffff00881890c: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008818910: 63e03a91  add	x3, x3, #0xeb8
0xfffffff008818914: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008818918: f80300f9  str	x24, [sp]
0xfffffff00881891c: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008818920: 00003a91  add	x0, x0, #0xe80
0xfffffff008818924: 818fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008818928: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881892c: 02008052  mov	w2, #0
0xfffffff008818930: 006aec97  bl	#0xfffffff008333130
0xfffffff008818934: 187d8012  mov	w24, #-0x3e9
0xfffffff008818938: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00881893c: e10313aa  mov	x1, x19
0xfffffff008818940: 39eefe97  bl	#0xfffffff0087d4224
0xfffffff008818944: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff008818948: 68be4391  add	x8, x19, #0xef, lsl #12
0xfffffff00881894c: 19813191  add	x25, x8, #0xc60
0xfffffff008818950: e10319aa  mov	x1, x25
0xfffffff008818954: fce90194  bl	#0xfffffff008893144
0xfffffff008818958: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff00881895c: e10319aa  mov	x1, x25
0xfffffff008818960: cee10194  bl	#0xfffffff008891098
0xfffffff008818964: 800e8052  mov	w0, #0x74
0xfffffff008818968: c1008052  mov	w1, #6
0xfffffff00881896c: 998b0194  bl	#0xfffffff00887b7d0
0xfffffff008818970: 60050034  cbz	w0, #0xfffffff008818a1c
0xfffffff008818974: 800e8052  mov	w0, #0x74
0xfffffff008818978: a88b0194  bl	#0xfffffff00887b818
0xfffffff00881897c: fa0300aa  mov	x26, x0
0xfffffff008818980: 0b6e0294  bl	#0xfffffff0088b41ac
0xfffffff008818984: f90300aa  mov	x25, x0
0xfffffff008818988: c0008052  mov	w0, #6
0xfffffff00881898c: b18b0194  bl	#0xfffffff00887b850
0xfffffff008818990: da010034  cbz	w26, #0xfffffff0088189c8
0xfffffff008818994: e80318aa  mov	x8, x24
0xfffffff008818998: f72304a9  stp	x23, x8, [sp, #0x40]
