; Candidate 15104
; ADRP+ADD at VM 0xfffffff009aa1aa0 (fileoff 0x2a9daa0): page=0x1fe21d000 add_imm=0xd60

0xfffffff009aa1a20: 10c23e91  add	x16, x16, #0xfb0
0xfffffff009aa1a24: 10420091  add	x16, x16, #0x10
0xfffffff009aa1a28: f10300aa  mov	x17, x0
0xfffffff009aa1a2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009aa1a30: 300ac1da  pacda	x16, x17
0xfffffff009aa1a34: 100000f9  str	x16, [x0]
0xfffffff009aa1a38: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009aa1a3c: ff0f5fd6  retab	
0xfffffff009aa1a40: 5f2403d5  bti	c
0xfffffff009aa1a44: 5e2e0014  b	#0xfffffff009aad3bc
0xfffffff009aa1a48: 5f2403d5  bti	c
0xfffffff009aa1a4c: 5c2e0014  b	#0xfffffff009aad3bc
0xfffffff009aa1a50: 7f2303d5  pacibsp	
0xfffffff009aa1a54: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009aa1a58: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009aa1a5c: fd430091  add	x29, sp, #0x10
0xfffffff009aa1a60: f30300aa  mov	x19, x0
0xfffffff009aa1a64: 562e0094  bl	#0xfffffff009aad3bc
0xfffffff009aa1a68: e010ffb0  adrp	x0, #0xfffffff007cbe000
0xfffffff009aa1a6c: 00803591  add	x0, x0, #0xd60
0xfffffff009aa1a70: e10313aa  mov	x1, x19
0xfffffff009aa1a74: 021a8052  mov	w2, #0xd0
0xfffffff009aa1a78: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009aa1a7c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009aa1a80: ff2303d5  autibsp	
0xfffffff009aa1a84: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009aa1a88: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009aa1a90
0xfffffff009aa1a8c: 208e38d4  brk	#0xc471
0xfffffff009aa1a90: 0317a117  b	#0xfffffff0082e769c
0xfffffff009aa1a94: 5f2403d5  bti	c
0xfffffff009aa1a98: e20301aa  mov	x2, x1
0xfffffff009aa1a9c: e10300aa  mov	x1, x0
0xfffffff009aa1aa0: e010ffb0  adrp	x0, #0xfffffff007cbe000
0xfffffff009aa1aa4: 00803591  add	x0, x0, #0xd60
0xfffffff009aa1aa8: fd16a117  b	#0xfffffff0082e769c
0xfffffff009aa1aac: 5f2403d5  bti	c
0xfffffff009aa1ab0: a04800f0  adrp	x0, #0xfffffff00a3b8000
0xfffffff009aa1ab4: 00e02b91  add	x0, x0, #0xaf8
0xfffffff009aa1ab8: c0035fd6  ret	
0xfffffff009aa1abc: 7f2303d5  pacibsp	
0xfffffff009aa1ac0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009aa1ac4: fd030091  mov	x29, sp
0xfffffff009aa1ac8: 81dbfeb0  adrp	x1, #0xfffffff007612000
0xfffffff009aa1acc: 21a82791  add	x1, x1, #0x9ea
0xfffffff009aa1ad0: a24800f0  adrp	x2, #0xfffffff00a3b8000
0xfffffff009aa1ad4: 42c02d91  add	x2, x2, #0xb70
0xfffffff009aa1ad8: 031a8052  mov	w3, #0xd0
0xfffffff009aa1adc: 1708a197  bl	#0xfffffff0082e3b38
0xfffffff009aa1ae0: f010ff90  adrp	x16, #0xfffffff007cbd000
0xfffffff009aa1ae4: 10021791  add	x16, x16, #0x5c0
0xfffffff009aa1ae8: 10420091  add	x16, x16, #0x10
0xfffffff009aa1aec: f10300aa  mov	x17, x0
0xfffffff009aa1af0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009aa1af4: 300ac1da  pacda	x16, x17
0xfffffff009aa1af8: 100000f9  str	x16, [x0]
0xfffffff009aa1afc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009aa1b00: ff0f5fd6  retab	
0xfffffff009aa1b04: 7f2303d5  pacibsp	
0xfffffff009aa1b08: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009aa1b0c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009aa1b10: fd430091  add	x29, sp, #0x10
0xfffffff009aa1b14: e010ffb0  adrp	x0, #0xfffffff007cbe000
0xfffffff009aa1b18: 00803591  add	x0, x0, #0xd60
0xfffffff009aa1b1c: 011a8052  mov	w1, #0xd0
