; Candidate 11010
; ADRP+ADD at VM 0xfffffff008df0e24 (fileoff 0x1dece24): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df0da4: f96300a9  stp	x25, x24, [sp]
0xfffffff008df0da8: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff008df0dac: a02effb0  adrp	x0, #0xfffffff0073c5000
0xfffffff008df0db0: 00880091  add	x0, x0, #0x22
0xfffffff008df0db4: 9b98d597  bl	#0xfffffff008357020
0xfffffff008df0db8: e00314aa  mov	x0, x20
0xfffffff008df0dbc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008df0dc0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008df0dc4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008df0dc8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008df0dcc: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008df0dd0: ffc30191  add	sp, sp, #0x70
0xfffffff008df0dd4: ff0f5fd6  retab	
0xfffffff008df0dd8: 7f2303d5  pacibsp	
0xfffffff008df0ddc: ff8301d1  sub	sp, sp, #0x60
0xfffffff008df0de0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008df0de4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008df0de8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008df0dec: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008df0df0: fd430191  add	x29, sp, #0x50
0xfffffff008df0df4: f40302aa  mov	x20, x2
0xfffffff008df0df8: f50301aa  mov	x21, x1
0xfffffff008df0dfc: f30300aa  mov	x19, x0
0xfffffff008df0e00: 78a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008df0e04: 08476c39  ldrb	w8, [x24, #0xb11]
0xfffffff008df0e08: b62effb0  adrp	x22, #0xfffffff0073c5000
0xfffffff008df0e0c: d62a0191  add	x22, x22, #0x4a
0xfffffff008df0e10: b72eff90  adrp	x23, #0xfffffff0073c4000
0xfffffff008df0e14: f7ca3491  add	x23, x23, #0xd32
0xfffffff008df0e18: 1f290071  cmp	w8, #0xa
0xfffffff008df0e1c: a8000054  b.hi	#0xfffffff008df0e30
0xfffffff008df0e20: f75b00a9  stp	x23, x22, [sp]
0xfffffff008df0e24: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0e28: 00843491  add	x0, x0, #0xd21
0xfffffff008df0e2c: 7d98d597  bl	#0xfffffff008357020
0xfffffff008df0e30: 61a800f0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df0e34: 21c03091  add	x1, x1, #0xc30
0xfffffff008df0e38: 70ffffd0  adrp	x16, #0xfffffff008dde000
0xfffffff008df0e3c: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df0e40: 519081d2  mov	x17, #0xc82
0xfffffff008df0e44: 3002c1da  pacia	x16, x17
0xfffffff008df0e48: e00310aa  mov	x0, x16
0xfffffff008df0e4c: e20313aa  mov	x2, x19
0xfffffff008df0e50: 030080d2  mov	x3, #0
0xfffffff008df0e54: 040080d2  mov	x4, #0
0xfffffff008df0e58: 050080d2  mov	x5, #0
0xfffffff008df0e5c: e60315aa  mov	x6, x21
0xfffffff008df0e60: e70314aa  mov	x7, x20
0xfffffff008df0e64: 2bc8ff97  bl	#0xfffffff008de2f10
0xfffffff008df0e68: f40300aa  mov	x20, x0
0xfffffff008df0e6c: 1f000071  cmp	w0, #0
0xfffffff008df0e70: c8088052  mov	w8, #0x46
0xfffffff008df0e74: 49018052  mov	w9, #0xa
0xfffffff008df0e78: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df0e7c: 09476c39  ldrb	w9, [x24, #0xb11]
0xfffffff008df0e80: 1f01096b  cmp	w8, w9
0xfffffff008df0e84: e3000054  b.lo	#0xfffffff008df0ea0
0xfffffff008df0e88: 887e4093  sxtw	x8, w20
0xfffffff008df0e8c: f75b00a9  stp	x23, x22, [sp]
0xfffffff008df0e90: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff008df0e94: a02effb0  adrp	x0, #0xfffffff0073c5000
0xfffffff008df0e98: 00a00191  add	x0, x0, #0x68
0xfffffff008df0e9c: 6198d597  bl	#0xfffffff008357020
0xfffffff008df0ea0: e00314aa  mov	x0, x20
