; Candidate 534
; ADRP+ADD at VM 0xfffffff007f7785c (fileoff 0xf7385c): page=0x1ffa05000 add_imm=0xd70

0xfffffff007f777dc: ff0700f9  str	xzr, [sp, #8]
0xfffffff007f777e0: ff1f0039  strb	wzr, [sp, #7]
0xfffffff007f777e4: 688a4179  ldrh	w8, [x19, #0xc4]
0xfffffff007f777e8: 1fc10672  tst	w8, #0x4040404
0xfffffff007f777ec: a0010054  b.eq	#0xfffffff007f77820
0xfffffff007f777f0: 00008052  mov	w0, #0
0xfffffff007f777f4: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff007f777f8: 89120190  adrp	x9, #0xfffffff00a1c7000
0xfffffff007f777fc: 29010091  add	x9, x9, #0
0xfffffff007f77800: 290140f9  ldr	x9, [x9]
0xfffffff007f77804: 3f0108eb  cmp	x9, x8
0xfffffff007f77808: a10c0054  b.ne	#0xfffffff007f7799c
0xfffffff007f7780c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff007f77810: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff007f77814: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff007f77818: ff430291  add	sp, sp, #0x90
0xfffffff007f7781c: ff0f5fd6  retab	
0xfffffff007f77820: 68aa41b9  ldr	w8, [x19, #0x1a8]
0xfffffff007f77824: 1f090071  cmp	w8, #2
0xfffffff007f77828: 81000054  b.ne	#0xfffffff007f77838
0xfffffff007f7782c: 68ae41b9  ldr	w8, [x19, #0x1ac]
0xfffffff007f77830: 1f250071  cmp	w8, #9
0xfffffff007f77834: e0fdff54  b.eq	#0xfffffff007f777f0
0xfffffff007f77838: 68264339  ldrb	w8, [x19, #0xc9]
0xfffffff007f7783c: a8fd1736  tbz	w8, #2, #0xfffffff007f777f0
0xfffffff007f77840: a81101d0  adrp	x8, #0xfffffff00a1ad000
0xfffffff007f77844: 08816539  ldrb	w8, [x8, #0x960]
0xfffffff007f77848: 48fd0f36  tbz	w8, #1, #0xfffffff007f777f0
0xfffffff007f7784c: a1e300d1  sub	x1, x29, #0x38
0xfffffff007f77850: e00313aa  mov	x0, x19
0xfffffff007f77854: b57d0c94  bl	#0xfffffff008296f28
0xfffffff007f77858: c0fcff35  cbnz	w0, #0xfffffff007f777f0
0xfffffff007f7785c: 20d0ffb0  adrp	x0, #0xfffffff00797c000
0xfffffff007f77860: 00c03591  add	x0, x0, #0xd70
0xfffffff007f77864: 81008052  mov	w1, #4
0xfffffff007f77868: 9bbdf897  bl	#0xfffffff007da6ed4
0xfffffff007f7786c: f40300aa  mov	x20, x0
0xfffffff007f77870: a1e300d1  sub	x1, x29, #0x38
0xfffffff007f77874: e2330091  add	x2, sp, #0xc
0xfffffff007f77878: e31f0091  add	x3, sp, #7
0xfffffff007f7787c: e4230091  add	x4, sp, #8
0xfffffff007f77880: e00313aa  mov	x0, x19
0xfffffff007f77884: 4d000094  bl	#0xfffffff007f779b8
0xfffffff007f77888: 60000034  cbz	w0, #0xfffffff007f77894
0xfffffff007f7788c: 340500b5  cbnz	x20, #0xfffffff007f77930
0xfffffff007f77890: d8ffff17  b	#0xfffffff007f777f0
0xfffffff007f77894: 740800b4  cbz	x20, #0xfffffff007f779a0
0xfffffff007f77898: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff007f7789c: 890240f9  ldr	x9, [x20]
0xfffffff007f778a0: 881600f9  str	x8, [x20, #0x28]
0xfffffff007f778a4: e80b40b9  ldr	w8, [sp, #8]
0xfffffff007f778a8: 0a028052  mov	w10, #0x10
0xfffffff007f778ac: 0a04a072  movk	w10, #0x20, lsl #16
0xfffffff007f778b0: 29010aaa  orr	x9, x9, x10
0xfffffff007f778b4: 885600f9  str	x8, [x20, #0xa8]
0xfffffff007f778b8: e81f4039  ldrb	w8, [sp, #7]
0xfffffff007f778bc: 1f010071  cmp	w8, #0
0xfffffff007f778c0: 08088052  mov	w8, #0x40
0xfffffff007f778c4: 08159f9a  csinc	x8, x8, xzr, ne
0xfffffff007f778c8: 29016db2  orr	x9, x9, #0x80000
0xfffffff007f778cc: 890200f9  str	x9, [x20]
0xfffffff007f778d0: 884e00f9  str	x8, [x20, #0x98]
0xfffffff007f778d4: f6430091  add	x22, sp, #0x10
0xfffffff007f778d8: d5420091  add	x21, x22, #0x10
