; Candidate 1536
; ADRP+ADD at VM 0xfffffff00846ac14 (fileoff 0x1466c14): page=0x1fec3e000 add_imm=0xe78

0xfffffff00846ab94: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00846ab98: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00846ab9c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00846aba0: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00846aba4: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00846aba8: fd430291  add	x29, sp, #0x90
0xfffffff00846abac: e23300b9  str	w2, [sp, #0x30]
0xfffffff00846abb0: 412a00b4  cbz	x1, #0xfffffff00846b0f8
0xfffffff00846abb4: f40303aa  mov	x20, x3
0xfffffff00846abb8: 032a00b4  cbz	x3, #0xfffffff00846b0f8
0xfffffff00846abbc: f80304aa  mov	x24, x4
0xfffffff00846abc0: f60301aa  mov	x22, x1
0xfffffff00846abc4: f30300aa  mov	x19, x0
0xfffffff00846abc8: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff00846abcc: ff3700b9  str	wzr, [sp, #0x34]
0xfffffff00846abd0: e0e30091  add	x0, sp, #0x38
0xfffffff00846abd4: e1d30091  add	x1, sp, #0x34
0xfffffff00846abd8: 6c88e497  bl	#0xfffffff007d8cd88
0xfffffff00846abdc: f93740b9  ldr	w25, [sp, #0x34]
0xfffffff00846abe0: fb1f40f9  ldr	x27, [sp, #0x38]
0xfffffff00846abe4: 68e24c39  ldrb	w8, [x19, #0x338]
0xfffffff00846abe8: 68071036  tbz	w8, #2, #0xfffffff00846acd4
0xfffffff00846abec: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846abf0: 00b83991  add	x0, x0, #0xe6e
0xfffffff00846abf4: e10314aa  mov	x1, x20
0xfffffff00846abf8: acd2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846abfc: 60060034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac00: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac04: 00cc3991  add	x0, x0, #0xe73
0xfffffff00846ac08: e10314aa  mov	x1, x20
0xfffffff00846ac0c: a7d2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac10: c0050034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac14: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac18: 00e03991  add	x0, x0, #0xe78
0xfffffff00846ac1c: e10314aa  mov	x1, x20
0xfffffff00846ac20: a2d2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac24: 20050034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac28: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac2c: 00f43991  add	x0, x0, #0xe7d
0xfffffff00846ac30: e10314aa  mov	x1, x20
0xfffffff00846ac34: 9dd2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac38: 80040034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac3c: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac40: 001c3a91  add	x0, x0, #0xe87
0xfffffff00846ac44: e10314aa  mov	x1, x20
0xfffffff00846ac48: 98d2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac4c: e0030034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac50: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac54: 00383a91  add	x0, x0, #0xe8e
0xfffffff00846ac58: e10314aa  mov	x1, x20
0xfffffff00846ac5c: 93d2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac60: 40030034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac64: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac68: 005c3a91  add	x0, x0, #0xe97
0xfffffff00846ac6c: e10314aa  mov	x1, x20
0xfffffff00846ac70: 8ed2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac74: a0020034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac78: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac7c: 00703a91  add	x0, x0, #0xe9c
0xfffffff00846ac80: e10314aa  mov	x1, x20
0xfffffff00846ac84: 89d2e897  bl	#0xfffffff007e9f6a8
0xfffffff00846ac88: 00020034  cbz	w0, #0xfffffff00846acc8
0xfffffff00846ac8c: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846ac90: 00b03a91  add	x0, x0, #0xeac
