; Candidate 9038
; ADRP+ADD at VM 0xfffffff008999aa8 (fileoff 0x1995aa8): page=0x1ff09f000 add_imm=0xda0

0xfffffff008999a28: 089800b9  str	w8, [x0, #0x98]
0xfffffff008999a2c: 4847ffd0  adrp	x8, #0xfffffff007283000
0xfffffff008999a30: 08410691  add	x8, x8, #0x190
0xfffffff008999a34: 0001c03d  ldr	q0, [x8]
0xfffffff008999a38: 0080883c  stur	q0, [x0, #0x88]
0xfffffff008999a3c: 1fa000b9  str	wzr, [x0, #0xa0]
0xfffffff008999a40: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008999a44: ff0f5fd6  retab	
0xfffffff008999a48: 5f2403d5  bti	c
0xfffffff008999a4c: 3da9e717  b	#0xfffffff008383f40
0xfffffff008999a50: 5f2403d5  bti	c
0xfffffff008999a54: 3ba9e717  b	#0xfffffff008383f40
0xfffffff008999a58: 7f2303d5  pacibsp	
0xfffffff008999a5c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008999a60: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008999a64: fd430091  add	x29, sp, #0x10
0xfffffff008999a68: f30300aa  mov	x19, x0
0xfffffff008999a6c: 35a9e797  bl	#0xfffffff008383f40
0xfffffff008999a70: e084fff0  adrp	x0, #0xfffffff007a38000
0xfffffff008999a74: 00803691  add	x0, x0, #0xda0
0xfffffff008999a78: e10313aa  mov	x1, x19
0xfffffff008999a7c: 024d8252  mov	w2, #0x1268
0xfffffff008999a80: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008999a84: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008999a88: ff2303d5  autibsp	
0xfffffff008999a8c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008999a90: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008999a98
0xfffffff008999a94: 208e38d4  brk	#0xc471
0xfffffff008999a98: 0137e517  b	#0xfffffff0082e769c
0xfffffff008999a9c: 5f2403d5  bti	c
0xfffffff008999aa0: e20301aa  mov	x2, x1
0xfffffff008999aa4: e10300aa  mov	x1, x0
0xfffffff008999aa8: e084fff0  adrp	x0, #0xfffffff007a38000
0xfffffff008999aac: 00803691  add	x0, x0, #0xda0
0xfffffff008999ab0: fb36e517  b	#0xfffffff0082e769c
0xfffffff008999ab4: 5f2403d5  bti	c
0xfffffff008999ab8: 20ca0090  adrp	x0, #0xfffffff00a2dd000
0xfffffff008999abc: 00a00491  add	x0, x0, #0x128
0xfffffff008999ac0: c0035fd6  ret	
0xfffffff008999ac4: 7f2303d5  pacibsp	
0xfffffff008999ac8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008999acc: fd030091  mov	x29, sp
0xfffffff008999ad0: 6147ff90  adrp	x1, #0xfffffff007285000
0xfffffff008999ad4: 21cc0391  add	x1, x1, #0xf3
0xfffffff008999ad8: c284fff0  adrp	x2, #0xfffffff007a34000
0xfffffff008999adc: 428840f9  ldr	x2, [x2, #0x110]
0xfffffff008999ae0: 034d8252  mov	w3, #0x1268
0xfffffff008999ae4: 1528e597  bl	#0xfffffff0082e3b38
0xfffffff008999ae8: f084ffb0  adrp	x16, #0xfffffff007a36000
0xfffffff008999aec: 10021391  add	x16, x16, #0x4c0
0xfffffff008999af0: 10420091  add	x16, x16, #0x10
0xfffffff008999af4: f10300aa  mov	x17, x0
0xfffffff008999af8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008999afc: 300ac1da  pacda	x16, x17
0xfffffff008999b00: 100000f9  str	x16, [x0]
0xfffffff008999b04: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008999b08: ff0f5fd6  retab	
0xfffffff008999b0c: 7f2303d5  pacibsp	
0xfffffff008999b10: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008999b14: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008999b18: fd430091  add	x29, sp, #0x10
0xfffffff008999b1c: e084fff0  adrp	x0, #0xfffffff007a38000
0xfffffff008999b20: 00803691  add	x0, x0, #0xda0
0xfffffff008999b24: 014d8252  mov	w1, #0x1268
