; Candidate 7708
; ADRP+ADD at VM 0xfffffff00887a524 (fileoff 0x1876524): page=0x1fe96f000 add_imm=0xe80

0xfffffff00887a4a4: f72300a9  stp	x23, x8, [sp]
0xfffffff00887a4a8: 604bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887a4ac: 00003a91  add	x0, x0, #0xe80
0xfffffff00887a4b0: 618cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887a4b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887a4b8: 02008052  mov	w2, #0
0xfffffff00887a4bc: 1de3ea97  bl	#0xfffffff008333130
0xfffffff00887a4c0: 6d000014  b	#0xfffffff00887a674
0xfffffff00887a4c4: f903142a  mov	w25, w20
0xfffffff00887a4c8: 7a4a348b  add	x26, x19, w20, uxtw #2
0xfffffff00887a4cc: 38e70094  bl	#0xfffffff0088b41ac
0xfffffff00887a4d0: f80300aa  mov	x24, x0
0xfffffff00887a4d4: e0008052  mov	w0, #7
0xfffffff00887a4d8: de040094  bl	#0xfffffff00887b850
0xfffffff00887a4dc: 489341b9  ldr	w8, [x26, #0x190]
0xfffffff00887a4e0: e90316aa  mov	x9, x22
0xfffffff00887a4e4: 6a1240b9  ldr	w10, [x19, #0x10]
0xfffffff00887a4e8: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff00887a4ec: e90314aa  mov	x9, x20
0xfffffff00887a4f0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00887a4f4: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff00887a4f8: 28498052  mov	w8, #0x249
0xfffffff00887a4fc: 894dffb0  adrp	x9, #0xfffffff00722b000
0xfffffff00887a500: 290d2691  add	x9, x9, #0x983
0xfffffff00887a504: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887a508: 884dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff00887a50c: 08053c91  add	x8, x8, #0xf01
0xfffffff00887a510: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887a514: a80b8052  mov	w8, #0x5d
0xfffffff00887a518: 034fff90  adrp	x3, #0xfffffff00725a000
0xfffffff00887a51c: 639c1e91  add	x3, x3, #0x7a7
0xfffffff00887a520: f82300a9  stp	x24, x8, [sp]
0xfffffff00887a524: 604bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887a528: 00003a91  add	x0, x0, #0xe80
0xfffffff00887a52c: 618cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887a530: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887a534: 02008052  mov	w2, #0
0xfffffff00887a538: fee2ea97  bl	#0xfffffff008333130
0xfffffff00887a53c: 790a198b  add	x25, x19, x25, lsl #2
0xfffffff00887a540: 289381b9  ldrsw	x8, [x25, #0x190]
0xfffffff00887a544: 09058052  mov	w9, #0x28
0xfffffff00887a548: 084d099b  madd	x8, x8, x9, x19
0xfffffff00887a54c: 00410191  add	x0, x8, #0x50
0xfffffff00887a550: e10317aa  mov	x1, x23
0xfffffff00887a554: e20316aa  mov	x2, x22
0xfffffff00887a558: 03008052  mov	w3, #0
0xfffffff00887a55c: 5d6cfd97  bl	#0xfffffff0087d56d0
0xfffffff00887a560: c0040034  cbz	w0, #0xfffffff00887a5f8
0xfffffff00887a564: f80300aa  mov	x24, x0
0xfffffff00887a568: a00b8052  mov	w0, #0x5d
0xfffffff00887a56c: 81008052  mov	w1, #4
0xfffffff00887a570: 98040094  bl	#0xfffffff00887b7d0
0xfffffff00887a574: 200c0034  cbz	w0, #0xfffffff00887a6f8
0xfffffff00887a578: 3b430691  add	x27, x25, #0x190
0xfffffff00887a57c: a00b8052  mov	w0, #0x5d
0xfffffff00887a580: a6040094  bl	#0xfffffff00887b818
0xfffffff00887a584: fa0300aa  mov	x26, x0
0xfffffff00887a588: 09e70094  bl	#0xfffffff0088b41ac
0xfffffff00887a58c: f90300aa  mov	x25, x0
0xfffffff00887a590: 80008052  mov	w0, #4
0xfffffff00887a594: af040094  bl	#0xfffffff00887b850
0xfffffff00887a598: 3a070034  cbz	w26, #0xfffffff00887a67c
0xfffffff00887a59c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887a5a0: 690340b9  ldr	w9, [x27]
