; Candidate 11171
; ADRP+ADD at VM 0xfffffff008e88234 (fileoff 0x1e84234): page=0x1482000 add_imm=0xeb8

0xfffffff008e881b4: e00313aa  mov	x0, x19
0xfffffff008e881b8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e881bc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e881c0: ff0f5fd6  retab	
0xfffffff008e881c4: 5f2403d5  bti	c
0xfffffff008e881c8: e17cd117  b	#0xfffffff0082e754c
0xfffffff008e881cc: 5f2403d5  bti	c
0xfffffff008e881d0: df7cd117  b	#0xfffffff0082e754c
0xfffffff008e881d4: 7f2303d5  pacibsp	
0xfffffff008e881d8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e881dc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e881e0: fd430091  add	x29, sp, #0x10
0xfffffff008e881e4: f30300aa  mov	x19, x0
0xfffffff008e881e8: d97cd197  bl	#0xfffffff0082e754c
0xfffffff008e881ec: 2064ffd0  adrp	x0, #0xfffffff007b0e000
0xfffffff008e881f0: 00000291  add	x0, x0, #0x80
0xfffffff008e881f4: e10313aa  mov	x1, x19
0xfffffff008e881f8: 02ce8052  mov	w2, #0x670
0xfffffff008e881fc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e88200: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e88204: ff2303d5  autibsp	
0xfffffff008e88208: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e8820c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e88214
0xfffffff008e88210: 208e38d4  brk	#0xc471
0xfffffff008e88214: 227dd117  b	#0xfffffff0082e769c
0xfffffff008e88218: 5f2403d5  bti	c
0xfffffff008e8821c: e20301aa  mov	x2, x1
0xfffffff008e88220: e10300aa  mov	x1, x0
0xfffffff008e88224: 2064ffd0  adrp	x0, #0xfffffff007b0e000
0xfffffff008e88228: 00000291  add	x0, x0, #0x80
0xfffffff008e8822c: 1c7dd117  b	#0xfffffff0082e769c
0xfffffff008e88230: 5f2403d5  bti	c
0xfffffff008e88234: 00a400d0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e88238: 00e03a91  add	x0, x0, #0xeb8
0xfffffff008e8823c: c0035fd6  ret	
0xfffffff008e88240: 7f2303d5  pacibsp	
0xfffffff008e88244: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e88248: fd030091  mov	x29, sp
0xfffffff008e8824c: 812afff0  adrp	x1, #0xfffffff0073db000
0xfffffff008e88250: 21f40c91  add	x1, x1, #0x33d
0xfffffff008e88254: a263ffb0  adrp	x2, #0xfffffff007afd000
0xfffffff008e88258: 429c46f9  ldr	x2, [x2, #0xd38]
0xfffffff008e8825c: 03ce8052  mov	w3, #0x670
0xfffffff008e88260: 366ed197  bl	#0xfffffff0082e3b38
0xfffffff008e88264: f063ff90  adrp	x16, #0xfffffff007b04000
0xfffffff008e88268: 10a22391  add	x16, x16, #0x8e8
0xfffffff008e8826c: 10420091  add	x16, x16, #0x10
0xfffffff008e88270: f10300aa  mov	x17, x0
0xfffffff008e88274: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e88278: 300ac1da  pacda	x16, x17
0xfffffff008e8827c: 100000f9  str	x16, [x0]
0xfffffff008e88280: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e88284: ff0f5fd6  retab	
0xfffffff008e88288: 7f2303d5  pacibsp	
0xfffffff008e8828c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e88290: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e88294: fd430091  add	x29, sp, #0x10
0xfffffff008e88298: 2064ffd0  adrp	x0, #0xfffffff007b0e000
0xfffffff008e8829c: 00000291  add	x0, x0, #0x80
0xfffffff008e882a0: 01ce8052  mov	w1, #0x670
0xfffffff008e882a4: e57cd197  bl	#0xfffffff0082e7638
0xfffffff008e882a8: f30300aa  mov	x19, x0
0xfffffff008e882ac: 14a400d0  adrp	x20, #0xfffffff00a30a000
0xfffffff008e882b0: 94e23a91  add	x20, x20, #0xeb8
