; Candidate 4680
; ADRP+ADD at VM 0xfffffff0087c2470 (fileoff 0x17be470): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c23f0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c23f4: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c23f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c23fc: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2400: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2404: 02008052  mov	w2, #0
0xfffffff0087c2408: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c240c: 63602a91  add	x3, x3, #0xa98
0xfffffff0087c2410: 48c3ed97  bl	#0xfffffff008333130
0xfffffff0087c2414: 65010014  b	#0xfffffff0087c29a8
0xfffffff0087c2418: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087c241c: 094145b9  ldr	w9, [x8, #0x540]
0xfffffff0087c2420: eb5740b9  ldr	w11, [sp, #0x54]
0xfffffff0087c2424: 89030035  cbnz	w9, #0xfffffff0087c2494
0xfffffff0087c2428: 60030034  cbz	w0, #0xfffffff0087c2494
0xfffffff0087c242c: f4031baa  mov	x20, x27
0xfffffff0087c2430: 091943b9  ldr	w9, [x8, #0x318]
0xfffffff0087c2434: 081543b9  ldr	w8, [x8, #0x314]
0xfffffff0087c2438: 0201090b  add	w2, w8, w9
0xfffffff0087c243c: e00313aa  mov	x0, x19
0xfffffff0087c2440: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2444: 21b81e91  add	x1, x1, #0x7ae
0xfffffff0087c2448: e24b00b9  str	w2, [sp, #0x48]
0xfffffff0087c244c: 9de3ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c2450: fb0300aa  mov	x27, x0
0xfffffff0087c2454: 8000f837  tbnz	w0, #0x1f, #0xfffffff0087c2464
0xfffffff0087c2458: 686270b9  ldr	w8, [x19, #0x3060]
0xfffffff0087c245c: 7f03086b  cmp	w27, w8
0xfffffff0087c2460: 6d530054  b.le	#0xfffffff0087c2ecc
0xfffffff0087c2464: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2468: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c246c: e86f00a9  stp	x8, x27, [sp]
0xfffffff0087c2470: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2474: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2478: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c247c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2480: 02008052  mov	w2, #0
0xfffffff0087c2484: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2488: 632c2b91  add	x3, x3, #0xacb
0xfffffff0087c248c: 29c3ed97  bl	#0xfffffff008333130
0xfffffff0087c2490: 46010014  b	#0xfffffff0087c29a8
0xfffffff0087c2494: f4031baa  mov	x20, x27
0xfffffff0087c2498: 1b008052  mov	w27, #0
0xfffffff0087c249c: e0060051  sub	w0, w23, #1
0xfffffff0087c24a0: 686270b9  ldr	w8, [x19, #0x3060]
0xfffffff0087c24a4: 7f03086b  cmp	w27, w8
0xfffffff0087c24a8: 01040054  b.ne	#0xfffffff0087c2528
0xfffffff0087c24ac: 7f03006b  cmp	w27, w0
0xfffffff0087c24b0: ed160054  b.le	#0xfffffff0087c278c
0xfffffff0087c24b4: c8948752  mov	w8, #0x3ca6
0xfffffff0087c24b8: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c24bc: c8010036  tbz	w8, #0, #0xfffffff0087c24f4
0xfffffff0087c24c0: e80300aa  mov	x8, x0
0xfffffff0087c24c4: e8ef00a9  stp	x8, x27, [sp, #8]
0xfffffff0087c24c8: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c24cc: 085d1e91  add	x8, x8, #0x797
0xfffffff0087c24d0: e80300f9  str	x8, [sp]
0xfffffff0087c24d4: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c24d8: 00403691  add	x0, x0, #0xd90
0xfffffff0087c24dc: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c24e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c24e4: 02008052  mov	w2, #0
0xfffffff0087c24e8: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c24ec: 63f02d91  add	x3, x3, #0xb7c
