; Candidate 6144
; ADRP+ADD at VM 0xfffffff0088171d8 (fileoff 0x18131d8): page=0x1fe9d2000 add_imm=0xe80

0xfffffff008817158: c1008052  mov	w1, #6
0xfffffff00881715c: 9d910194  bl	#0xfffffff00887b7d0
0xfffffff008817160: c0040034  cbz	w0, #0xfffffff0088171f8
0xfffffff008817164: 800e8052  mov	w0, #0x74
0xfffffff008817168: ac910194  bl	#0xfffffff00887b818
0xfffffff00881716c: f60300aa  mov	x22, x0
0xfffffff008817170: 0f740294  bl	#0xfffffff0088b41ac
0xfffffff008817174: f50300aa  mov	x21, x0
0xfffffff008817178: c0008052  mov	w0, #6
0xfffffff00881717c: b5910194  bl	#0xfffffff00887b850
0xfffffff008817180: 76010034  cbz	w22, #0xfffffff0088171ac
0xfffffff008817184: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008817188: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff00881718c: 08cd3291  add	x8, x8, #0xcb3
0xfffffff008817190: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008817194: 880e8052  mov	w8, #0x74
0xfffffff008817198: f52300a9  stp	x21, x8, [sp]
0xfffffff00881719c: e04fffd0  adrp	x0, #0xfffffff007215000
0xfffffff0088171a0: 00a81591  add	x0, x0, #0x56a
0xfffffff0088171a4: af80d697  bl	#0xfffffff007db7460
0xfffffff0088171a8: 14000014  b	#0xfffffff0088171f8
0xfffffff0088171ac: 00740294  bl	#0xfffffff0088b41ac
0xfffffff0088171b0: f50300aa  mov	x21, x0
0xfffffff0088171b4: c0008052  mov	w0, #6
0xfffffff0088171b8: a6910194  bl	#0xfffffff00887b850
0xfffffff0088171bc: e80314aa  mov	x8, x20
0xfffffff0088171c0: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088171c4: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff0088171c8: 08cd3291  add	x8, x8, #0xcb3
0xfffffff0088171cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088171d0: 880e8052  mov	w8, #0x74
0xfffffff0088171d4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088171d8: 804effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088171dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088171e0: 818fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088171e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088171e8: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff0088171ec: 63642a91  add	x3, x3, #0xa99
0xfffffff0088171f0: 02008052  mov	w2, #0
0xfffffff0088171f4: cf6fec97  bl	#0xfffffff008333130
0xfffffff0088171f8: e00314aa  mov	x0, x20
0xfffffff0088171fc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008817200: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008817204: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008817208: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00881720c: ff030291  add	sp, sp, #0x80
0xfffffff008817210: ff0f5fd6  retab	
0xfffffff008817214: 7f2303d5  pacibsp	
0xfffffff008817218: ffc304d1  sub	sp, sp, #0x130
0xfffffff00881721c: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff008817220: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff008817224: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff008817228: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff00881722c: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff008817230: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff008817234: fd830491  add	x29, sp, #0x120
0xfffffff008817238: fa0307aa  mov	x26, x7
0xfffffff00881723c: f90306aa  mov	x25, x6
0xfffffff008817240: f80305aa  mov	x24, x5
0xfffffff008817244: f70304aa  mov	x23, x4
0xfffffff008817248: f60303aa  mov	x22, x3
0xfffffff00881724c: f50302aa  mov	x21, x2
0xfffffff008817250: f40301aa  mov	x20, x1
0xfffffff008817254: f30300aa  mov	x19, x0
