; Candidate 10965
; ADRP+ADD at VM 0xfffffff008def6a8 (fileoff 0x1deb6a8): page=0x1fe5d5000 add_imm=0xd21

0xfffffff008def628: 00040000  udf	#0x400
0xfffffff008def62c: 40040000  udf	#0x440
0xfffffff008def630: 0c000000  udf	#0xc
0xfffffff008def634: 0c000000  udf	#0xc
0xfffffff008def638: 80040000  udf	#0x480
0xfffffff008def63c: cc040000  udf	#0x4cc
0xfffffff008def640: 18050000  udf	#0x518
0xfffffff008def644: 0c000000  udf	#0xc
0xfffffff008def648: 0c000000  udf	#0xc
0xfffffff008def64c: b8040000  udf	#0x4b8
0xfffffff008def650: 04050000  udf	#0x504
0xfffffff008def654: 44050000  udf	#0x544
0xfffffff008def658: c8050000  udf	#0x5c8
0xfffffff008def65c: 7f2303d5  pacibsp	
0xfffffff008def660: ffc301d1  sub	sp, sp, #0x70
0xfffffff008def664: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008def668: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008def66c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008def670: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008def674: fd830191  add	x29, sp, #0x60
0xfffffff008def678: f30301aa  mov	x19, x1
0xfffffff008def67c: f40300aa  mov	x20, x0
0xfffffff008def680: 97a80090  adrp	x23, #0xfffffff00a2ff000
0xfffffff008def684: f7422c91  add	x23, x23, #0xb10
0xfffffff008def688: e8024039  ldrb	w8, [x23]
0xfffffff008def68c: b52effb0  adrp	x21, #0xfffffff0073c4000
0xfffffff008def690: b59a3291  add	x21, x21, #0xca6
0xfffffff008def694: 962effd0  adrp	x22, #0xfffffff0073c1000
0xfffffff008def698: d69e0c91  add	x22, x22, #0x327
0xfffffff008def69c: 1f290071  cmp	w8, #0xa
0xfffffff008def6a0: a8000054  b.hi	#0xfffffff008def6b4
0xfffffff008def6a4: f65700a9  stp	x22, x21, [sp]
0xfffffff008def6a8: a02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008def6ac: 00843491  add	x0, x0, #0xd21
0xfffffff008def6b0: 5c9ed597  bl	#0xfffffff008357020
0xfffffff008def6b4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008def6b8: e2a30091  add	x2, sp, #0x28
0xfffffff008def6bc: e00314aa  mov	x0, x20
0xfffffff008def6c0: e10313aa  mov	x1, x19
0xfffffff008def6c4: defdff97  bl	#0xfffffff008deee3c
0xfffffff008def6c8: e0010035  cbnz	w0, #0xfffffff008def704
0xfffffff008def6cc: e8024039  ldrb	w8, [x23]
0xfffffff008def6d0: 1f290071  cmp	w8, #0xa
0xfffffff008def6d4: a8000054  b.hi	#0xfffffff008def6e8
0xfffffff008def6d8: f65700a9  stp	x22, x21, [sp]
0xfffffff008def6dc: a02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008def6e0: 00343f91  add	x0, x0, #0xfcd
0xfffffff008def6e4: 4f9ed597  bl	#0xfffffff008357020
0xfffffff008def6e8: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff008def6ec: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008def6f0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008def6f4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008def6f8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008def6fc: ffc30191  add	sp, sp, #0x70
0xfffffff008def700: ff0f5fd6  retab	
0xfffffff008def704: 087c4093  sxtw	x8, w0
0xfffffff008def708: a93b8052  mov	w9, #0x1dd
0xfffffff008def70c: aa2eff90  adrp	x10, #0xfffffff0073c3000
0xfffffff008def710: 4ae53591  add	x10, x10, #0xd79
0xfffffff008def714: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008def718: a92effb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008def71c: 29493991  add	x9, x9, #0xe52
0xfffffff008def720: ab2effb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008def724: 6bf13a91  add	x11, x11, #0xebc
