; Candidate 7818
; ADRP+ADD at VM 0xfffffff0088816a4 (fileoff 0x187d6a4): page=0x1fe9ab000 add_imm=0xd52

0xfffffff008881624: f90300f9  str	x25, [sp]
0xfffffff008881628: 404bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888162c: 00003a91  add	x0, x0, #0xe80
0xfffffff008881630: 218cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008881634: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008881638: 02008052  mov	w2, #0
0xfffffff00888163c: bdc6ea97  bl	#0xfffffff008333130
0xfffffff008881640: 197d8012  mov	w25, #-0x3e9
0xfffffff008881644: 7f0200f9  str	xzr, [x19]
0xfffffff008881648: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff00888164c: 800b8052  mov	w0, #0x5c
0xfffffff008881650: c1008052  mov	w1, #6
0xfffffff008881654: 5fe8ff97  bl	#0xfffffff00887b7d0
0xfffffff008881658: 00060034  cbz	w0, #0xfffffff008881718
0xfffffff00888165c: 800b8052  mov	w0, #0x5c
0xfffffff008881660: 6ee8ff97  bl	#0xfffffff00887b818
0xfffffff008881664: fb0300aa  mov	x27, x0
0xfffffff008881668: d1ca0094  bl	#0xfffffff0088b41ac
0xfffffff00888166c: fa0300aa  mov	x26, x0
0xfffffff008881670: c0008052  mov	w0, #6
0xfffffff008881674: 77e8ff97  bl	#0xfffffff00887b850
0xfffffff008881678: 1b020034  cbz	w27, #0xfffffff0088816b8
0xfffffff00888167c: f86705a9  stp	x24, x25, [sp, #0x50]
0xfffffff008881680: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff008881684: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008881688: 884cff90  adrp	x8, #0xfffffff007211000
0xfffffff00888168c: 08892c91  add	x8, x8, #0xb22
0xfffffff008881690: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008881694: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881698: 08fd0891  add	x8, x8, #0x23f
0xfffffff00888169c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088816a0: 880b8052  mov	w8, #0x5c
0xfffffff0088816a4: 404dfff0  adrp	x0, #0xfffffff00722c000
0xfffffff0088816a8: 00483591  add	x0, x0, #0xd52
0xfffffff0088816ac: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088816b0: 6cd7d497  bl	#0xfffffff007db7460
0xfffffff0088816b4: 19000014  b	#0xfffffff008881718
0xfffffff0088816b8: bdca0094  bl	#0xfffffff0088b41ac
0xfffffff0088816bc: fa0300aa  mov	x26, x0
0xfffffff0088816c0: c0008052  mov	w0, #6
0xfffffff0088816c4: 63e8ff97  bl	#0xfffffff00887b850
0xfffffff0088816c8: e80319aa  mov	x8, x25
0xfffffff0088816cc: f82305a9  stp	x24, x8, [sp, #0x50]
0xfffffff0088816d0: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff0088816d4: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0088816d8: 884cff90  adrp	x8, #0xfffffff007211000
0xfffffff0088816dc: 08892c91  add	x8, x8, #0xb22
0xfffffff0088816e0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088816e4: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff0088816e8: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088816ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088816f0: 880b8052  mov	w8, #0x5c
0xfffffff0088816f4: c34effd0  adrp	x3, #0xfffffff00725b000
0xfffffff0088816f8: 63302c91  add	x3, x3, #0xb0c
0xfffffff0088816fc: fa2300a9  stp	x26, x8, [sp]
0xfffffff008881700: 404bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008881704: 00003a91  add	x0, x0, #0xe80
0xfffffff008881708: 218cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888170c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008881710: 02008052  mov	w2, #0
0xfffffff008881714: 87c6ea97  bl	#0xfffffff008333130
0xfffffff008881718: e00319aa  mov	x0, x25
0xfffffff00888171c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008881720: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
