; Candidate 4525
; ADRP+ADD at VM 0xfffffff0087b9714 (fileoff 0x17b5714): page=0x1fe978000 add_imm=0xd90

0xfffffff0087b9694: 21880791  add	x1, x1, #0x1e2
0xfffffff0087b9698: e00313aa  mov	x0, x19
0xfffffff0087b969c: 42008052  mov	w2, #2
0xfffffff0087b96a0: 08070094  bl	#0xfffffff0087bb2c0
0xfffffff0087b96a4: 004700b9  str	w0, [x24, #0x44]
0xfffffff0087b96a8: 1f100071  cmp	w0, #4
0xfffffff0087b96ac: 43070054  b.lo	#0xfffffff0087b9794
0xfffffff0087b96b0: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b96b4: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b96b8: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b96bc: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b96c0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b96c4: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b96c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b96cc: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b96d0: 63a03091  add	x3, x3, #0xc28
0xfffffff0087b96d4: 02008052  mov	w2, #0
0xfffffff0087b96d8: 96e6ed97  bl	#0xfffffff008333130
0xfffffff0087b96dc: 40ffff17  b	#0xfffffff0087b93dc
0xfffffff0087b96e0: a14cfff0  adrp	x1, #0xfffffff007150000
0xfffffff0087b96e4: 21300791  add	x1, x1, #0x1cc
0xfffffff0087b96e8: e00313aa  mov	x0, x19
0xfffffff0087b96ec: 62008052  mov	w2, #3
0xfffffff0087b96f0: f4060094  bl	#0xfffffff0087bb2c0
0xfffffff0087b96f4: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087b96f8: 20211a39  strb	w0, [x9, #0x688]
0xfffffff0087b96fc: 081c0012  and	w8, w0, #0xff
0xfffffff0087b9700: 1f101d72  tst	w0, #0xf8
0xfffffff0087b9704: 800f0054  b.eq	#0xfffffff0087b98f4
0xfffffff0087b9708: a94cfff0  adrp	x9, #0xfffffff007150000
0xfffffff0087b970c: 29f90591  add	x9, x9, #0x17e
0xfffffff0087b9710: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b9714: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9718: 00403691  add	x0, x0, #0xd90
0xfffffff0087b971c: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b9720: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9724: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9728: 630c2d91  add	x3, x3, #0xb43
0xfffffff0087b972c: 02008052  mov	w2, #0
0xfffffff0087b9730: 80e6ed97  bl	#0xfffffff008333130
0xfffffff0087b9734: 2affff17  b	#0xfffffff0087b93dc
0xfffffff0087b9738: 1ffc0371  cmp	w0, #0xff
0xfffffff0087b973c: 00e5ff54  b.eq	#0xfffffff0087b93dc
0xfffffff0087b9740: ad000014  b	#0xfffffff0087b99f4
0xfffffff0087b9744: a14cfff0  adrp	x1, #0xfffffff007150000
0xfffffff0087b9748: 21b00891  add	x1, x1, #0x22c
0xfffffff0087b974c: e00313aa  mov	x0, x19
0xfffffff0087b9750: 02018052  mov	w2, #8
0xfffffff0087b9754: db060094  bl	#0xfffffff0087bb2c0
0xfffffff0087b9758: 006b00b9  str	w0, [x24, #0x68]
0xfffffff0087b975c: 1f000471  cmp	w0, #0x100
0xfffffff0087b9760: a3140054  b.lo	#0xfffffff0087b99f4
0xfffffff0087b9764: a84cfff0  adrp	x8, #0xfffffff007150000
0xfffffff0087b9768: 08f90591  add	x8, x8, #0x17e
0xfffffff0087b976c: e80300a9  stp	x8, x0, [sp]
0xfffffff0087b9770: c04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087b9774: 00403691  add	x0, x0, #0xd90
0xfffffff0087b9778: 2192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b977c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b9780: 834cfff0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b9784: 63e83591  add	x3, x3, #0xd7a
0xfffffff0087b9788: 02008052  mov	w2, #0
0xfffffff0087b978c: 69e6ed97  bl	#0xfffffff008333130
0xfffffff0087b9790: 13ffff17  b	#0xfffffff0087b93dc
