; Candidate 7827
; ADRP+ADD at VM 0xfffffff008881ca8 (fileoff 0x187dca8): page=0x1fe9ab000 add_imm=0xebb

0xfffffff008881c28: 050080d2  mov	x5, #0
0xfffffff008881c2c: b6f0e397  bl	#0xfffffff00817df04
0xfffffff008881c30: 78040034  cbz	w24, #0xfffffff008881cbc
0xfffffff008881c34: 800b8052  mov	w0, #0x5c
0xfffffff008881c38: 81008052  mov	w1, #4
0xfffffff008881c3c: e5e6ff97  bl	#0xfffffff00887b7d0
0xfffffff008881c40: c01c0034  cbz	w0, #0xfffffff008881fd8
0xfffffff008881c44: 800b8052  mov	w0, #0x5c
0xfffffff008881c48: f4e6ff97  bl	#0xfffffff00887b818
0xfffffff008881c4c: f90300aa  mov	x25, x0
0xfffffff008881c50: 57c90094  bl	#0xfffffff0088b41ac
0xfffffff008881c54: f60300aa  mov	x22, x0
0xfffffff008881c58: 80008052  mov	w0, #4
0xfffffff008881c5c: fde6ff97  bl	#0xfffffff00887b850
0xfffffff008881c60: 19180034  cbz	w25, #0xfffffff008881f60
0xfffffff008881c64: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008881c68: f7e305a9  stp	x23, x24, [sp, #0x58]
0xfffffff008881c6c: e90315aa  mov	x9, x21
0xfffffff008881c70: e92b00f9  str	x9, [sp, #0x50]
0xfffffff008881c74: e90314aa  mov	x9, x20
0xfffffff008881c78: 6a4cfff0  adrp	x10, #0xfffffff007210000
0xfffffff008881c7c: 4a553791  add	x10, x10, #0xdd5
0xfffffff008881c80: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008881c84: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008881c88: 082e8052  mov	w8, #0x170
0xfffffff008881c8c: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881c90: 29491c91  add	x9, x9, #0x712
0xfffffff008881c94: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008881c98: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881c9c: 08fd0891  add	x8, x8, #0x23f
0xfffffff008881ca0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008881ca4: 880b8052  mov	w8, #0x5c
0xfffffff008881ca8: 404dfff0  adrp	x0, #0xfffffff00722c000
0xfffffff008881cac: 00ec3a91  add	x0, x0, #0xebb
0xfffffff008881cb0: f62300a9  stp	x22, x8, [sp]
0xfffffff008881cb4: ebd5d497  bl	#0xfffffff007db7460
0xfffffff008881cb8: c8000014  b	#0xfffffff008881fd8
0xfffffff008881cbc: 800b8052  mov	w0, #0x5c
0xfffffff008881cc0: c1008052  mov	w1, #6
0xfffffff008881cc4: c3e6ff97  bl	#0xfffffff00887b7d0
0xfffffff008881cc8: 60140034  cbz	w0, #0xfffffff008881f54
0xfffffff008881ccc: 800b8052  mov	w0, #0x5c
0xfffffff008881cd0: d2e6ff97  bl	#0xfffffff00887b818
0xfffffff008881cd4: f80300aa  mov	x24, x0
0xfffffff008881cd8: 35c90094  bl	#0xfffffff0088b41ac
0xfffffff008881cdc: f70300aa  mov	x23, x0
0xfffffff008881ce0: c0008052  mov	w0, #6
0xfffffff008881ce4: dbe6ff97  bl	#0xfffffff00887b850
0xfffffff008881ce8: 580f0034  cbz	w24, #0xfffffff008881ed0
0xfffffff008881cec: 488cfff0  adrp	x8, #0xfffffff007a0c000
0xfffffff008881cf0: 08811f91  add	x8, x8, #0x7e0
0xfffffff008881cf4: 087976f8  ldr	x8, [x8, x22, lsl #3]
0xfffffff008881cf8: 498cfff0  adrp	x9, #0xfffffff007a0c000
0xfffffff008881cfc: 29e12091  add	x9, x9, #0x838
0xfffffff008881d00: 2a5975f8  ldr	x10, [x9, w21, uxtw #3]
0xfffffff008881d04: 4b0340b9  ldr	w11, [x26]
0xfffffff008881d08: 29796bf8  ldr	x9, [x9, x11, lsl #3]
0xfffffff008881d0c: 6b1a40b9  ldr	w11, [x19, #0x18]
0xfffffff008881d10: eaa704a9  stp	x10, x9, [sp, #0x48]
0xfffffff008881d14: eba303a9  stp	x11, x8, [sp, #0x38]
0xfffffff008881d18: 882e8052  mov	w8, #0x174
0xfffffff008881d1c: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881d20: 29491c91  add	x9, x9, #0x712
0xfffffff008881d24: e8cf02a9  stp	x8, x19, [sp, #0x28]
