; Candidate 3220
; ADRP+ADD at VM 0xfffffff00871d890 (fileoff 0x1719890): page=0x1ff2e9000 add_imm=0xcf8

0xfffffff00871d810: 5f3d0072  tst	w10, #0xffff
0xfffffff00871d814: e0079f1a  cset	w0, ne
0xfffffff00871d818: 12000014  b	#0xfffffff00871d860
0xfffffff00871d81c: c851ff90  adrp	x8, #0xfffffff007155000
0xfffffff00871d820: 08253791  add	x8, x8, #0xdc9
0xfffffff00871d824: ff3702a9  stp	xzr, x13, [sp, #0x20]
0xfffffff00871d828: e84301a9  stp	x8, x16, [sp, #0x10]
0xfffffff00871d82c: c8bf8052  mov	w8, #0x5fe
0xfffffff00871d830: c951ff90  adrp	x9, #0xfffffff007155000
0xfffffff00871d834: 29b93691  add	x9, x9, #0xdae
0xfffffff00871d838: e92300a9  stp	x9, x8, [sp]
0xfffffff00871d83c: a050ff90  adrp	x0, #0xfffffff007131000
0xfffffff00871d840: 00403691  add	x0, x0, #0xd90
0xfffffff00871d844: 0197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00871d848: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871d84c: e350ff90  adrp	x3, #0xfffffff007139000
0xfffffff00871d850: 63e01691  add	x3, x3, #0x5b8
0xfffffff00871d854: 02008052  mov	w2, #0
0xfffffff00871d858: 3656f097  bl	#0xfffffff008333130
0xfffffff00871d85c: 00008052  mov	w0, #0
0xfffffff00871d860: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00871d864: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00871d868: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00871d86c: ff830191  add	sp, sp, #0x60
0xfffffff00871d870: ff0f5fd6  retab	
0xfffffff00871d874: 7f2303d5  pacibsp	
0xfffffff00871d878: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00871d87c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00871d880: fd430091  add	x29, sp, #0x10
0xfffffff00871d884: 33b048f9  ldr	x19, [x1, #0x1160]
0xfffffff00871d888: 68365e79  ldrh	w8, [x19, #0xf1a]
0xfffffff00871d88c: 01f17dd3  lsl	x1, x8, #3
0xfffffff00871d890: 4097ffb0  adrp	x0, #0xfffffff007a06000
0xfffffff00871d894: 00e03391  add	x0, x0, #0xcf8
0xfffffff00871d898: 4ee5f097  bl	#0xfffffff008356dd0
0xfffffff00871d89c: 609207f9  str	x0, [x19, #0xf20]
0xfffffff00871d8a0: a00600b4  cbz	x0, #0xfffffff00871d974
0xfffffff00871d8a4: 68365e79  ldrh	w8, [x19, #0xf1a]
0xfffffff00871d8a8: 08020034  cbz	w8, #0xfffffff00871d8e8
0xfffffff00871d8ac: 140080d2  mov	x20, #0
0xfffffff00871d8b0: 007d7fd3  ubfiz	x0, x8, #1, #0x20
0xfffffff00871d8b4: 0de5f097  bl	#0xfffffff008356ce8
0xfffffff00871d8b8: 689247f9  ldr	x8, [x19, #0xf20]
0xfffffff00871d8bc: 007934f8  str	x0, [x8, x20, lsl #3]
0xfffffff00871d8c0: 689247f9  ldr	x8, [x19, #0xf20]
0xfffffff00871d8c4: 087974f8  ldr	x8, [x8, x20, lsl #3]
0xfffffff00871d8c8: e80300b4  cbz	x8, #0xfffffff00871d944
0xfffffff00871d8cc: 94060091  add	x20, x20, #1
0xfffffff00871d8d0: 69365e79  ldrh	w9, [x19, #0xf1a]
0xfffffff00871d8d4: e80309aa  mov	x8, x9
0xfffffff00871d8d8: 9f0209eb  cmp	x20, x9
0xfffffff00871d8dc: a3feff54  b.lo	#0xfffffff00871d8b0
0xfffffff00871d8e0: 21f17dd3  lsl	x1, x9, #3
0xfffffff00871d8e4: 02000014  b	#0xfffffff00871d8ec
0xfffffff00871d8e8: 010080d2  mov	x1, #0
0xfffffff00871d8ec: 4097ffb0  adrp	x0, #0xfffffff007a06000
0xfffffff00871d8f0: 00203591  add	x0, x0, #0xd48
0xfffffff00871d8f4: 37e5f097  bl	#0xfffffff008356dd0
0xfffffff00871d8f8: 609a07f9  str	x0, [x19, #0xf30]
0xfffffff00871d8fc: c00300b4  cbz	x0, #0xfffffff00871d974
0xfffffff00871d900: 68365e79  ldrh	w8, [x19, #0xf1a]
0xfffffff00871d904: 48020034  cbz	w8, #0xfffffff00871d94c
0xfffffff00871d908: 140080d2  mov	x20, #0
0xfffffff00871d90c: 007d7fd3  ubfiz	x0, x8, #1, #0x20
