; Candidate 13342
; ADRP+ADD at VM 0xfffffff0092a9c88 (fileoff 0x22a5c88): page=0x10d4000 add_imm=0xe10

0xfffffff0092a9c08: 68720039  strb	w8, [x19, #0x1c]
0xfffffff0092a9c0c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0092a9c10: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0092a9c14: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0092a9c18: ff0f5fd6  retab	
0xfffffff0092a9c1c: e10315aa  mov	x1, x21
0xfffffff0092a9c20: 21b4f9f2  movk	x1, #0xcda1, lsl #48
0xfffffff0092a9c24: e00315aa  mov	x0, x21
0xfffffff0092a9c28: f1010094  bl	#0xfffffff0092aa3ec
0xfffffff0092a9c2c: 5f2403d5  bti	c
0xfffffff0092a9c30: b1eac017  b	#0xfffffff0082e46f4
0xfffffff0092a9c34: 7f2303d5  pacibsp	
0xfffffff0092a9c38: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092a9c3c: fd030091  mov	x29, sp
0xfffffff0092a9c40: a0860090  adrp	x0, #0xfffffff00a37d000
0xfffffff0092a9c44: 00403891  add	x0, x0, #0xe10
0xfffffff0092a9c48: e110ffb0  adrp	x1, #0xfffffff0074c6000
0xfffffff0092a9c4c: 21a02591  add	x1, x1, #0x968
0xfffffff0092a9c50: a247ffd0  adrp	x2, #0xfffffff007b9f000
0xfffffff0092a9c54: 42d845f9  ldr	x2, [x2, #0xbb0]
0xfffffff0092a9c58: 031b8052  mov	w3, #0xd8
0xfffffff0092a9c5c: b7e7c097  bl	#0xfffffff0082e3b38
0xfffffff0092a9c60: b047fff0  adrp	x16, #0xfffffff007ba0000
0xfffffff0092a9c64: 10220691  add	x16, x16, #0x188
0xfffffff0092a9c68: 10420091  add	x16, x16, #0x10
0xfffffff0092a9c6c: f10300aa  mov	x17, x0
0xfffffff0092a9c70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092a9c74: 300ac1da  pacda	x16, x17
0xfffffff0092a9c78: 100000f9  str	x16, [x0]
0xfffffff0092a9c7c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092a9c80: ff0f5fd6  retab	
0xfffffff0092a9c84: 5f2403d5  bti	c
0xfffffff0092a9c88: a0860090  adrp	x0, #0xfffffff00a37d000
0xfffffff0092a9c8c: 00403891  add	x0, x0, #0xe10
0xfffffff0092a9c90: 99eac017  b	#0xfffffff0082e46f4
0xfffffff0092a9c94: 7f2303d5  pacibsp	
0xfffffff0092a9c98: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092a9c9c: fd030091  mov	x29, sp
0xfffffff0092a9ca0: e110ffb0  adrp	x1, #0xfffffff0074c6000
0xfffffff0092a9ca4: 21943491  add	x1, x1, #0xd25
0xfffffff0092a9ca8: a2860090  adrp	x2, #0xfffffff00a37d000
0xfffffff0092a9cac: 42403891  add	x2, x2, #0xe10
0xfffffff0092a9cb0: 031b8052  mov	w3, #0xd8
0xfffffff0092a9cb4: a1e7c097  bl	#0xfffffff0082e3b38
0xfffffff0092a9cb8: b047fff0  adrp	x16, #0xfffffff007ba0000
0xfffffff0092a9cbc: 10821e91  add	x16, x16, #0x7a0
0xfffffff0092a9cc0: 10420091  add	x16, x16, #0x10
0xfffffff0092a9cc4: f10300aa  mov	x17, x0
0xfffffff0092a9cc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092a9ccc: 300ac1da  pacda	x16, x17
0xfffffff0092a9cd0: 100000f9  str	x16, [x0]
0xfffffff0092a9cd4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092a9cd8: ff0f5fd6  retab	
0xfffffff0092a9cdc: 5f2403d5  bti	c
0xfffffff0092a9ce0: 85eac017  b	#0xfffffff0082e46f4
0xfffffff0092a9ce4: 7f2303d5  pacibsp	
0xfffffff0092a9ce8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092a9cec: fd030091  mov	x29, sp
0xfffffff0092a9cf0: 2cfcff97  bl	#0xfffffff0092a8da0
0xfffffff0092a9cf4: b047fff0  adrp	x16, #0xfffffff007ba0000
0xfffffff0092a9cf8: 10820891  add	x16, x16, #0x220
0xfffffff0092a9cfc: 10420091  add	x16, x16, #0x10
0xfffffff0092a9d00: f10300aa  mov	x17, x0
0xfffffff0092a9d04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
