; Candidate 14425
; ADRP+ADD at VM 0xfffffff009780f10 (fileoff 0x277cf10): page=0x1fde1a000 add_imm=0xe2a

0xfffffff009780e90: e90310aa  mov	x9, x16
0xfffffff009780e94: 010080d2  mov	x1, #0
0xfffffff009780e98: f10309aa  mov	x17, x9
0xfffffff009780e9c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009780ea0: 11093fd7  blraa	x8, x17
0xfffffff009780ea4: e803142a  mov	w8, w20
0xfffffff009780ea8: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff009780eac: e803132a  mov	w8, w19
0xfffffff009780eb0: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff009780eb4: e05b00a9  stp	x0, x22, [sp]
0xfffffff009780eb8: c0f0fef0  adrp	x0, #0xfffffff00759b000
0xfffffff009780ebc: 00f40b91  add	x0, x0, #0x2fd
0xfffffff009780ec0: 5858af97  bl	#0xfffffff008357020
0xfffffff009780ec4: e00315aa  mov	x0, x21
0xfffffff009780ec8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009780ecc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009780ed0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009780ed4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009780ed8: ffc30191  add	sp, sp, #0x70
0xfffffff009780edc: ff0f5fd6  retab	
0xfffffff009780ee0: 5f2403d5  bti	c
0xfffffff009780ee4: 048ead17  b	#0xfffffff0082e46f4
0xfffffff009780ee8: 5f2403d5  bti	c
0xfffffff009780eec: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff009780ef0: c0035fd6  ret	
0xfffffff009780ef4: 5f2403d5  bti	c
0xfffffff009780ef8: e0588052  mov	w0, #0x2c7
0xfffffff009780efc: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009780f00: c0035fd6  ret	
0xfffffff009780f04: 7f2303d5  pacibsp	
0xfffffff009780f08: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009780f0c: fd030091  mov	x29, sp
0xfffffff009780f10: c0f0fed0  adrp	x0, #0xfffffff00759a000
0xfffffff009780f14: 00a83891  add	x0, x0, #0xe2a
0xfffffff009780f18: 1ea1ae97  bl	#0xfffffff008329390
0xfffffff009780f1c: 68600090  adrp	x8, #0xfffffff00a38c000
0xfffffff009780f20: 00c901f9  str	x0, [x8, #0x390]
0xfffffff009780f24: 60600090  adrp	x0, #0xfffffff00a38c000
0xfffffff009780f28: 00a00091  add	x0, x0, #0x28
0xfffffff009780f2c: c1f0fed0  adrp	x1, #0xfffffff00759a000
0xfffffff009780f30: 21543991  add	x1, x1, #0xe55
0xfffffff009780f34: 426000f0  adrp	x2, #0xfffffff00a38b000
0xfffffff009780f38: 42400c91  add	x2, x2, #0x310
0xfffffff009780f3c: 03c48152  mov	w3, #0xe20
0xfffffff009780f40: fe8aad97  bl	#0xfffffff0082e3b38
0xfffffff009780f44: d025ffd0  adrp	x16, #0xfffffff007c3a000
0xfffffff009780f48: 10e20491  add	x16, x16, #0x138
0xfffffff009780f4c: 10420091  add	x16, x16, #0x10
0xfffffff009780f50: f10300aa  mov	x17, x0
0xfffffff009780f54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009780f58: 300ac1da  pacda	x16, x17
0xfffffff009780f5c: 100000f9  str	x16, [x0]
0xfffffff009780f60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009780f64: ff0f5fd6  retab	
0xfffffff009780f68: 5f2403d5  bti	c
0xfffffff009780f6c: 60600090  adrp	x0, #0xfffffff00a38c000
0xfffffff009780f70: 00a00091  add	x0, x0, #0x28
0xfffffff009780f74: e08dad17  b	#0xfffffff0082e46f4
0xfffffff009780f78: 7f2303d5  pacibsp	
0xfffffff009780f7c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009780f80: fd030091  mov	x29, sp
0xfffffff009780f84: c1f0fef0  adrp	x1, #0xfffffff00759b000
0xfffffff009780f88: 218c0d91  add	x1, x1, #0x363
0xfffffff009780f8c: a224ffd0  adrp	x2, #0xfffffff007c16000
