; Candidate 13240
; ADRP+ADD at VM 0xfffffff0092392e0 (fileoff 0x22352e0): page=0x1fe27c000 add_imm=0xec4

0xfffffff009239260: e10315aa  mov	x1, x21
0xfffffff009239264: a4aac297  bl	#0xfffffff0082e3cf4
0xfffffff009239268: 800100b4  cbz	x0, #0xfffffff009239298
0xfffffff00923926c: 100040f9  ldr	x16, [x0]
0xfffffff009239270: f10300aa  mov	x17, x0
0xfffffff009239274: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009239278: 301ac1da  autda	x16, x17
0xfffffff00923927c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff009239280: e90310aa  mov	x9, x16
0xfffffff009239284: f10309aa  mov	x17, x9
0xfffffff009239288: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00923928c: 11093fd7  blraa	x8, x17
0xfffffff009239290: 080040b9  ldr	w8, [x0]
0xfffffff009239294: 681a01b9  str	w8, [x19, #0x118]
0xfffffff009239298: 68624239  ldrb	w8, [x19, #0x98]
0xfffffff00923929c: 88020836  tbz	w8, #1, #0xfffffff0092392ec
0xfffffff0092392a0: 700240f9  ldr	x16, [x19]
0xfffffff0092392a4: f10313aa  mov	x17, x19
0xfffffff0092392a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092392ac: 301ac1da  autda	x16, x17
0xfffffff0092392b0: 113d80d2  mov	x17, #0x1e8
0xfffffff0092392b4: 1002118b  add	x16, x16, x17
0xfffffff0092392b8: 080240f9  ldr	x8, [x16]
0xfffffff0092392bc: e90310aa  mov	x9, x16
0xfffffff0092392c0: e00313aa  mov	x0, x19
0xfffffff0092392c4: 010080d2  mov	x1, #0
0xfffffff0092392c8: f10309aa  mov	x17, x9
0xfffffff0092392cc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092392d0: 11093fd7  blraa	x8, x17
0xfffffff0092392d4: 681a41b9  ldr	w8, [x19, #0x118]
0xfffffff0092392d8: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff0092392dc: e00300f9  str	x0, [sp]
0xfffffff0092392e0: e013ff90  adrp	x0, #0xfffffff0074b5000
0xfffffff0092392e4: 00103b91  add	x0, x0, #0xec4
0xfffffff0092392e8: 4e77c497  bl	#0xfffffff008357020
0xfffffff0092392ec: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff0092392f0: 100040f9  ldr	x16, [x0]
0xfffffff0092392f4: f10300aa  mov	x17, x0
0xfffffff0092392f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092392fc: 301ac1da  autda	x16, x17
0xfffffff009239300: 117a80d2  mov	x17, #0x3d0
0xfffffff009239304: 1002118b  add	x16, x16, x17
0xfffffff009239308: 080240f9  ldr	x8, [x16]
0xfffffff00923930c: e90310aa  mov	x9, x16
0xfffffff009239310: 01008052  mov	w1, #0
0xfffffff009239314: 02008052  mov	w2, #0
0xfffffff009239318: f10309aa  mov	x17, x9
0xfffffff00923931c: b1a5faf2  movk	x17, #0xd52d, lsl #48
0xfffffff009239320: 11093fd7  blraa	x8, x17
0xfffffff009239324: 607a00f9  str	x0, [x19, #0xf0]
0xfffffff009239328: e00700b4  cbz	x0, #0xfffffff009239424
0xfffffff00923932c: 100040f9  ldr	x16, [x0]
0xfffffff009239330: f10300aa  mov	x17, x0
0xfffffff009239334: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009239338: 301ac1da  autda	x16, x17
0xfffffff00923933c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009239340: e90310aa  mov	x9, x16
0xfffffff009239344: f10309aa  mov	x17, x9
0xfffffff009239348: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff00923934c: 11093fd7  blraa	x8, x17
0xfffffff009239350: 606e00f9  str	x0, [x19, #0xd8]
0xfffffff009239354: 68624239  ldrb	w8, [x19, #0x98]
0xfffffff009239358: c8080836  tbz	w8, #1, #0xfffffff009239470
0xfffffff00923935c: 700240f9  ldr	x16, [x19]
