; Candidate 12365
; ADRP+ADD at VM 0xfffffff00908f0e0 (fileoff 0x208b0e0): page=0x1fe3ca000 add_imm=0xe24

0xfffffff00908f060: f6079f1a  cset	w22, ne
0xfffffff00908f064: a8024039  ldrb	w8, [x21]
0xfffffff00908f068: 1fa10071  cmp	w8, #0x28
0xfffffff00908f06c: 08020054  b.hi	#0xfffffff00908f0ac
0xfffffff00908f070: 481efff0  adrp	x8, #0xfffffff00745a000
0xfffffff00908f074: 08891691  add	x8, x8, #0x5a2
0xfffffff00908f078: 491efff0  adrp	x9, #0xfffffff00745a000
0xfffffff00908f07c: 299d2191  add	x9, x9, #0x867
0xfffffff00908f080: 1f0000f1  cmp	x0, #0
0xfffffff00908f084: 2811889a  csel	x8, x9, x8, ne
0xfffffff00908f088: 691efff0  adrp	x9, #0xfffffff00745e000
0xfffffff00908f08c: 29211991  add	x9, x9, #0x648
0xfffffff00908f090: 6a1efff0  adrp	x10, #0xfffffff00745e000
0xfffffff00908f094: 4af51491  add	x10, x10, #0x53d
0xfffffff00908f098: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908f09c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908f0a0: 601efff0  adrp	x0, #0xfffffff00745e000
0xfffffff00908f0a4: 007c1991  add	x0, x0, #0x65f
0xfffffff00908f0a8: de1fcb97  bl	#0xfffffff008357020
0xfffffff00908f0ac: 14008052  mov	w20, #0
0xfffffff00908f0b0: 76020039  strb	w22, [x19]
0xfffffff00908f0b4: 48018052  mov	w8, #0xa
0xfffffff00908f0b8: a9024039  ldrb	w9, [x21]
0xfffffff00908f0bc: 1f01096b  cmp	w8, w9
0xfffffff00908f0c0: 63010054  b.lo	#0xfffffff00908f0ec
0xfffffff00908f0c4: 887e4093  sxtw	x8, w20
0xfffffff00908f0c8: 691efff0  adrp	x9, #0xfffffff00745e000
0xfffffff00908f0cc: 29211991  add	x9, x9, #0x648
0xfffffff00908f0d0: 6a1efff0  adrp	x10, #0xfffffff00745e000
0xfffffff00908f0d4: 4af51491  add	x10, x10, #0x53d
0xfffffff00908f0d8: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908f0dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908f0e0: 401effd0  adrp	x0, #0xfffffff007459000
0xfffffff00908f0e4: 00903891  add	x0, x0, #0xe24
0xfffffff00908f0e8: ce1fcb97  bl	#0xfffffff008357020
0xfffffff00908f0ec: e00314aa  mov	x0, x20
0xfffffff00908f0f0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908f0f4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00908f0f8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00908f0fc: ff830191  add	sp, sp, #0x60
0xfffffff00908f100: ff0f5fd6  retab	
0xfffffff00908f104: 280e8052  mov	w8, #0x71
0xfffffff00908f108: 691efff0  adrp	x9, #0xfffffff00745e000
0xfffffff00908f10c: 291d1691  add	x9, x9, #0x587
0xfffffff00908f110: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908f114: 481effd0  adrp	x8, #0xfffffff007459000
0xfffffff00908f118: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908f11c: 6a1efff0  adrp	x10, #0xfffffff00745e000
0xfffffff00908f120: 4a6d1991  add	x10, x10, #0x65b
0xfffffff00908f124: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908f128: ea0300f9  str	x10, [sp]
0xfffffff00908f12c: 401effd0  adrp	x0, #0xfffffff007459000
0xfffffff00908f130: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908f134: bb1fcb97  bl	#0xfffffff008357020
0xfffffff00908f138: 54008012  mov	w20, #-3
0xfffffff00908f13c: c8088052  mov	w8, #0x46
0xfffffff00908f140: deffff17  b	#0xfffffff00908f0b8
0xfffffff00908f144: 7f2303d5  pacibsp	
0xfffffff00908f148: ff8301d1  sub	sp, sp, #0x60
0xfffffff00908f14c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00908f150: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00908f154: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00908f158: fd430191  add	x29, sp, #0x50
0xfffffff00908f15c: f30301aa  mov	x19, x1
