; Candidate 12560
; ADRP+ADD at VM 0xfffffff0090bb548 (fileoff 0x20b7548): page=0x1fe39e000 add_imm=0xe24

0xfffffff0090bb4c8: 050080d2  mov	x5, #0
0xfffffff0090bb4cc: 060080d2  mov	x6, #0
0xfffffff0090bb4d0: 519081d2  mov	x17, #0xc82
0xfffffff0090bb4d4: b10a3fd7  blraa	x21, x17
0xfffffff0090bb4d8: 600c0035  cbnz	w0, #0xfffffff0090bb664
0xfffffff0090bb4dc: f51740f9  ldr	x21, [sp, #0x28]
0xfffffff0090bb4e0: 001dfff0  adrp	x0, #0xfffffff00745e000
0xfffffff0090bb4e4: 00fc2391  add	x0, x0, #0x8ff
0xfffffff0090bb4e8: 631dff90  adrp	x3, #0xfffffff007467000
0xfffffff0090bb4ec: 63683f91  add	x3, x3, #0xfda
0xfffffff0090bb4f0: 651dffb0  adrp	x5, #0xfffffff007468000
0xfffffff0090bb4f4: a5080c91  add	x5, x5, #0x302
0xfffffff0090bb4f8: e10314aa  mov	x1, x20
0xfffffff0090bb4fc: e20315aa  mov	x2, x21
0xfffffff0090bb500: 64198052  mov	w4, #0xcb
0xfffffff0090bb504: 4284ff97  bl	#0xfffffff00909c60c
0xfffffff0090bb508: e00314aa  mov	x0, x20
0xfffffff0090bb50c: e10315aa  mov	x1, x21
0xfffffff0090bb510: e883ff97  bl	#0xfffffff00909c4b0
0xfffffff0090bb514: 7f020071  cmp	w19, #0
0xfffffff0090bb518: c8088052  mov	w8, #0x46
0xfffffff0090bb51c: 49018052  mov	w9, #0xa
0xfffffff0090bb520: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090bb524: b7920090  adrp	x23, #0xfffffff00a30f000
0xfffffff0090bb528: f7420c91  add	x23, x23, #0x310
0xfffffff0090bb52c: e9024039  ldrb	w9, [x23]
0xfffffff0090bb530: 1f01096b  cmp	w8, w9
0xfffffff0090bb534: 03010054  b.lo	#0xfffffff0090bb554
0xfffffff0090bb538: e80313aa  mov	x8, x19
0xfffffff0090bb53c: 087d4093  sxtw	x8, w8
0xfffffff0090bb540: fb7300a9  stp	x27, x28, [sp]
0xfffffff0090bb544: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bb548: e01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bb54c: 00903891  add	x0, x0, #0xe24
0xfffffff0090bb550: b46eca97  bl	#0xfffffff008357020
0xfffffff0090bb554: e00313aa  mov	x0, x19
0xfffffff0090bb558: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0090bb55c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0090bb560: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0090bb564: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0090bb568: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0090bb56c: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0090bb570: ff430291  add	sp, sp, #0x90
0xfffffff0090bb574: ff0f5fd6  retab	
0xfffffff0090bb578: 48178052  mov	w8, #0xba
0xfffffff0090bb57c: 691dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bb580: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bb584: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bb588: e81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bb58c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bb590: 6a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bb594: 4aa90c91  add	x10, x10, #0x32a
0xfffffff0090bb598: 09000014  b	#0xfffffff0090bb5bc
0xfffffff0090bb59c: 68178052  mov	w8, #0xbb
0xfffffff0090bb5a0: 691dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bb5a4: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bb5a8: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bb5ac: e81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bb5b0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bb5b4: 0a1dfff0  adrp	x10, #0xfffffff00745e000
0xfffffff0090bb5b8: 4a8d3291  add	x10, x10, #0xca3
0xfffffff0090bb5bc: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090bb5c0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff0090bb5c4: e01cffd0  adrp	x0, #0xfffffff007459000
