; Candidate 9975
; ADRP+ADD at VM 0xfffffff008bd8810 (fileoff 0x1bd4810): page=0x1fe75e000 add_imm=0xd30

0xfffffff008bd8790: 6932dc97  bl	#0xfffffff0082e5134
0xfffffff008bd8794: e00313aa  mov	x0, x19
0xfffffff008bd8798: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bd879c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008bd87a0: ff0f5fd6  retab	
0xfffffff008bd87a4: 7f2303d5  pacibsp	
0xfffffff008bd87a8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008bd87ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bd87b0: fd430091  add	x29, sp, #0x10
0xfffffff008bd87b4: f40300aa  mov	x20, x0
0xfffffff008bd87b8: e875fff0  adrp	x8, #0xfffffff007a97000
0xfffffff008bd87bc: 08fd46f9  ldr	x8, [x8, #0xdf8]
0xfffffff008bd87c0: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff008bd87c4: 010080d2  mov	x1, #0
0xfffffff008bd87c8: f10308aa  mov	x17, x8
0xfffffff008bd87cc: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff008bd87d0: 31093fd7  blraa	x9, x17
0xfffffff008bd87d4: f30300aa  mov	x19, x0
0xfffffff008bd87d8: 80020034  cbz	w0, #0xfffffff008bd8828
0xfffffff008bd87dc: e03afff0  adrp	x0, #0xfffffff007337000
0xfffffff008bd87e0: 009c0e91  add	x0, x0, #0x3a7
0xfffffff008bd87e4: e13afff0  adrp	x1, #0xfffffff007337000
0xfffffff008bd87e8: 21840d91  add	x1, x1, #0x361
0xfffffff008bd87ec: 4d6add97  bl	#0xfffffff008333120
0xfffffff008bd87f0: 804600f9  str	x0, [x20, #0x88]
0xfffffff008bd87f4: a00100b5  cbnz	x0, #0xfffffff008bd8828
0xfffffff008bd87f8: 68b800b0  adrp	x8, #0xfffffff00a2e5000
0xfffffff008bd87fc: 08811a91  add	x8, x8, #0x6a0
0xfffffff008bd8800: 010140f9  ldr	x1, [x8]
0xfffffff008bd8804: 610000b5  cbnz	x1, #0xfffffff008bd8810
0xfffffff008bd8808: 22ffff97  bl	#0xfffffff008bd8490
0xfffffff008bd880c: e10300aa  mov	x1, x0
0xfffffff008bd8810: e03affd0  adrp	x0, #0xfffffff007336000
0xfffffff008bd8814: 00c03491  add	x0, x0, #0xd30
0xfffffff008bd8818: e33afff0  adrp	x3, #0xfffffff007337000
0xfffffff008bd881c: 63cc1091  add	x3, x3, #0x433
0xfffffff008bd8820: 02028052  mov	w2, #0x10
0xfffffff008bd8824: 436add97  bl	#0xfffffff008333130
0xfffffff008bd8828: e00313aa  mov	x0, x19
0xfffffff008bd882c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bd8830: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008bd8834: ff0f5fd6  retab	
0xfffffff008bd8838: 7f2303d5  pacibsp	
0xfffffff008bd883c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008bd8840: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bd8844: fd430091  add	x29, sp, #0x10
0xfffffff008bd8848: f30300aa  mov	x19, x0
0xfffffff008bd884c: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff008bd8850: 400000b4  cbz	x0, #0xfffffff008bd8858
0xfffffff008bd8854: ca76dd97  bl	#0xfffffff00833637c
0xfffffff008bd8858: e175fff0  adrp	x1, #0xfffffff007a97000
0xfffffff008bd885c: 21fc46f9  ldr	x1, [x1, #0xdf8]
0xfffffff008bd8860: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff008bd8864: e00313aa  mov	x0, x19
0xfffffff008bd8868: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bd886c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008bd8870: ff2303d5  autibsp	
0xfffffff008bd8874: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008bd8878: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008bd8880
0xfffffff008bd887c: 208e38d4  brk	#0xc471
0xfffffff008bd8880: f10301aa  mov	x17, x1
0xfffffff008bd8884: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff008bd8888: 110a1fd7  braa	x16, x17
0xfffffff008bd888c: 7f2303d5  pacibsp	
