; Candidate 13294
; ADRP+ADD at VM 0xfffffff009274660 (fileoff 0x2270660): page=0x1fe247000 add_imm=0xde3

0xfffffff0092745e0: e90310aa  mov	x9, x16
0xfffffff0092745e4: e00313aa  mov	x0, x19
0xfffffff0092745e8: f10309aa  mov	x17, x9
0xfffffff0092745ec: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0092745f0: 11093fd7  blraa	x8, x17
0xfffffff0092745f4: e00317aa  mov	x0, x23
0xfffffff0092745f8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0092745fc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009274600: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009274604: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009274608: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff00927460c: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff009274610: ff830291  add	sp, sp, #0xa0
0xfffffff009274614: ff0f5fd6  retab	
0xfffffff009274618: 7f2303d5  pacibsp	
0xfffffff00927461c: ff4302d1  sub	sp, sp, #0x90
0xfffffff009274620: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff009274624: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009274628: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00927462c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009274630: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009274634: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009274638: fd030291  add	x29, sp, #0x80
0xfffffff00927463c: f90300aa  mov	x25, x0
0xfffffff009274640: 40008052  mov	w0, #2
0xfffffff009274644: bbf2c197  bl	#0xfffffff0082f1130
0xfffffff009274648: 201c00b4  cbz	x0, #0xfffffff0092749cc
0xfffffff00927464c: f30300aa  mov	x19, x0
0xfffffff009274650: 204b4079  ldrh	w0, [x25, #0x24]
0xfffffff009274654: 72d4c197  bl	#0xfffffff0082e981c
0xfffffff009274658: e01b00b4  cbz	x0, #0xfffffff0092749d4
0xfffffff00927465c: f40300aa  mov	x20, x0
0xfffffff009274660: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009274664: 008c3791  add	x0, x0, #0xde3
0xfffffff009274668: 5ecac297  bl	#0xfffffff008326fe0
0xfffffff00927466c: 801b00b4  cbz	x0, #0xfffffff0092749dc
0xfffffff009274670: f60300aa  mov	x22, x0
0xfffffff009274674: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009274678: 00f43791  add	x0, x0, #0xdfd
0xfffffff00927467c: 59cac297  bl	#0xfffffff008326fe0
0xfffffff009274680: 201b00b4  cbz	x0, #0xfffffff0092749e4
0xfffffff009274684: f70300aa  mov	x23, x0
0xfffffff009274688: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff00927468c: 00103891  add	x0, x0, #0xe04
0xfffffff009274690: 54cac297  bl	#0xfffffff008326fe0
0xfffffff009274694: c01a00b4  cbz	x0, #0xfffffff0092749ec
0xfffffff009274698: fa0300aa  mov	x26, x0
0xfffffff00927469c: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff0092746a0: 002c3891  add	x0, x0, #0xe0b
0xfffffff0092746a4: 4fcac297  bl	#0xfffffff008326fe0
0xfffffff0092746a8: e01700f9  str	x0, [sp, #0x28]
0xfffffff0092746ac: 401a00b4  cbz	x0, #0xfffffff0092749f4
0xfffffff0092746b0: 2012fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff0092746b4: 00503891  add	x0, x0, #0xe14
0xfffffff0092746b8: 4acac297  bl	#0xfffffff008326fe0
0xfffffff0092746bc: e00f00f9  str	x0, [sp, #0x18]
0xfffffff0092746c0: e01900b4  cbz	x0, #0xfffffff0092749fc
0xfffffff0092746c4: fadf00a9  stp	x26, x23, [sp, #8]
0xfffffff0092746c8: 284b4079  ldrh	w8, [x25, #0x24]
0xfffffff0092746cc: e8150034  cbz	w8, #0xfffffff009274988
0xfffffff0092746d0: 1b0080d2  mov	x27, #0
0xfffffff0092746d4: 38230091  add	x24, x25, #8
0xfffffff0092746d8: f60300f9  str	x22, [sp]
0xfffffff0092746dc: 80008052  mov	w0, #4
