; Candidate 419
; ADRP+ADD at VM 0xfffffff007f06af4 (fileoff 0xf02af4): page=0x2336000 add_imm=0xdc8

0xfffffff007f06a74: eb0319aa  mov	x11, x25
0xfffffff007f06a78: ea0315aa  mov	x10, x21
0xfffffff007f06a7c: 6dffff17  b	#0xfffffff007f06830
0xfffffff007f06a80: a01901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f06a84: 00603791  add	x0, x0, #0xdd8
0xfffffff007f06a88: e10317aa  mov	x1, x23
0xfffffff007f06a8c: f5030aaa  mov	x21, x10
0xfffffff007f06a90: 3597fa97  bl	#0xfffffff007dac764
0xfffffff007f06a94: ea0315aa  mov	x10, x21
0xfffffff007f06a98: 500140f9  ldr	x16, [x10]
0xfffffff007f06a9c: 90faffb5  cbnz	x16, #0xfffffff007f069ec
0xfffffff007f06aa0: 010080d2  mov	x1, #0
0xfffffff007f06aa4: 5f0100f9  str	xzr, [x10]
0xfffffff007f06aa8: 60d3ff90  adrp	x0, #0xfffffff007972000
0xfffffff007f06aac: 00c00591  add	x0, x0, #0x170
0xfffffff007f06ab0: 570cfc97  bl	#0xfffffff007e09c0c
0xfffffff007f06ab4: 97d038d5  mrs	x23, tpidr_el1
0xfffffff007f06ab8: e84a41b9  ldr	w8, [x23, #0x148]
0xfffffff007f06abc: 08050011  add	w8, w8, #1
0xfffffff007f06ac0: e84a01b9  str	w8, [x23, #0x148]
0xfffffff007f06ac4: a81901d0  adrp	x8, #0xfffffff00a23c000
0xfffffff007f06ac8: 08213791  add	x8, x8, #0xdc8
0xfffffff007f06acc: 097d5fc8  ldxr	x9, [x8]
0xfffffff007f06ad0: c90b00b5  cbnz	x9, #0xfffffff007f06c48
0xfffffff007f06ad4: 177de9c8  casa	x9, x23, [x8]
0xfffffff007f06ad8: 3f0100f1  cmp	x9, #0
0xfffffff007f06adc: 810b0054  b.ne	#0xfffffff007f06c4c
0xfffffff007f06ae0: e00313aa  mov	x0, x19
0xfffffff007f06ae4: cffdff97  bl	#0xfffffff007f06220
0xfffffff007f06ae8: 687640b9  ldr	w8, [x19, #0x74]
0xfffffff007f06aec: 08050011  add	w8, w8, #1
0xfffffff007f06af0: 687600b9  str	w8, [x19, #0x74]
0xfffffff007f06af4: a01901d0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f06af8: 00203791  add	x0, x0, #0xdc8
0xfffffff007f06afc: 22a4fa97  bl	#0xfffffff007dafb84
0xfffffff007f06b00: 1f1f0071  cmp	w24, #7
0xfffffff007f06b04: 61020054  b.ne	#0xfffffff007f06b50
0xfffffff007f06b08: e80313aa  mov	x8, x19
0xfffffff007f06b0c: 108d47f8  ldr	x16, [x8, #0x78]!
0xfffffff007f06b10: 700100b4  cbz	x16, #0xfffffff007f06b3c
0xfffffff007f06b14: f10308aa  mov	x17, x8
0xfffffff007f06b18: 71fdf8f2  movk	x17, #0xc7eb, lsl #48
0xfffffff007f06b1c: 301ac1da  autda	x16, x17
0xfffffff007f06b20: f10310aa  mov	x17, x16
0xfffffff007f06b24: f147c1da  xpacd	x17
0xfffffff007f06b28: 1f0211eb  cmp	x16, x17
0xfffffff007f06b2c: 40000054  b.eq	#0xfffffff007f06b34
0xfffffff007f06b30: 408e38d4  brk	#0xc472
0xfffffff007f06b34: e10310aa  mov	x1, x16
0xfffffff007f06b38: 02000014  b	#0xfffffff007f06b40
0xfffffff007f06b3c: 010080d2  mov	x1, #0
0xfffffff007f06b40: 1f0100f9  str	xzr, [x8]
0xfffffff007f06b44: 60d3ff90  adrp	x0, #0xfffffff007972000
0xfffffff007f06b48: 00c01091  add	x0, x0, #0x430
0xfffffff007f06b4c: 300cfc97  bl	#0xfffffff007e09c0c
0xfffffff007f06b50: 08018052  mov	w8, #8
0xfffffff007f06b54: 68e20079  strh	w8, [x19, #0x70]
0xfffffff007f06b58: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff007f06b5c: e80b00b5  cbnz	x8, #0xfffffff007f06cd8
0xfffffff007f06b60: 68ae40b9  ldr	w8, [x19, #0xac]
0xfffffff007f06b64: 880c0035  cbnz	w8, #0xfffffff007f06cf4
0xfffffff007f06b68: e80313aa  mov	x8, x19
0xfffffff007f06b6c: 100d4cf8  ldr	x16, [x8, #0xc0]!
0xfffffff007f06b70: 500100b4  cbz	x16, #0xfffffff007f06b98
