; Candidate 6587
; ADRP+ADD at VM 0xfffffff0088343ac (fileoff 0x18303ac): page=0x1fe9b5000 add_imm=0xe80

0xfffffff00883432c: 01018052  mov	w1, #8
0xfffffff008834330: 281d0194  bl	#0xfffffff00887b7d0
0xfffffff008834334: c0040034  cbz	w0, #0xfffffff0088343cc
0xfffffff008834338: 200f8052  mov	w0, #0x79
0xfffffff00883433c: 371d0194  bl	#0xfffffff00887b818
0xfffffff008834340: f60300aa  mov	x22, x0
0xfffffff008834344: 9aff0194  bl	#0xfffffff0088b41ac
0xfffffff008834348: f50300aa  mov	x21, x0
0xfffffff00883434c: 00018052  mov	w0, #8
0xfffffff008834350: 401d0194  bl	#0xfffffff00887b850
0xfffffff008834354: 76010034  cbz	w22, #0xfffffff008834380
0xfffffff008834358: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00883435c: 684fffd0  adrp	x8, #0xfffffff007222000
0xfffffff008834360: 08993f91  add	x8, x8, #0xfe6
0xfffffff008834364: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834368: 280f8052  mov	w8, #0x79
0xfffffff00883436c: f52300a9  stp	x21, x8, [sp]
0xfffffff008834370: 004fffb0  adrp	x0, #0xfffffff007215000
0xfffffff008834374: 00a81591  add	x0, x0, #0x56a
0xfffffff008834378: 3a0cd697  bl	#0xfffffff007db7460
0xfffffff00883437c: 14000014  b	#0xfffffff0088343cc
0xfffffff008834380: 8bff0194  bl	#0xfffffff0088b41ac
0xfffffff008834384: f50300aa  mov	x21, x0
0xfffffff008834388: 00018052  mov	w0, #8
0xfffffff00883438c: 311d0194  bl	#0xfffffff00887b850
0xfffffff008834390: e80314aa  mov	x8, x20
0xfffffff008834394: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008834398: 684fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00883439c: 08993f91  add	x8, x8, #0xfe6
0xfffffff0088343a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088343a4: 280f8052  mov	w8, #0x79
0xfffffff0088343a8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088343ac: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088343b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088343b4: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088343b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088343bc: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff0088343c0: 63103191  add	x3, x3, #0xc44
0xfffffff0088343c4: 02008052  mov	w2, #0
0xfffffff0088343c8: 5afbeb97  bl	#0xfffffff008333130
0xfffffff0088343cc: e00314aa  mov	x0, x20
0xfffffff0088343d0: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0088343d4: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0088343d8: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0088343dc: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0088343e0: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0088343e4: ff430391  add	sp, sp, #0xd0
0xfffffff0088343e8: ff0f5fd6  retab	
0xfffffff0088343ec: 6a6240b9  ldr	w10, [x19, #0x60]
0xfffffff0088343f0: ca000034  cbz	w10, #0xfffffff008834408
0xfffffff0088343f4: ca0240f9  ldr	x10, [x22]
0xfffffff0088343f8: 0bc88f52  mov	w11, #0x7e40
0xfffffff0088343fc: ab00a072  movk	w11, #5, lsl #16
0xfffffff008834400: 5f010beb  cmp	x10, x11
0xfffffff008834404: 0cecff54  b.gt	#0xfffffff008834184
0xfffffff008834408: 6aae5229  ldp	w10, w11, [x19, #0x94]
0xfffffff00883440c: 6a010a0b  add	w10, w11, w10
0xfffffff008834410: 6b9e40b9  ldr	w11, [x19, #0x9c]
0xfffffff008834414: 5f010b2b  cmn	w10, w11
0xfffffff008834418: 61ebff54  b.ne	#0xfffffff008834184
0xfffffff00883441c: 6a5e40b9  ldr	w10, [x19, #0x5c]
0xfffffff008834420: 37008052  mov	w23, #1
0xfffffff008834424: 99008052  mov	w25, #4
0xfffffff008834428: 4a030034  cbz	w10, #0xfffffff008834490
