; Candidate 16589
; ADRP+ADD at VM 0xfffffff009ef91a4 (fileoff 0x2ef51a4): page=0x1fd953000 add_imm=0xdde

0xfffffff009ef9124: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009ef9128: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ef912c: 88408752  mov	w8, #0x3a04
0xfffffff009ef9130: f82300a9  stp	x24, x8, [sp]
0xfffffff009ef9134: 80cafef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ef9138: 00203691  add	x0, x0, #0xd88
0xfffffff009ef913c: e219fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef9140: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009ef9144: e08203ad  stp	q0, q0, [x23, #0x70]
0xfffffff009ef9148: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009ef914c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009ef9150: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009ef9154: e013803d  str	q0, [sp, #0x40]
0xfffffff009ef9158: e0030191  add	x0, sp, #0x40
0xfffffff009ef915c: 01008052  mov	w1, #0
0xfffffff009ef9160: 02128052  mov	w2, #0x90
0xfffffff009ef9164: 974e7997  bl	#0xfffffff007d4cbc0
0xfffffff009ef9168: f45b04a9  stp	x20, x22, [sp, #0x40]
0xfffffff009ef916c: ff4f05a9  stp	xzr, x19, [sp, #0x50]
0xfffffff009ef9170: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009ef9174: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff009ef9178: f9920878  sturh	w25, [x23, #0x89]
0xfffffff009ef917c: f54700f9  str	x21, [sp, #0x88]
0xfffffff009ef9180: e0030191  add	x0, sp, #0x40
0xfffffff009ef9184: dceeff97  bl	#0xfffffff009ef4cf4
0xfffffff009ef9188: 40010034  cbz	w0, #0xfffffff009ef91b0
0xfffffff009ef918c: 083e8452  mov	w8, #0x21f0
0xfffffff009ef9190: 8802088b  add	x8, x20, x8
0xfffffff009ef9194: f38301a9  stp	x19, x0, [sp, #0x18]
0xfffffff009ef9198: a9418752  mov	w9, #0x3a0d
0xfffffff009ef919c: f82700a9  stp	x24, x9, [sp]
0xfffffff009ef91a0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ef91a4: 80cafef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ef91a8: 00783791  add	x0, x0, #0xdde
0xfffffff009ef91ac: c619fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef91b0: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff009ef91b4: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff009ef91b8: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff009ef91bc: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff009ef91c0: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff009ef91c4: ff830491  add	sp, sp, #0x120
0xfffffff009ef91c8: ff0f5fd6  retab	
0xfffffff009ef91cc: 5f2403d5  bti	c
0xfffffff009ef91d0: 280040b9  ldr	w8, [x1]
0xfffffff009ef91d4: 08050011  add	w8, w8, #1
0xfffffff009ef91d8: 280000b9  str	w8, [x1]
0xfffffff009ef91dc: 1fa10071  cmp	w8, #0x28
0xfffffff009ef91e0: 48048052  mov	w8, #0x22
0xfffffff009ef91e4: 00819f1a  csel	w0, w8, wzr, hi
0xfffffff009ef91e8: c0035fd6  ret	
0xfffffff009ef91ec: 7f2303d5  pacibsp	
0xfffffff009ef91f0: ffc304d1  sub	sp, sp, #0x130
0xfffffff009ef91f4: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff009ef91f8: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff009ef91fc: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff009ef9200: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff009ef9204: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff009ef9208: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff009ef920c: fd830491  add	x29, sp, #0x120
0xfffffff009ef9210: f60302aa  mov	x22, x2
0xfffffff009ef9214: a8f1feb0  adrp	x8, #0xfffffff007d2e000
0xfffffff009ef9218: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009ef921c: 080140f9  ldr	x8, [x8]
0xfffffff009ef9220: a8031af8  stur	x8, [x29, #-0x60]
